Date,Price
2019-09-16,349269.95
2019-09-17,348374.86
2019-09-18,346883.06
2019-09-19,345092.9
2019-09-20,343899.45
2019-09-21,342407.65
2019-09-22,341214.21
2019-09-23,339821.86
2019-09-24,339424.04
2019-09-25,339424.04
2019-09-26,339424.04
2019-09-27,339424.04
2019-09-28,339424.04
2019-09-29,339424.04
2019-09-30,338528.96
2019-10-01,336440.44
2019-10-02,334053.55
2019-10-03,330995.36
2019-10-04,328086.34
2019-10-05,325500.54
2019-10-06,323213.12
2019-10-07,321323.5
2019-10-08,319433.88
2019-10-09,317942.08
2019-10-10,316151.91
2019-10-11,314063.39
2019-10-12,312571.59
2019-10-13,311079.78
2019-10-14,309389.07
2019-10-15,308692.9
2019-10-16,308394.54
2019-10-17,308096.18
2019-10-18,307499.45
2019-10-19,307201.09
2019-10-20,306902.73
2019-10-21,305311.48
2019-10-22,301233.88
2019-10-23,296460.11
2019-10-24,292084.15
2019-10-25,287210.93
2019-10-26,282138.8
2019-10-27,278558.47
2019-10-28,275574.86
2019-10-29,272093.99
2019-10-30,269010.93
2019-10-31,265430.6
2019-11-01,261949.73
2019-11-02,258866.67
2019-11-03,255883.06
2019-11-04,254391.26
2019-11-05,256081.97
2019-11-06,259463.39
2019-11-07,262546.45
2019-11-08,266474.87
2019-11-09,270204.37
2019-11-10,273187.98
2019-11-11,275674.31
2019-11-12,277066.67
2019-11-13,277663.39
2019-11-14,278856.83
2019-11-15,280050.27
2019-11-16,280945.36
2019-11-17,281840.44
2019-11-18,281740.99
2019-11-19,279751.91
2019-11-20,277961.75
2019-11-21,275873.22
2019-11-22,273983.61
2019-11-23,271994.54
2019-11-24,269980.6
2019-11-25,268115.85
2019-11-26,267817.49
2019-11-27,267220.77
2019-11-28,266922.41
2019-11-29,266325.68
2019-11-30,265728.96
2019-12-01,265132.24
2019-12-02,264833.88
2019-12-03,264833.88
2019-12-04,264833.88
2019-12-05,264833.88
2019-12-06,264833.88
2019-12-07,264833.88
2019-12-08,264833.88
2019-12-09,264833.88
2019-12-10,264833.88
2019-12-11,264237.16
2019-12-12,264237.16
2019-12-13,264237.16
2019-12-14,263938.8
2019-12-15,263640.44
2019-12-16,263640.44
2019-12-17,263640.44
2019-12-18,263640.44
2019-12-19,263640.44
2019-12-20,263640.44
2019-12-21,263640.44
2019-12-22,263640.44
2019-12-23,263640.44
2019-12-24,263640.44
2019-12-25,263640.44
2019-12-26,263640.44
2019-12-27,263640.44
2019-12-28,263640.44
2019-12-29,263640.44
2019-12-30,263640.44
2019-12-31,263640.44
2020-01-01,263640.44
2020-01-02,263342.08
2020-01-03,263043.72
2020-01-04,263043.72
2020-01-05,263043.72
2020-01-06,263043.72
2020-01-07,263043.72
2020-01-08,263043.72
2020-01-09,262745.36
2020-01-10,262446.99
2020-01-11,262446.99
2020-01-12,262446.99
2020-01-13,262446.99
2020-01-14,262446.99
2020-01-15,262446.99
2020-01-16,262446.99
2020-01-17,262446.99
2020-01-18,262446.99
2020-01-19,262446.99
2020-01-20,262446.99
2020-01-21,262446.99
2020-01-22,262446.99
2020-01-23,262446.99
2020-01-24,262446.99
2020-01-25,262446.99
2020-01-26,262446.99
2020-01-27,262446.99
2020-01-28,262446.99
2020-01-29,262446.99
2020-01-30,262446.99
2020-01-31,262446.99
2020-02-01,262446.99
2020-02-02,262446.99
2020-02-03,262446.99
2020-02-04,262446.99
2020-02-05,262446.99
2020-02-06,262446.99
2020-02-07,263043.72
2020-02-08,263043.72
2020-02-09,263043.72
2020-02-10,263043.72
2020-02-11,263043.72
2020-02-12,263043.72
2020-02-13,263043.72
2020-02-14,262446.99
2020-02-15,262446.99
2020-02-16,262446.99
2020-02-17,262446.99
2020-02-18,262446.99
2020-02-19,262446.99
2020-02-20,262446.99
2020-02-21,262446.99
2020-02-22,262446.99
2020-02-23,262446.99
2020-02-24,262446.99
2020-02-25,262446.99
2020-02-26,262446.99
2020-02-27,262446.99
2020-02-28,262446.99
2020-02-29,262446.99
2020-03-01,262446.99
2020-03-02,262446.99
2020-03-03,262446.99
2020-03-04,262446.99
2020-03-05,262446.99
2020-03-06,262446.99
2020-03-07,262446.99
2020-03-08,262446.99
2020-03-09,262446.99
2020-03-10,260955.19
2020-03-11,259463.39
2020-03-12,257971.58
2020-03-13,256778.14
2020-03-14,255286.34
2020-03-15,254092.9
2020-03-16,252899.45
2020-03-17,254092.9
2020-03-18,255584.7
2020-03-19,257374.86
2020-03-20,258568.31
2020-03-21,260060.11
2020-03-22,261253.55
2020-03-23,262446.99
2020-03-24,262446.99
2020-03-25,262446.99
2020-03-26,262446.99
2020-03-27,262446.99
2020-03-28,262446.99
2020-03-29,262446.99
2020-03-30,262446.99
2020-03-31,262446.99
2020-04-01,262446.99
2020-04-02,262446.99
2020-04-03,262446.99
2020-04-04,262446.99
2020-04-05,262446.99
2020-04-06,262446.99
2020-04-07,262446.99
2020-04-08,262446.99
2020-04-09,262446.99
2020-04-10,262446.99
2020-04-11,262446.99
2020-04-12,262446.99
2020-04-13,262446.99
2020-04-14,262446.99
2020-04-15,262446.99
2020-04-16,262446.99
2020-04-17,262446.99
2020-04-18,262446.99
2020-04-19,262446.99
2020-04-20,262446.99
