Date,Price
2019-11-25,282061.79
2019-11-26,281979.74
2019-11-27,281897.69
2019-11-28,281848.46
2019-11-29,281774.62
2019-11-30,281700.77
2019-12-01,281635.13
2019-12-02,281569.49
2019-12-03,281569.49
2019-12-04,281569.49
2019-12-05,281569.49
2019-12-06,281569.49
2019-12-07,281569.49
2019-12-08,281569.49
2019-12-09,281569.49
2019-12-10,281569.49
2019-12-11,281569.49
2019-12-12,281569.49
2019-12-13,281569.49
2019-12-14,281569.49
2019-12-15,281569.49
2019-12-16,281569.49
2019-12-17,281569.49
2019-12-18,281569.49
2019-12-19,281569.49
2019-12-20,281569.49
2019-12-21,281569.49
2019-12-22,281569.49
2019-12-23,281548.98
2019-12-24,281356.17
2019-12-25,281110.02
2019-12-26,280872.08
2019-12-27,280634.13
2019-12-28,280387.99
2019-12-29,280154.15
2019-12-30,279961.33
2019-12-31,279846.46
2020-01-01,279780.82
2020-01-02,279715.18
2020-01-03,279641.34
2020-01-04,279567.49
2020-01-05,279501.86
2020-01-06,279436.22
2020-01-07,279370.58
2020-01-08,279313.15
2020-01-09,279272.12
2020-01-10,279190.07
2020-01-11,279149.05
2020-01-12,279091.61
2020-01-13,279025.97
2020-01-14,279025.97
2020-01-15,279025.97
2020-01-16,279025.97
2020-01-17,279025.97
2020-01-18,279025.97
2020-01-19,279025.97
2020-01-20,279025.97
2020-01-21,279025.97
2020-01-22,279025.97
2020-01-23,279025.97
2020-01-24,279025.97
2020-01-25,279025.97
2020-01-26,279025.97
2020-01-27,279025.97
2020-01-28,279025.97
2020-01-29,279025.97
2020-01-30,279025.97
2020-01-31,279025.97
2020-02-01,279025.97
2020-02-02,279025.97
2020-02-03,279025.97
2020-02-04,279025.97
2020-02-05,279025.97
2020-02-06,279025.97
2020-02-07,279025.97
2020-02-08,279025.97
2020-02-09,279025.97
2020-02-10,279025.97
2020-02-11,278943.92
2020-02-12,278861.87
2020-02-13,278779.82
2020-02-14,278697.77
2020-02-15,278615.72
2020-02-16,278533.67
2020-02-17,278338.81
2020-02-18,277729.59
2020-02-19,276859.87
2020-02-20,276072.2
2020-02-21,275259.91
2020-02-22,274381.99
2020-02-23,273533.8
2020-02-24,272757.41
2020-02-25,272174.87
2020-02-26,271625.13
2020-02-27,271001.56
2020-02-28,270451.83
2020-02-29,269902.1
2020-03-01,269294.94
2020-03-02,268913.41
2020-03-03,268851.87
2020-03-04,268851.87
2020-03-05,268851.87
2020-03-06,268851.87
2020-03-07,268851.87
2020-03-08,268851.87
2020-03-09,268851.87
2020-03-10,268790.33
2020-03-11,268737
2020-03-12,268687.77
2020-03-13,268605.72
2020-03-14,268556.49
2020-03-15,268503.16
2020-03-16,268441.63
2020-03-17,268441.63
2020-03-18,268441.63
2020-03-19,268441.63
2020-03-20,268441.63
2020-03-21,268441.63
2020-03-22,268441.63
2020-03-23,268441.63
2020-03-24,268441.63
2020-03-25,268441.63
2020-03-26,268441.63
2020-03-27,268441.63
2020-03-28,268441.63
2020-03-29,268441.63
2020-03-30,268441.63
2020-03-31,268441.63
2020-04-01,268441.63
2020-04-02,268441.63
2020-04-03,268441.63
2020-04-04,268441.63
2020-04-05,268441.63
2020-04-06,268441.63
2020-04-07,268441.63
2020-04-08,268441.63
2020-04-09,268441.63
2020-04-10,268441.63
2020-04-11,268441.63
2020-04-12,268441.63
2020-04-13,268441.63
2020-04-14,268441.63
2020-04-15,268441.63
2020-04-16,268441.63
2020-04-17,268441.63
2020-04-18,268441.63
2020-04-19,268441.63
2020-04-20,268441.63
