Date,Price
2019-09-30,195909.21
2019-10-01,195742.29
2019-10-02,195408.46
2019-10-03,195130.27
2019-10-04,194824.25
2019-10-05,194462.6
2019-10-06,194184.41
2019-10-07,193947.95
2019-10-08,193794.94
2019-10-09,193739.3
2019-10-10,193697.57
2019-10-11,193572.38
2019-10-12,193572.38
2019-10-13,193447.2
2019-10-14,193099.46
2019-10-15,192264.88
2019-10-16,190801.58
2019-10-17,189733.32
2019-10-18,188398
2019-10-19,186979.21
2019-10-20,186033.36
2019-10-21,185122.27
2019-10-22,184781.49
2019-10-23,184725.85
2019-10-24,184684.12
2019-10-25,184558.93
2019-10-26,184558.93
2019-10-27,184433.75
2019-10-28,184392.02
2019-10-29,184392.02
2019-10-30,184392.02
2019-10-31,184392.02
2019-11-01,184392.02
2019-11-02,184392.02
2019-11-03,184392.02
2019-11-04,184392.02
2019-11-05,184392.02
2019-11-06,184392.02
2019-11-07,184392.02
2019-11-08,184392.02
2019-11-09,184392.02
2019-11-10,184392.02
2019-11-11,184392.02
2019-11-12,184392.02
2019-11-13,184392.02
2019-11-14,184392.02
2019-11-15,184392.02
2019-11-16,184392.02
2019-11-17,184392.02
2019-11-18,184392.02
2019-11-19,184392.02
2019-11-20,184392.02
2019-11-21,184392.02
2019-11-22,184392.02
2019-11-23,184392.02
2019-11-24,184392.02
2019-11-25,184225.1
2019-11-26,183446.16
2019-11-27,182368.16
2019-11-28,181248.44
2019-11-29,180358.22
2019-11-30,179238.49
2019-12-01,178077.04
2019-12-02,177186.82
2019-12-03,176275.74
2019-12-04,175489.84
2019-12-05,174766.54
2019-12-06,173980.65
2019-12-07,173153.02
2019-12-08,172513.18
2019-12-09,171977.66
2019-12-10,171873.34
2019-12-11,171873.34
2019-12-12,171831.61
2019-12-13,171706.42
2019-12-14,171706.42
2019-12-15,171706.42
2019-12-16,171706.42
2019-12-17,171706.42
2019-12-18,171706.42
2019-12-19,171706.42
2019-12-20,171706.42
2019-12-21,171706.42
2019-12-22,171706.42
2019-12-23,171706.42
2019-12-24,171706.42
2019-12-25,171706.42
2019-12-26,171706.42
2019-12-27,171706.42
2019-12-28,171706.42
2019-12-29,171706.42
2019-12-30,171706.42
2019-12-31,171817.7
2020-01-01,171873.34
2020-01-02,172040.25
2020-01-03,172040.25
2020-01-04,172207.17
2020-01-05,172262.81
2020-01-06,172374.08
2020-01-07,172457.54
2020-01-08,172541
2020-01-09,172582.73
2020-01-10,172707.91
2020-01-11,172707.91
2020-01-12,172833.1
2020-01-13,172874.83
2020-01-14,172568.82
2020-01-15,172123.71
2020-01-16,171622.96
2020-01-17,171289.13
2020-01-18,170788.38
2020-01-19,170343.28
2020-01-20,169981.62
2020-01-21,169870.35
2020-01-22,169870.35
2020-01-23,169870.35
2020-01-24,169870.35
2020-01-25,169870.35
2020-01-26,169870.35
2020-01-27,169870.35
2020-01-28,169870.35
2020-01-29,169870.35
2020-01-30,169870.35
2020-01-31,169870.35
2020-02-01,169870.35
2020-02-02,169870.35
2020-02-03,169870.35
2020-02-04,169786.89
2020-02-05,169703.43
2020-02-06,169703.43
2020-02-07,169536.51
2020-02-08,169536.51
2020-02-09,169425.24
2020-02-10,169369.6
2020-02-11,169202.68
2020-02-12,169091.41
2020-02-13,168952.31
2020-02-14,168813.21
2020-02-15,168701.94
2020-02-16,168535.02
2020-02-17,168368.1
2020-02-18,168312.46
2020-02-19,168201.19
2020-02-20,168201.19
2020-02-21,168034.27
2020-02-22,168034.27
2020-02-23,167923
2020-02-24,167867.36
2020-02-25,167867.36
2020-02-26,167867.36
2020-02-27,167867.36
2020-02-28,167867.36
2020-02-29,167867.36
2020-03-01,167867.36
2020-03-02,167867.36
2020-03-03,167867.36
2020-03-04,167867.36
2020-03-05,167867.36
2020-03-06,167867.36
2020-03-07,167867.36
2020-03-08,167867.36
2020-03-09,167867.36
2020-03-10,167867.36
2020-03-11,167867.36
2020-03-12,167867.36
2020-03-13,167867.36
2020-03-14,167867.36
2020-03-15,167867.36
2020-03-16,167867.36
2020-03-17,167867.36
2020-03-18,167867.36
2020-03-19,167867.36
2020-03-20,167867.36
2020-03-21,167867.36
2020-03-22,167867.36
2020-03-23,167867.36
2020-03-24,167867.36
2020-03-25,167867.36
2020-03-26,167867.36
2020-03-27,167867.36
2020-03-28,167867.36
2020-03-29,167867.36
2020-03-30,167867.36
2020-03-31,167867.36
2020-04-01,167867.36
2020-04-02,167867.36
2020-04-03,167867.36
2020-04-04,167867.36
2020-04-05,167867.36
2020-04-06,167867.36
2020-04-07,167867.36
2020-04-08,167867.36
2020-04-09,167867.36
2020-04-10,167867.36
2020-04-11,167867.36
2020-04-12,167867.36
2020-04-13,167867.36
2020-04-14,167867.36
2020-04-15,167867.36
2020-04-16,167867.36
2020-04-17,167867.36
2020-04-18,167867.36
2020-04-19,167867.36
2020-04-20,167867.36
