Date,Price
2019-11-25,124851.83
2019-11-26,124685.37
2019-11-27,124518.9
2019-11-28,124352.44
2019-11-29,124185.98
2019-11-30,124019.51
2019-12-01,123853.05
2019-12-02,123686.59
2019-12-03,123520.12
2019-12-04,123353.66
2019-12-05,123187.2
2019-12-06,123020.73
2019-12-07,122854.27
2019-12-08,122687.8
2019-12-09,122521.34
2019-12-10,122354.88
2019-12-11,122188.41
2019-12-12,122021.95
2019-12-13,121855.49
2019-12-14,121689.02
2019-12-15,121522.56
2019-12-16,121356.1
2019-12-17,121189.63
2019-12-18,121023.17
2019-12-19,120856.71
2019-12-20,120773.48
2019-12-21,120607.01
2019-12-22,120440.55
2019-12-23,120274.09
2019-12-24,120107.62
2019-12-25,119941.16
2019-12-26,119857.93
2019-12-27,119691.46
2019-12-28,119358.54
2019-12-29,119192.07
2019-12-30,118775.91
2019-12-31,118442.99
2020-01-01,118110.06
2020-01-02,117777.13
2020-01-03,117444.21
2020-01-04,116445.43
2020-01-05,116944.82
2020-01-06,116611.89
2020-01-07,116278.96
2020-01-08,115946.04
2020-01-09,115446.65
2020-01-10,115113.72
2020-01-11,114780.79
2020-01-12,114447.87
2020-01-13,114114.94
2020-01-14,113116.16
2020-01-15,113615.55
2020-01-16,113282.62
2020-01-17,112949.7
2020-01-18,112616.77
2020-01-19,112117.38
2020-01-20,111784.45
2020-01-21,111451.52
2020-01-22,111118.6
2020-01-23,110785.67
2020-01-24,109786.89
2020-01-25,110286.28
2020-01-26,109953.35
2020-01-27,109620.43
2020-01-28,109287.5
2020-01-29,108871.34
2020-01-30,108538.41
2020-01-31,108205.49
2020-02-01,107955.79
2020-02-02,107622.87
2020-02-03,107373.17
2020-02-04,107040.24
2020-02-05,106707.32
2020-02-06,106540.85
2020-02-07,106207.93
2020-02-08,106041.46
2020-02-09,105708.54
2020-02-10,105375.61
2020-02-11,105209.15
2020-02-12,104876.22
2020-02-13,104709.76
2020-02-14,104376.83
2020-02-15,104043.9
2020-02-16,103877.44
2020-02-17,103544.51
2020-02-18,103378.05
2020-02-19,103045.12
2020-02-20,102712.2
2020-02-21,102545.73
2020-02-22,102212.8
2020-02-23,102046.34
2020-02-24,101713.41
2020-02-25,101380.49
2020-02-26,101214.02
2020-02-27,100881.1
2020-02-28,100714.63
2020-02-29,100381.71
2020-03-01,100048.78
2020-03-02,99882.32
2020-03-03,99715.85
2020-03-04,99466.16
2020-03-05,99299.7
2020-03-06,99549.39
2020-03-07,99799.09
2020-03-08,100464.94
2020-03-09,99382.93
2020-03-10,100964.33
2020-03-11,99632.62
2020-03-12,101630.18
2020-03-13,100132.01
2020-03-14,102129.57
2020-03-15,102795.43
2020-03-16,101297.26
2020-03-17,103294.82
2020-03-18,101879.88
2020-03-19,103794.21
2020-03-20,102379.27
2020-03-21,104460.06
2020-03-22,104959.45
2020-03-23,105625.3
2020-03-24,104210.37
2020-03-25,106124.7
2020-03-26,106790.55
2020-03-27,105292.38
2020-03-28,107289.94
2020-03-29,105875
2020-03-30,106457.62
2020-03-31,108455.18
2020-04-01,109121.04
2020-04-02,108788.11
2020-04-03,109370.73
2020-04-04,111950.91
2020-04-05,110535.98
2020-04-06,112450.3
2020-04-07,111035.37
2020-04-08,111701.22
2020-04-09,112200.61
2020-04-10,114281.4
2020-04-11,112866.46
2020-04-12,113365.85
2020-04-13,113948.48
2020-04-14,114531.1
2020-04-15,115613.11
2020-04-16,115862.8
2020-04-17,117277.74
2020-04-18,117527.44
2020-04-19,117610.67
