Date,Price
2018-11-13,172211.2
2018-11-14,172081.31
2018-11-15,171821.23
2018-11-16,171561.44
2018-11-17,171301.37
2018-11-18,171041.3
2018-11-19,170586.1
2018-11-20,170000.73
2018-11-21,169740.65
2018-11-22,169350.4
2018-11-23,168895.21
2018-11-24,168440.01
2018-11-25,168049.76
2018-11-26,167529.48
2018-11-27,167139.37
2018-11-28,166749.12
2018-11-29,166228.83
2018-11-30,165708.55
2018-12-01,165448.47
2018-12-02,165058.22
2018-12-03,164603.03
2018-12-04,164017.65
2018-12-05,163757.58
2018-12-06,163302.39
2018-12-07,162717.01
2018-12-08,162456.94
2018-12-09,161936.65
2018-12-10,161416.36
2018-12-11,161156.29
2018-12-12,160766.04
2018-12-13,160245.76
2018-12-14,159855.65
2018-12-15,159595.58
2018-12-16,159270.56
2018-12-17,158945.53
2018-12-18,159206.17
2018-12-19,159206.59
2018-12-20,159207.01
2018-12-21,159467.65
2018-12-22,159467.93
2018-12-23,159468.35
2018-12-24,159729.12
2018-12-25,159729.4
2018-12-26,159729.82
2018-12-27,159990.6
2018-12-28,159990.88
2018-12-29,159991.3
2018-12-30,160252.08
2018-12-31,160252.36
2019-01-01,160252.78
2019-01-02,160513.55
2019-01-03,160513.83
2019-01-04,160514.11
2019-01-05,160644.72
2019-01-06,160775.31
2019-01-07,160775.59
2019-01-08,160906.19
2019-01-09,161036.79
2019-01-10,161037.07
2019-01-11,161167.67
2019-01-12,161298.26
2019-01-13,161298.55
2019-01-14,161298.83
2019-01-15,161559.6
2019-01-16,161560.02
2019-01-17,161560.3
2019-01-18,161560.72
2019-01-19,161561.15
2019-01-20,161561.43
2019-01-21,161561.85
2019-01-22,161562.27
2019-01-23,161562.55
2019-01-24,161562.97
2019-01-25,161563.39
2019-01-26,161563.67
2019-01-27,161563.95
2019-01-28,161564.38
2019-01-29,161564.8
2019-01-30,161565.08
2019-01-31,161695.68
2019-02-01,161826.27
2019-02-02,161826.55
2019-02-03,161826.98
2019-02-04,161827.4
2019-02-05,161827.68
2019-02-06,161827.96
2019-02-07,161828.38
2019-02-08,161828.8
2019-02-09,161829.08
2019-02-10,161829.5
2019-02-11,161829.92
2019-02-12,161830.21
2019-02-13,161830.63
2019-02-14,161831.05
2019-02-15,161831.33
2019-02-16,161961.79
2019-02-17,162222.56
2019-02-18,162483.34
2019-02-19,162743.97
2019-02-20,163004.75
2019-02-21,163265.52
2019-02-22,163526.15
2019-02-23,163786.93
2019-02-24,164047.7
2019-02-25,164308.34
2019-02-26,164438.94
2019-02-27,164829.89
2019-02-28,165090.52
2019-03-01,165090.8
2019-03-02,165481.76
2019-03-03,165872.71
2019-03-04,165872.99
2019-03-05,166263.94
2019-03-06,166394.54
2019-03-07,166655.17
2019-03-08,167046.12
2019-03-09,167176.72
2019-03-10,167437.35
2019-03-11,167698.13
2019-03-12,167958.9
2019-03-13,168219.54
2019-03-14,168480.17
2019-03-15,168610.77
2019-03-16,169001.72
2019-03-17,169262.36
2019-03-18,169392.96
2019-03-19,169393.37
2019-03-20,169393.66
2019-03-21,169394.08
2019-03-22,169394.5
2019-03-23,169394.78
2019-03-24,169395.06
2019-03-25,169395.48
2019-03-26,169395.9
2019-03-27,169396.18
2019-03-28,169396.61
2019-03-29,169397.03
2019-03-30,169397.31
2019-03-31,169397.73
2019-04-01,169398.15
2019-04-02,169398.43
2019-04-03,169398.85
2019-04-04,169399.27
2019-04-05,169399.55
2019-04-06,169399.83
2019-04-07,169400.26
2019-04-08,169400.68
2019-04-09,169400.96
2019-04-10,169401.38
2019-04-11,169401.8
2019-04-12,169402.08
2019-04-13,169402.5
2019-04-14,169402.92
2019-04-15,169403.2
2019-04-16,169403.49
2019-04-17,169403.91
2019-04-18,169404.33
2019-04-19,169404.61
2019-04-20,169665.38
2019-04-21,169926.16
2019-04-22,169926.44
2019-04-23,170187.21
2019-04-24,170187.64
2019-04-25,170448.27
2019-04-26,170578.87
2019-04-27,170709.47
2019-04-28,170970.1
2019-04-29,170970.38
2019-04-30,171100.98
2019-05-01,171231.58
2019-05-02,171492.21
2019-05-03,171622.81
2019-05-04,171753.41
2019-05-05,171753.69
2019-05-06,172014.46
2019-05-07,172275.24
2019-05-08,172275.52
2019-05-09,172275.8
2019-05-10,172536.57
2019-05-11,172797.35
2019-05-12,172797.63
2019-05-13,173058.41
2019-05-14,173058.83
2019-05-15,173319.46
2019-05-16,173450.06
2019-05-17,173580.66
2019-05-18,173841.29
2019-05-19,173971.89
2019-05-20,174102.49
2019-05-21,174363.12
2019-05-22,174623.76
2019-05-23,174754.36
2019-05-24,175145.3
2019-05-25,175145.59
2019-05-26,175536.54
2019-05-27,175667.14
2019-05-28,175927.77
2019-05-29,176058.37
2019-05-30,176449.32
2019-05-31,176449.6
2019-06-01,176840.55
2019-06-02,176971.15
2019-06-03,177231.78
2019-06-04,177492.42
2019-06-05,177623.02
2019-06-06,178013.97
2019-06-07,178014.25
2019-06-08,178405.2
2019-06-09,178535.8
2019-06-10,178796.43
2019-06-11,179057.21
2019-06-12,179317.98
2019-06-13,179318.26
2019-06-14,179578.9
2019-06-15,179839.67
2019-06-16,180100.45
2019-06-17,180361.08
2019-06-18,180491.68
2019-06-19,180622.28
2019-06-20,180622.56
2019-06-21,180622.98
2019-06-22,180623.4
2019-06-23,180623.68
2019-06-24,180624.1
2019-06-25,180624.52
2019-06-26,180364.45
2019-06-27,180364.73
2019-06-28,180365.15
2019-06-29,180365.57
2019-06-30,180365.85
2019-07-01,180366.28
2019-07-02,180366.7
2019-07-03,180366.98
2019-07-04,180367.4
2019-07-05,180367.82
2019-07-06,180368.1
2019-07-07,180368.38
2019-07-08,180368.8
2019-07-09,180369.23
2019-07-10,180369.51
2019-07-11,180239.75
2019-07-12,180110
2019-07-13,180110.28
2019-07-14,180110.7
2019-07-15,180111.12
2019-07-16,180111.4
2019-07-17,180111.82
2019-07-18,179982.07
2019-07-19,179721.99
2019-07-20,179331.74
2019-07-21,179006.73
2019-07-22,178421.35
2019-07-23,178031.1
2019-07-24,177445.73
2019-07-25,176990.53
2019-07-26,176470.1
2019-07-27,175949.82
2019-07-28,175429.53
2019-07-29,175039.28
2019-07-30,174649.03
2019-07-31,174063.66
2019-08-01,173478.28
2019-08-02,173088.03
2019-08-03,172567.75
2019-08-04,172047.46
2019-08-05,171657.21
2019-08-06,171266.96
2019-08-07,170681.6
2019-08-08,170096.22
2019-08-09,169705.97
2019-08-10,169185.69
2019-08-11,168665.4
2019-08-12,168144.97
2019-08-13,167689.78
2019-08-14,167104.4
2019-08-15,166714.15
2019-08-16,166323.9
2019-08-17,165868.71
2019-08-18,165673.86
2019-08-19,165674.14
2019-08-20,165869.83
2019-08-21,166325.87
2019-08-22,166716.68
2019-08-23,167302.9
2019-08-24,167889.11
2019-08-25,168149.74
2019-08-26,168801.05
2019-08-27,169452.35
2019-08-28,169712.99
2019-08-29,170103.8
2019-08-30,170690.02
2019-08-31,171276.23
2019-09-01,171667.04
2019-09-02,172188.18
2019-09-03,172839.48
2019-09-04,173100.11
2019-09-05,173686.33
2019-09-06,174272.54
2019-09-07,174663.36
2019-09-08,175249.58
2019-09-09,175705.61
2019-09-10,176226.6
2019-09-11,176487.23
2019-09-12,177138.54
2019-09-13,177659.67
2019-09-14,178050.48
2019-09-15,178636.7
2019-09-16,179222.91
2019-09-17,179353.37
2019-09-18,179744.32
2019-09-19,180135.27
2019-09-20,180135.55
2019-09-21,180135.97
2019-09-22,180136.4
