Date,Price
2018-09-12,314046.74
2018-09-13,313750
2018-09-14,313156.52
2018-09-15,312711.41
2018-09-16,312266.31
2018-09-17,311376.09
2018-09-18,310782.61
2018-09-19,309892.39
2018-09-20,309002.17
2018-09-21,308408.7
2018-09-22,307518.48
2018-09-23,306479.89
2018-09-24,305441.3
2018-09-25,304551.09
2018-09-26,303660.87
2018-09-27,303067.39
2018-09-28,302473.91
2018-09-29,301138.59
2018-09-30,300100
2018-10-01,299209.78
2018-10-02,298319.57
2018-10-03,297726.09
2018-10-04,297132.61
2018-10-05,295797.28
2018-10-06,294758.7
2018-10-07,293868.48
2018-10-08,293275
2018-10-09,292384.78
2018-10-10,291791.3
2018-10-11,290455.98
2018-10-12,289417.39
2018-10-13,288823.91
2018-10-14,288230.43
2018-10-15,287933.7
2018-10-16,287043.48
2018-10-17,286153.26
2018-10-18,285559.78
2018-10-19,284966.3
2018-10-20,284966.3
2018-10-21,284372.83
2018-10-22,284372.83
2018-10-23,283482.61
2018-10-24,283185.87
2018-10-25,282592.39
2018-10-26,281998.91
2018-10-27,281998.91
2018-10-28,281405.43
2018-10-29,280811.96
2018-10-30,280515.22
2018-10-31,279625
2018-11-01,279625
2018-11-02,279031.52
2018-11-03,279031.52
2018-11-04,278438.04
2018-11-05,277844.57
2018-11-06,277251.09
2018-11-07,276657.61
2018-11-08,276657.61
2018-11-09,276064.13
2018-11-10,275470.65
2018-11-11,275173.91
2018-11-12,274877.17
2018-11-13,274283.7
2018-11-14,273690.22
2018-11-15,273096.74
2018-11-16,272503.26
2018-11-17,271316.31
2018-11-18,270426.09
2018-11-19,269832.61
2018-11-20,268645.65
2018-11-21,268052.17
2018-11-22,267458.7
2018-11-23,265975
2018-11-24,265084.78
2018-11-25,263897.83
2018-11-26,263304.35
2018-11-27,262710.87
2018-11-28,261820.65
2018-11-29,260633.7
2018-11-30,259446.74
2018-12-01,258556.52
2018-12-02,257963.04
2018-12-03,257369.57
2018-12-04,256182.61
2018-12-05,255589.13
2018-12-06,254402.18
2018-12-07,253215.22
2018-12-08,252621.74
2018-12-09,251434.78
2018-12-10,250841.3
2018-12-11,250247.83
2018-12-12,248764.13
2018-12-13,247873.91
2018-12-14,247280.43
2018-12-15,246983.7
2018-12-16,246093.48
2018-12-17,245796.74
2018-12-18,245796.74
2018-12-19,245796.74
2018-12-20,245796.74
2018-12-21,245796.74
2018-12-22,245796.74
2018-12-23,245796.74
2018-12-24,245796.74
2018-12-25,245796.74
2018-12-26,245796.74
2018-12-27,245796.74
2018-12-28,245796.74
2018-12-29,245796.74
2018-12-30,245796.74
2018-12-31,246390.22
2019-01-01,246390.22
2019-01-02,246390.22
2019-01-03,246390.22
2019-01-04,246390.22
2019-01-05,246390.22
2019-01-06,246390.22
2019-01-07,246390.22
2019-01-08,246390.22
2019-01-09,246390.22
2019-01-10,246390.22
2019-01-11,246390.22
2019-01-12,246390.22
2019-01-13,246390.22
2019-01-14,246390.22
2019-01-15,246390.22
2019-01-16,246390.22
2019-01-17,246390.22
2019-01-18,245796.74
2019-01-19,245796.74
2019-01-20,245796.74
2019-01-21,245796.74
2019-01-22,245796.74
2019-01-23,245203.26
2019-01-24,245203.26
2019-01-25,245203.26
2019-01-26,245203.26
2019-01-27,244609.78
2019-01-28,244609.78
2019-01-29,244609.78
2019-01-30,244609.78
2019-01-31,244016.3
2019-02-01,244016.3
2019-02-02,244016.3
2019-02-03,244016.3
2019-02-04,244016.3
2019-02-05,243422.83
2019-02-06,243422.83
2019-02-07,243422.83
2019-02-08,243422.83
2019-02-09,243422.83
2019-02-10,242829.35
2019-02-11,242829.35
2019-02-12,242829.35
2019-02-13,242829.35
2019-02-14,242235.87
2019-02-15,242235.87
2019-02-16,242235.87
2019-02-17,241642.39
2019-02-18,241642.39
2019-02-19,241048.91
2019-02-20,241048.91
2019-02-21,240455.43
2019-02-22,240455.43
2019-02-23,239861.96
2019-02-24,239861.96
2019-02-25,239268.48
2019-02-26,239268.48
2019-02-27,239268.48
2019-02-28,238675
2019-03-01,238378.26
2019-03-02,238081.52
2019-03-03,237488.04
2019-03-04,237488.04
2019-03-05,237488.04
2019-03-06,236894.57
2019-03-07,236597.83
2019-03-08,236301.09
2019-03-09,236301.09
2019-03-10,235707.61
2019-03-11,235707.61
2019-03-12,235114.13
2019-03-13,234817.39
2019-03-14,234520.65
2019-03-15,234520.65
2019-03-16,233927.17
2019-03-17,233927.17
2019-03-18,233333.7
2019-03-19,233333.7
2019-03-20,233333.7
2019-03-21,232740.22
2019-03-22,232740.22
2019-03-23,232740.22
2019-03-24,232740.22
2019-03-25,232740.22
2019-03-26,232146.74
2019-03-27,232146.74
2019-03-28,232146.74
2019-03-29,232146.74
2019-03-30,232146.74
2019-03-31,231850
2019-04-01,231553.26
2019-04-02,231553.26
2019-04-03,231553.26
2019-04-04,231553.26
2019-04-05,231553.26
2019-04-06,230959.78
2019-04-07,230959.78
2019-04-08,230959.78
2019-04-09,230959.78
2019-04-10,230959.78
2019-04-11,230366.3
2019-04-12,230366.3
2019-04-13,230366.3
2019-04-14,230366.3
2019-04-15,230366.3
2019-04-16,229772.83
2019-04-17,229772.83
2019-04-18,229772.83
2019-04-19,229772.83
2019-04-20,229772.83
2019-04-21,230366.3
2019-04-22,230366.3
2019-04-23,230366.3
2019-04-24,230366.3
2019-04-25,230366.3
2019-04-26,230959.78
2019-04-27,230959.78
2019-04-28,230959.78
2019-04-29,230959.78
2019-04-30,230959.78
2019-05-01,231553.26
2019-05-02,231553.26
2019-05-03,231553.26
2019-05-04,231553.26
2019-05-05,231553.26
2019-05-06,231850
2019-05-07,232146.74
2019-05-08,232146.74
2019-05-09,232146.74
2019-05-10,232146.74
2019-05-11,232146.74
2019-05-12,232740.22
2019-05-13,232740.22
2019-05-14,232740.22
2019-05-15,232740.22
2019-05-16,232740.22
2019-05-17,233333.7
2019-05-18,233333.7
2019-05-19,233333.7
2019-05-20,233333.7
2019-05-21,233333.7
2019-05-22,233333.7
2019-05-23,233927.17
2019-05-24,233927.17
2019-05-25,233927.17
2019-05-26,233927.17
2019-05-27,233927.17
2019-05-28,233927.17
2019-05-29,233927.17
2019-05-30,234223.91
2019-05-31,234520.65
2019-06-01,234520.65
2019-06-02,234520.65
2019-06-03,234520.65
2019-06-04,234520.65
2019-06-05,234520.65
2019-06-06,234520.65
2019-06-07,235114.13
2019-06-08,235114.13
2019-06-09,235114.13
2019-06-10,235114.13
2019-06-11,235114.13
2019-06-12,235114.13
2019-06-13,235114.13
2019-06-14,235114.13
2019-06-15,235707.61
2019-06-16,235707.61
2019-06-17,235707.61
2019-06-18,235707.61
2019-06-19,235707.61
2019-06-20,235114.13
2019-06-21,235114.13
2019-06-22,234520.65
2019-06-23,234520.65
2019-06-24,233927.17
2019-06-25,233927.17
2019-06-26,233333.7
2019-06-27,233333.7
2019-06-28,233333.7
2019-06-29,232740.22
2019-06-30,232740.22
2019-07-01,232146.74
2019-07-02,232146.74
2019-07-03,231553.26
2019-07-04,231553.26
2019-07-05,231553.26
2019-07-06,230959.78
2019-07-07,230366.3
2019-07-08,230366.3
2019-07-09,230366.3
2019-07-10,229772.83
2019-07-11,229772.83
2019-07-12,229179.35
2019-07-13,229179.35
2019-07-14,228585.87
2019-07-15,228585.87
2019-07-16,228585.87
2019-07-17,227992.39
2019-07-18,227695.65
2019-07-19,227398.91
2019-07-20,227398.91
2019-07-21,227398.91
2019-07-22,227398.91
2019-07-23,227398.91
2019-07-24,227102.17
2019-07-25,226805.43
2019-07-26,226805.43
2019-07-27,226805.43
2019-07-28,226805.43
2019-07-29,226805.43
2019-07-30,226805.43
2019-07-31,226805.43
2019-08-01,226805.43
2019-08-02,226805.43
2019-08-03,226805.43
2019-08-04,226211.96
2019-08-05,226211.96
2019-08-06,226211.96
2019-08-07,226211.96
2019-08-08,226211.96
2019-08-09,226211.96
2019-08-10,226211.96
2019-08-11,226211.96
2019-08-12,226211.96
2019-08-13,226211.96
2019-08-14,225618.48
2019-08-15,225618.48
2019-08-16,225618.48
2019-08-17,225618.48
2019-08-18,225618.48
2019-08-19,225618.48
2019-08-20,225618.48
2019-08-21,225618.48
2019-08-22,225618.48
2019-08-23,225025
2019-08-24,225025
2019-08-25,225025
2019-08-26,225025
2019-08-27,225025
2019-08-28,225025
2019-08-29,224431.52
2019-08-30,224431.52
2019-08-31,224431.52
2019-09-01,224431.52
2019-09-02,224431.52
2019-09-03,224431.52
2019-09-04,223838.04
2019-09-05,223838.04
2019-09-06,223838.04
2019-09-07,223838.04
2019-09-08,223838.04
2019-09-09,223838.04
2019-09-10,223244.57
2019-09-11,223244.57
2019-09-12,223244.57
2019-09-13,223244.57
2019-09-14,223244.57
2019-09-15,223244.57
2019-09-16,222651.09
2019-09-17,222651.09
2019-09-18,222651.09
2019-09-19,222651.09
2019-09-20,222651.09
2019-09-21,222651.09
2019-09-22,222651.09
2019-09-23,222057.61
2019-09-24,222057.61
2019-09-25,222057.61
2019-09-26,222057.61
2019-09-27,222057.61
2019-09-28,222057.61
2019-09-29,222057.61
2019-09-30,222057.61
2019-10-01,222057.61
2019-10-02,222057.61
2019-10-03,222057.61
2019-10-04,221464.13
2019-10-05,221464.13
2019-10-06,221464.13
2019-10-07,221464.13
2019-10-08,221464.13
2019-10-09,221464.13
2019-10-10,221464.13
2019-10-11,221464.13
2019-10-12,221464.13
2019-10-13,221464.13
2019-10-14,220870.65
2019-10-15,220870.65
2019-10-16,220870.65
2019-10-17,220870.65
2019-10-18,220870.65
2019-10-19,220870.65
2019-10-20,220870.65
2019-10-21,220870.65
2019-10-22,220277.17
2019-10-23,220277.17
2019-10-24,220277.17
2019-10-25,220277.17
2019-10-26,219683.7
2019-10-27,219683.7
2019-10-28,219683.7
2019-10-29,219683.7
2019-10-30,219090.22
2019-10-31,219090.22
2019-11-01,219090.22
2019-11-02,219090.22
2019-11-03,219090.22
2019-11-04,218496.74
2019-11-05,218496.74
2019-11-06,218496.74
2019-11-07,218496.74
2019-11-08,218496.74
2019-11-09,217903.26
2019-11-10,217903.26
2019-11-11,217903.26
2019-11-12,217903.26
2019-11-13,217309.78
2019-11-14,217309.78
2019-11-15,217309.78
2019-11-16,217309.78
2019-11-17,216716.3
2019-11-18,216716.3
2019-11-19,216716.3
2019-11-20,216716.3
2019-11-21,216122.83
