Date,IPhoneX
2017-10-04,178793.24
2017-10-16,174719.06
2017-10-27,170884.33
2017-11-04,167176.56
2017-11-09,162989.05
2017-11-18,157795.52
2017-11-27,152704.78
2017-12-06,151994.47
2017-12-10,155941.9
2017-12-15,160039.51
2017-12-20,163865.22
2017-12-25,167711.86
2018-01-02,171965.97
2018-01-16,171486.36
2018-01-29,169865.58
2018-02-12,167970.92
2018-02-26,166015.4
2018-03-12,164455.48
2018-03-26,163139.01
2018-04-08,162613.75
2018-04-22,163092.71
2018-05-06,163693.39
2018-05-20,164598.39
2018-06-03,165229.5
2018-06-16,164734.67
2018-06-30,164087.69
2018-07-14,162862.51
2018-07-28,161485.18
2018-08-11,159894.83
2018-08-24,158213.19
2018-09-07,156288.1
2018-09-21,154149.99
2018-10-05,152650.94
2018-10-19,152369.12
2018-11-01,152239.46
2018-11-15,152231.53
2018-11-29,152223.59
2018-12-13,152215.66
2018-12-27,152207.72
2019-01-09,151743.32
2019-01-23,150974.61
2019-02-06,149566.85
2019-02-20,146683.18
2019-03-06,144073.39
2019-03-19,142665.63
2019-04-02,141592.61
2019-04-16,141280.36
2019-04-30,141089.84
2019-05-14,141447.08
2019-05-27,141895.61
2019-06-10,141492.07
2019-06-24,140388.62
2019-07-08,139315.59
2019-07-22,138212.14
2019-08-04,137382.57
2019-08-18,137009.46
2019-09-01,136666.78
2019-09-15,136658.85
2019-09-29,136650.91
2019-10-12,136642.98
2019-10-26,136635.04
2019-11-09,136627.11
2019-11-23,136619.17
2019-12-07,136611.24
2019-12-20,136603.3
2020-01-03,135560.71
2020-01-15,131424.29
2020-01-23,127832.73
2020-01-31,124930.21
