Date,Note8
2017-09-03,124758.12
2017-09-16,130230.91
2017-09-30,134962.41
2017-10-14,134153.71
2017-10-29,132400.82
2017-11-12,129750.98
2017-11-26,126912.3
2017-12-11,125065
2017-12-25,123878.62
2018-01-08,122975.49
2018-01-23,122166.79
2018-02-06,121452.49
2018-02-20,120690.99
2018-03-06,120212.75
2018-03-21,119828.91
2018-04-04,119445.08
2018-04-18,118494.75
2018-05-03,117402.79
2018-05-17,115083.4
2018-05-31,112527.97
2018-06-15,109642.09
2018-06-29,106708.99
2018-07-13,103681.47
2018-07-28,100842.79
2018-08-11,99845.25
2018-08-25,99367
2018-09-09,99360.84
2018-09-23,98835.38
2018-10-07,98451.55
2018-10-21,97501.22
2018-11-05,96598.09
2018-11-19,96119.84
2018-12-03,95688.8
2018-12-18,95682.64
2019-01-01,95676.48
2019-01-15,95670.31
2019-01-30,95664.15
2019-02-13,95657.99
2019-02-27,95651.83
2019-03-13,95551.25
2019-03-28,95120.21
2019-04-11,95114.05
2019-04-25,95627.18
2019-05-10,95621.02
2019-05-24,95614.86
2019-06-07,95419.86
2019-06-22,94941.61
2019-07-06,94557.78
2019-07-20,94221.16
2019-08-03,93837.33
2019-08-18,92698.16
2019-09-01,90307.96
2019-09-09,83336.02
2019-09-15,77505.7
2019-09-21,71531.44
2019-09-30,64817.17
2019-10-06,63568.02
2019-10-12,69459.78
2019-10-17,75184.15
2019-10-23,81580.28
2019-10-29,87757.44
2019-11-08,93418.2
2019-11-22,94450.63
2019-12-06,95010.97
2019-12-21,95004.81
2020-01-04,94998.65
2020-01-18,94992.49
2020-01-29,94988.01
