Date,Price
2020-01-13,169184.04
2020-01-14,168919.09
2020-01-15,168489.88
2020-01-16,168076.56
2020-01-17,167647.35
2020-01-18,167249.93
2020-01-19,166804.82
2020-01-20,166407.41
2020-01-21,166121.26
2020-01-22,165946.40
2020-01-23,165755.64
2020-01-24,165596.67
2020-01-25,165405.91
2020-01-26,165231.05
2020-01-27,165056.18
2020-01-28,164899.87
2020-01-29,164881.32
2020-01-30,164881.32
2020-01-31,164881.32
2020-02-01,164881.32
2020-02-02,164881.32
2020-02-03,164881.32
2020-02-04,164881.32
2020-02-05,164881.32
2020-02-06,164881.32
2020-02-07,164881.32
2020-02-08,164881.32
2020-02-09,164881.32
2020-02-10,164881.32
2020-02-11,164881.32
2020-02-12,164881.32
2020-02-13,164881.32
2020-02-14,164881.32
2020-02-15,164881.32
2020-02-16,164881.32
2020-02-17,164881.32
2020-02-18,164881.32
2020-02-19,164881.32
2020-02-20,164881.32
2020-02-21,164881.32
2020-02-22,164881.32
2020-02-23,164881.32
2020-02-24,164881.32
2020-02-25,164881.32
2020-02-26,164881.32
2020-02-27,164881.32
2020-02-28,164881.32
2020-02-29,164881.32
2020-03-01,164881.32
2020-03-02,164881.32
2020-03-03,164881.32
2020-03-04,164881.32
2020-03-05,164881.32
2020-03-06,164881.32
2020-03-07,164881.32
2020-03-08,164881.32
2020-03-09,164881.32
2020-03-10,164881.32
2020-03-11,164881.32
2020-03-12,164881.32
2020-03-13,164913.11
2020-03-14,165318.48
2020-03-15,165858.97
2020-03-16,166415.35
2020-03-17,166955.84
2020-03-18,167496.33
2020-03-19,168052.72
2020-03-20,168593.21
2020-03-21,168990.62
2020-03-22,168998.57
2020-03-23,168998.57
2020-03-24,168998.57
2020-03-25,168998.57
2020-03-26,168998.57
2020-03-27,168998.57
2020-03-28,168998.57
2020-03-29,168998.57
2020-03-30,168998.57
2020-03-31,168998.57
2020-04-01,168998.57
2020-04-02,168998.57
2020-04-03,168998.57
2020-04-04,168998.57
2020-04-05,169313.86
2020-04-06,170878.36
2020-04-07,172992.63
2020-04-08,175118.82
2020-04-09,177237.06
2020-04-10,179351.33
2020-04-11,181308.61
2020-04-12,183265.90
2020-04-13,184903.26
2020-04-14,185022.49
2020-04-15,185022.49
2020-04-16,185022.49
2020-04-17,185022.49
2020-04-18,185022.49
2020-04-19,185022.49
2020-04-20,185022.49
