Date,Price
2019-12-16,164895.53
2019-12-17,164895.04
2019-12-18,164804.87
2019-12-19,164781.89
2019-12-20,164781.23
2019-12-21,164780.57
2019-12-22,164668.02
2019-12-23,164678.55
2019-12-24,164498.93
2019-12-25,164088.02
2019-12-26,163669.65
2019-12-27,163247.55
2019-12-28,162817.99
2019-12-29,162436.98
2019-12-30,162033.52
2019-12-31,161641.26
2020-01-01,161342.24
2020-01-02,161102.88
2020-01-03,160878.51
2020-01-04,160631.70
2020-01-05,160384.89
2020-01-06,160160.51
2020-01-07,159921.16
2020-01-08,159845.91
2020-01-09,159845.24
2020-01-10,159844.58
2020-01-11,159843.98
2020-01-12,159843.32
2020-01-13,159842.65
2020-01-14,159841.99
2020-01-15,159684.69
2020-01-16,159326.05
2020-01-17,158926.33
2020-01-18,158541.53
2020-01-19,158123.16
2020-01-20,157712.25
2020-01-21,157375.99
2020-01-22,156983.72
2020-01-23,156680.97
2020-01-24,156367.03
2020-01-25,156053.08
2020-01-26,155806.33
2020-01-27,155525.95
2020-01-28,155223.20
2020-01-29,154931.69
2020-01-30,154796.77
2020-01-31,154796.11
2020-02-01,154795.44
2020-02-02,154794.78
2020-02-03,154794.18
2020-02-04,154793.52
2020-02-05,154792.85
2020-02-06,154792.19
2020-02-07,154791.53
2020-02-08,154790.93
2020-02-09,154790.27
2020-02-10,154789.60
2020-02-11,154788.94
2020-02-12,154788.28
2020-02-13,154787.68
2020-02-14,154787.01
2020-02-15,154786.35
2020-02-16,154785.69
2020-02-17,154785.03
2020-02-18,154784.42
2020-02-19,154783.76
2020-02-20,154783.10
2020-02-21,154782.44
2020-02-22,154781.77
2020-02-23,154781.17
2020-02-24,154780.51
2020-02-25,154779.85
2020-02-26,154779.19
2020-02-27,154778.52
2020-02-28,154777.86
2020-02-29,154777.20
2020-03-01,154776.60
2020-03-02,154775.93
2020-03-03,154775.27
2020-03-04,154774.61
2020-03-05,154773.95
2020-03-06,154773.34
2020-03-07,154772.68
2020-03-08,154772.02
2020-03-09,154771.36
2020-03-10,154770.69
2020-03-11,154770.09
2020-03-12,154769.43
2020-03-13,154768.77
2020-03-14,155075.79
2020-03-15,156166.02
2020-03-16,157284.27
2020-03-17,158514.36
2020-03-18,159744.44
2020-03-19,160974.52
2020-03-20,162204.60
2020-03-21,163360.10
2020-03-22,163825.62
2020-03-23,163824.96
2020-03-24,163824.30
2020-03-25,163823.70
2020-03-26,163823.04
2020-03-27,163822.37
2020-03-28,163821.71
2020-03-29,163821.05
2020-03-30,163820.45
2020-03-31,163819.78
2020-04-01,163819.12
2020-04-02,163818.46
2020-04-03,163817.80
2020-04-04,163817.19
2020-04-05,163993.68
2020-04-06,164945.92
2020-04-07,166486.48
2020-04-08,168027.05
2020-04-09,169562.02
2020-04-10,171096.99
2020-04-11,172637.56
2020-04-12,174189.31
2020-04-13,174990.50
2020-04-14,174999.16
2020-04-15,174998.56
2020-04-16,174997.90
2020-04-17,174997.23
2020-04-18,174996.57
2020-04-19,174995.91
2020-04-20,174995.55
