Date,Price
2020-01-27,159778.40
2020-01-28,159441.21
2020-01-29,159012.09
2020-01-30,158582.97
2020-01-31,158174.25
2020-02-01,157734.92
2020-02-02,157316.00
2020-02-03,156937.88
2020-02-04,156744.45
2020-02-05,156589.57
2020-02-06,156425.66
2020-02-07,156282.14
2020-02-08,156128.43
2020-02-09,155974.72
2020-02-10,155821.01
2020-02-11,155667.30
2020-02-12,155503.39
2020-02-13,155339.48
2020-02-14,155175.57
2020-02-15,155011.66
2020-02-16,154847.75
2020-02-17,154713.26
2020-02-18,154662.64
2020-02-19,154621.13
2020-02-20,154610.23
2020-02-21,154538.12
2020-02-22,154537.42
2020-02-23,154475.51
2020-02-24,154454.41
2020-02-25,154453.70
2020-02-26,154453.00
2020-02-27,154452.29
2020-02-28,154451.59
2020-02-29,154450.84
2020-03-01,154450.09
2020-03-02,154260.68
2020-03-03,153617.35
2020-03-04,152912.81
2020-03-05,152243.98
2020-03-06,151590.45
2020-03-07,150906.32
2020-03-08,150201.78
2020-03-09,149634.95
2020-03-10,149119.13
2020-03-11,148608.40
2020-03-12,148087.48
2020-03-13,147576.75
2020-03-14,147019.51
2020-03-15,146483.81
2020-03-16,146024.08
2020-03-17,145951.97
2020-03-18,145951.27
2020-03-19,145950.56
2020-03-20,145949.86
2020-03-21,145949.16
2020-03-22,145948.45
2020-03-23,145947.75
2020-03-24,145947.04
2020-03-25,145946.34
2020-03-26,145945.63
2020-03-27,145944.89
2020-03-28,145944.14
2020-03-29,145943.43
2020-03-30,145942.73
2020-03-31,145942.03
2020-04-01,145941.32
2020-04-02,145940.62
2020-04-03,145939.91
2020-04-04,145939.21
2020-04-05,145938.50
2020-04-06,145937.80
2020-04-07,145937.05
2020-04-08,145936.30
2020-04-09,145935.60
2020-04-10,145934.90
2020-04-11,145934.19
2020-04-12,145933.49
2020-04-13,146141.89
2020-04-14,147196.93
2020-04-15,148389.68
2020-04-16,149577.33
2020-04-17,150848.80
2020-04-18,152105.54
2020-04-19,153303.38
2020-04-20,154194.30
