Date,Price
2019-04-23,152154.28
2019-04-24,152154.28
2019-04-25,152154.28
2019-04-26,152154.28
2019-04-27,152154.28
2019-04-28,152154.28
2019-04-29,152154.28
2019-04-30,152154.28
2019-05-01,152413.93
2019-05-02,152413.93
2019-05-03,152413.93
2019-05-04,152413.93
2019-05-05,152413.93
2019-05-06,152413.93
2019-05-07,152413.93
2019-05-08,152413.93
2019-05-09,152413.93
2019-05-10,152413.93
2019-05-11,152413.93
2019-05-12,152413.93
2019-05-13,152413.93
2019-05-14,152413.93
2019-05-15,152413.93
2019-05-16,152673.57
2019-05-17,152673.57
2019-05-18,152673.57
2019-05-19,152673.57
2019-05-20,152673.57
2019-05-21,152673.57
2019-05-22,152673.57
2019-05-23,152673.57
2019-05-24,152673.57
2019-05-25,152413.93
2019-05-26,152413.93
2019-05-27,152284.11
2019-05-28,152154.28
2019-05-29,152154.28
2019-05-30,151894.63
2019-05-31,151894.63
2019-06-01,151764.81
2019-06-02,151634.99
2019-06-03,151634.99
2019-06-04,151375.34
2019-06-05,151375.34
2019-06-06,151245.52
2019-06-07,151115.69
2019-06-08,151115.69
2019-06-09,150856.05
2019-06-10,150856.05
2019-06-11,150726.23
2019-06-12,150596.40
2019-06-13,150596.40
2019-06-14,150336.75
2019-06-15,150336.75
2019-06-16,150206.93
2019-06-17,150077.11
2019-06-18,150077.11
2019-06-19,149817.46
2019-06-20,149817.46
2019-06-21,149687.64
2019-06-22,149557.81
2019-06-23,149557.81
2019-06-24,149298.17
2019-06-25,149298.17
2019-06-26,149298.17
2019-06-27,149168.35
2019-06-28,149038.52
2019-06-29,149038.52
2019-06-30,148908.70
2019-07-01,148778.87
2019-07-02,148778.87
2019-07-03,148519.23
2019-07-04,148519.23
2019-07-05,148519.23
2019-07-06,148389.41
2019-07-07,148259.58
2019-07-08,148259.58
2019-07-09,148129.76
2019-07-10,147999.93
2019-07-11,147999.93
2019-07-12,147999.93
2019-07-13,147740.29
2019-07-14,147740.29
2019-07-15,147610.47
2019-07-16,147480.64
2019-07-17,147480.64
2019-07-18,147350.82
2019-07-19,147220.99
2019-07-20,147220.99
2019-07-21,147220.99
2019-07-22,146961.35
2019-07-23,146961.35
2019-07-24,146961.35
2019-07-25,146961.35
2019-07-26,146961.35
2019-07-27,146701.70
2019-07-28,146701.70
2019-07-29,146701.70
2019-07-30,146701.70
2019-07-31,146701.70
2019-08-01,146701.70
2019-08-02,146701.70
2019-08-03,146571.88
2019-08-04,146442.05
2019-08-05,146442.05
2019-08-06,146442.05
2019-08-07,146442.05
2019-08-08,146442.05
2019-08-09,146442.05
2019-08-10,146442.05
2019-08-11,146182.40
2019-08-12,146182.40
2019-08-13,146182.40
2019-08-14,146182.40
2019-08-15,146182.40
2019-08-16,146182.40
2019-08-17,146182.40
2019-08-18,146052.58
2019-08-19,145922.76
2019-08-20,145922.76
2019-08-21,145922.76
2019-08-22,145922.76
2019-08-23,146182.40
2019-08-24,146571.88
2019-08-25,146831.53
2019-08-26,147220.99
2019-08-27,147480.64
2019-08-28,147740.29
2019-08-29,147999.93
2019-08-30,148389.41
2019-08-31,148649.05
2019-09-01,149038.52
2019-09-02,149427.99
2019-09-03,149687.64
2019-09-04,149817.46
2019-09-05,150206.93
2019-09-06,150466.58
2019-09-07,150856.05
2019-09-08,151245.52
2019-09-09,151505.17
2019-09-10,151894.63
2019-09-11,152154.28
2019-09-12,152413.93
2019-09-13,152673.57
2019-09-14,153063.05
2019-09-15,153322.69
2019-09-16,153712.16
2019-09-17,154101.63
2019-09-18,154361.28
2019-09-19,154620.93
2019-09-20,155010.39
2019-09-21,155140.22
2019-09-22,155140.22
2019-09-23,155010.39
2019-09-24,154880.57
2019-09-25,154750.75
2019-09-26,154491.10
2019-09-27,154361.28
2019-09-28,154231.45
2019-09-29,154231.45
2019-09-30,153971.81
2019-10-01,153841.99
2019-10-02,153712.16
2019-10-03,153452.51
2019-10-04,153452.51
2019-10-05,153192.87
2019-10-06,153192.87
2019-10-07,152933.22
2019-10-08,152803.40
2019-10-09,152673.57
2019-10-10,152543.75
2019-10-11,152413.93
2019-10-12,152154.28
2019-10-13,152024.46
2019-10-14,151894.63
2019-10-15,151894.63
2019-10-16,151634.99
2019-10-17,151505.17
2019-10-18,151375.34
2019-10-19,151115.69
2019-10-20,151115.69
2019-10-21,150856.05
2019-10-22,150856.05
2019-10-23,151115.69
2019-10-24,151375.34
2019-10-25,151634.99
2019-10-26,151894.63
2019-10-27,152024.46
2019-10-28,152284.11
2019-10-29,152413.93
2019-10-30,152673.57
2019-10-31,152803.40
2019-11-01,153063.05
2019-11-02,153322.69
2019-11-03,153582.34
2019-11-04,153712.16
2019-11-05,153971.81
2019-11-06,154231.45
2019-11-07,154361.28
2019-11-08,154491.10
2019-11-09,154750.75
2019-11-10,155010.39
2019-11-11,155270.04
2019-11-12,155529.69
2019-11-13,155659.51
2019-11-14,155789.33
2019-11-15,156048.98
2019-11-16,156308.63
2019-11-17,156438.45
2019-11-18,156698.10
2019-11-19,156957.75
2019-11-20,157217.39
2019-11-21,157347.21
2019-11-22,157087.57
2019-11-23,156957.75
2019-11-24,156698.10
2019-11-25,156438.45
2019-11-26,156178.81
2019-11-27,155919.16
2019-11-28,155659.51
2019-11-29,155399.87
2019-11-30,155270.04
2019-12-01,155010.39
2019-12-02,154750.75
2019-12-03,154491.10
2019-12-04,154231.45
2019-12-05,153971.81
2019-12-06,153712.16
2019-12-07,153582.34
2019-12-08,153452.51
2019-12-09,153192.87
2019-12-10,152933.22
2019-12-11,152673.57
2019-12-12,152413.93
2019-12-13,152154.28
2019-12-14,151894.63
2019-12-15,151634.99
2019-12-16,151375.34
2019-12-17,151245.52
2019-12-18,150985.87
2019-12-19,150726.23
2019-12-20,150466.58
2019-12-21,149817.46
2019-12-22,149233.26
2019-12-23,148259.58
2019-12-24,147610.46
2019-12-25,146961.35
2019-12-26,146052.58
2019-12-27,145143.82
2019-12-28,144299.97
2019-12-29,143326.29
2019-12-30,142482.44
2019-12-31,141768.41
2020-01-01,141054.39
2020-01-02,140210.53
2020-01-03,139236.86
2020-01-04,138393.01
2020-01-05,137484.24
2020-01-06,136575.48
2020-01-07,135731.63
2020-01-08,135017.60
2020-01-09,134303.57
2020-01-10,133459.72
2020-01-11,132486.04
2020-01-12,131642.19
2020-01-13,130668.52
2020-01-14,129824.66
2020-01-15,128915.90
2020-01-16,128266.78
2020-01-17,127552.76
2020-01-18,126708.90
2020-01-19,125735.23
2020-01-20,125151.02
2020-01-21,124501.91
2020-01-22,124242.26
2020-01-23,123982.61
2020-01-24,123852.79
2020-01-25,123593.14
2020-01-26,123333.49
2020-01-27,123203.67
2020-01-28,122944.03
2020-01-29,122684.38
2020-01-30,122424.73
2020-01-31,122165.08
2020-02-01,122035.26
2020-02-02,121905.44
2020-02-03,121645.79
2020-02-04,121386.14
2020-02-05,121126.50
2020-02-06,120866.85
2020-02-07,120607.20
2020-02-08,120477.38
2020-02-09,120217.73
2020-02-10,120087.91
2020-02-11,119828.26
2020-02-12,119568.62
2020-02-13,119308.97
2020-02-14,119179.14
2020-02-15,118919.50
2020-02-16,118659.85
2020-02-17,118400.20
2020-02-18,118270.38
2020-02-19,118010.74
2020-02-20,117880.91
2020-02-21,117621.26
2020-02-22,117621.26
2020-02-23,117361.62
2020-02-24,117361.62
2020-02-25,117231.80
2020-02-26,117101.97
2020-02-27,116972.15
2020-02-28,116842.32
2020-02-29,116582.68
2020-03-01,116582.68
2020-03-02,116323.03
2020-03-03,116323.03
2020-03-04,116193.21
2020-03-05,116063.38
2020-03-06,115803.74
2020-03-07,115803.74
2020-03-08,115544.09
2020-03-09,115544.09
2020-03-10,115284.44
2020-03-11,115284.44
2020-03-12,115154.62
2020-03-13,115024.80
2020-03-14,114765.15
2020-03-15,114765.15
2020-03-16,114505.50
2020-03-17,114505.50
2020-03-18,114245.86
2020-03-19,114245.86
2020-03-20,114116.04
2020-03-21,113986.21
2020-03-22,113986.21
2020-03-23,113986.21
2020-03-24,113986.21
2020-03-25,113986.21
2020-03-26,113986.21
2020-03-27,113986.21
2020-03-28,113986.21
2020-03-29,113986.21
2020-03-30,113986.21
2020-03-31,113986.21
2020-04-01,113986.21
2020-04-02,113986.21
2020-04-03,113986.21
2020-04-04,113986.21
2020-04-05,113986.21
2020-04-06,113986.21
2020-04-07,113986.21
2020-04-08,113986.21
2020-04-09,113986.21
2020-04-10,113986.21
2020-04-11,113986.21
2020-04-12,113986.21
2020-04-13,113986.21
2020-04-14,113986.21
2020-04-15,113986.21
2020-04-16,113986.21
2020-04-17,113986.21
2020-04-18,113986.21
2020-04-19,113986.21
