Date,Price
2019-04-01,46196.04
2019-04-02,46121.45
2019-04-03,46121.45
2019-04-04,46046.86
2019-04-05,46046.86
2019-04-06,46009.57
2019-04-07,45972.27
2019-04-08,45972.27
2019-04-09,45897.68
2019-04-10,45897.68
2019-04-11,45823.09
2019-04-12,45823.09
2019-04-13,45748.50
2019-04-14,45748.50
2019-04-15,45673.91
2019-04-16,45673.91
2019-04-17,45599.32
2019-04-18,45599.32
2019-04-19,45562.03
2019-04-20,45524.73
2019-04-21,45524.73
2019-04-22,45450.14
2019-04-23,45412.85
2019-04-24,45375.55
2019-04-25,45375.55
2019-04-26,45300.96
2019-04-27,45300.96
2019-04-28,45226.37
2019-04-29,45226.37
2019-04-30,45189.08
2019-05-01,45151.78
2019-05-02,45114.49
2019-05-03,45077.19
2019-05-04,45039.90
2019-05-05,44965.31
2019-05-06,44890.72
2019-05-07,44816.13
2019-05-08,44778.83
2019-05-09,44704.23
2019-05-10,44629.64
2019-05-11,44555.05
2019-05-12,44480.46
2019-05-13,44443.17
2019-05-14,44368.58
2019-05-15,44293.99
2019-05-16,44256.69
2019-05-17,44182.10
2019-05-18,44107.51
2019-05-19,44032.92
2019-05-20,44032.92
2019-05-21,43958.33
2019-05-22,43883.74
2019-05-23,43809.15
2019-05-24,43734.56
2019-05-25,43697.27
2019-05-26,43622.68
2019-05-27,43548.09
2019-05-28,43473.50
2019-05-29,43436.20
2019-05-30,43361.61
2019-05-31,43287.02
2019-06-01,43212.43
2019-06-02,43137.84
2019-06-03,43100.55
2019-06-04,43063.25
2019-06-05,43100.55
2019-06-06,43137.84
2019-06-07,43137.84
2019-06-08,43137.84
2019-06-09,43212.43
2019-06-10,43212.43
2019-06-11,43212.43
2019-06-12,43249.73
2019-06-13,43287.02
2019-06-14,43287.02
2019-06-15,43324.32
2019-06-16,43361.61
2019-06-17,43361.61
2019-06-18,43398.91
2019-06-19,43436.20
2019-06-20,43436.20
2019-06-21,43436.20
2019-06-22,43510.79
2019-06-23,43510.79
2019-06-24,43510.79
2019-06-25,43548.09
2019-06-26,43585.38
2019-06-27,43585.38
2019-06-28,43622.68
2019-06-29,43659.97
2019-06-30,43659.97
2019-07-01,43659.97
2019-07-02,43734.56
2019-07-03,43734.56
2019-07-04,43734.56
2019-07-05,43809.15
2019-07-06,43809.15
2019-07-07,43809.15
2019-07-08,43809.15
2019-07-09,43809.15
2019-07-10,43809.15
2019-07-11,43809.15
2019-07-12,43809.15
2019-07-13,43809.15
2019-07-14,43809.15
2019-07-15,43809.15
2019-07-16,43809.15
2019-07-17,43809.15
2019-07-18,43809.15
2019-07-19,43809.15
2019-07-20,43809.15
2019-07-21,43809.15
2019-07-22,43771.86
2019-07-23,43734.56
2019-07-24,43734.56
2019-07-25,43734.56
2019-07-26,43734.56
2019-07-27,43734.56
2019-07-28,43734.56
2019-07-29,43734.56
2019-07-30,43734.56
2019-07-31,43734.56
2019-08-01,43734.56
2019-08-02,43734.56
2019-08-03,43734.56
2019-08-04,43734.56
2019-08-05,43734.56
2019-08-06,43734.56
2019-08-07,43734.56
2019-08-08,43697.27
2019-08-09,43659.97
2019-08-10,43659.97
2019-08-11,43585.38
2019-08-12,43548.09
2019-08-13,43510.79
2019-08-14,43510.79
2019-08-15,43436.20
2019-08-16,43398.91
2019-08-17,43361.61
2019-08-18,43361.61
2019-08-19,43287.02
2019-08-20,43249.73
2019-08-21,43212.43
2019-08-22,43212.43
2019-08-23,43137.84
2019-08-24,43100.55
2019-08-25,43063.25
2019-08-26,43063.25
2019-08-27,42988.66
2019-08-28,42951.37
2019-08-29,42914.07
2019-08-30,42914.07
2019-08-31,42839.48
2019-09-01,42802.19
2019-09-02,42764.89
2019-09-03,42764.89
2019-09-04,42690.30
2019-09-05,42653.01
2019-09-06,42615.71
2019-09-07,42615.71
2019-09-08,42541.12
2019-09-09,42466.53
2019-09-10,42391.94
2019-09-11,42317.35
2019-09-12,42242.76
2019-09-13,42168.17
2019-09-14,42056.29
2019-09-15,42018.99
2019-09-16,41944.40
2019-09-17,41832.52
2019-09-18,41757.93
2019-09-19,41683.34
2019-09-20,41571.45
2019-09-21,41534.16
2019-09-22,41459.57
2019-09-23,41347.68
2019-09-24,41273.09
2019-09-25,41235.80
2019-09-26,41161.21
2019-09-27,41049.32
2019-09-28,40974.73
2019-09-29,40937.44
2019-09-30,40825.55
2019-10-01,40750.96
2019-10-02,40676.37
2019-10-03,40601.78
2019-10-04,40527.19
2019-10-05,40415.31
2019-10-06,40378.01
2019-10-07,40303.42
2019-10-08,40191.53
2019-10-09,40116.94
2019-10-10,40042.35
2019-10-11,39930.46
2019-10-12,39893.17
2019-10-13,39818.58
2019-10-14,39743.99
2019-10-15,39706.69
2019-10-16,39632.10
2019-10-17,39557.51
2019-10-18,39482.92
2019-10-19,39408.33
2019-10-20,39371.04
2019-10-21,39296.45
2019-10-22,39221.86
2019-10-23,39184.56
2019-10-24,39109.97
2019-10-25,39035.38
2019-10-26,38960.79
2019-10-27,38886.20
2019-10-28,38848.91
2019-10-29,38774.32
2019-10-30,38699.73
2019-10-31,38625.14
2019-11-01,38587.84
2019-11-02,38513.25
2019-11-03,38438.66
2019-11-04,38364.07
