Date,Price
2019-09-23,34989.21
2019-09-24,34989.29
2019-09-25,34959.72
2019-09-26,34959.82
2019-09-27,34959.92
2019-09-28,34952.61
2019-09-29,34930.47
2019-09-30,34975.08
2019-10-01,35074.08
2019-10-02,35212.67
2019-10-03,35356.21
2019-10-04,35475.00
2019-10-05,35598.74
2019-10-06,35712.58
2019-10-07,35652.73
2019-10-08,35396.29
2019-10-09,35109.53
2019-10-10,34822.78
2019-10-11,34492.15
2019-10-12,34160.29
2019-10-13,33863.64
2019-10-14,33539.20
2019-10-15,33211.04
2019-10-16,32929.23
2019-10-17,32649.89
2019-10-18,32330.39
2019-10-19,31997.29
2019-10-20,31730.32
2019-10-21,31574.63
2019-10-22,31490.67
2019-10-23,31490.78
2019-10-24,31490.87
2019-10-25,31490.97
2019-10-26,31491.08
2019-10-27,31491.19
2019-10-28,31491.29
2019-10-29,31461.71
2019-10-30,31461.81
2019-10-31,31432.25
2019-11-01,31422.47
2019-11-02,31402.78
2019-11-03,31392.98
2019-11-04,31373.32
2019-11-05,31373.43
2019-11-06,31373.52
2019-11-07,31373.62
2019-11-08,31373.73
2019-11-09,31373.84
2019-11-10,31373.94
2019-11-11,31374.03
2019-11-12,31374.15
2019-11-13,31374.26
2019-11-14,31374.36
2019-11-15,31374.45
2019-11-16,31374.55
2019-11-17,31374.66
2019-11-18,31374.77
2019-11-19,31374.87
2019-11-20,31374.96
2019-11-21,31375.08
2019-11-22,31375.19
2019-11-23,31375.28
2019-11-24,31375.38
2019-11-25,31375.49
2019-11-26,31375.60
2019-11-27,31375.70
2019-11-28,31375.80
2019-11-29,31375.89
2019-11-30,31376.01
2019-12-01,31376.12
2019-12-02,31376.21
2019-12-03,31376.31
2019-12-04,31376.42
2019-12-05,31376.53
2019-12-06,31376.63
2019-12-07,31376.72
2019-12-08,31376.84
2019-12-09,31376.95
2019-12-10,31377.04
2019-12-11,31377.14
2019-12-12,31377.25
2019-12-13,31377.36
2019-12-14,31377.46
2019-12-15,31382.50
2019-12-16,31616.91
2019-12-17,32125.18
2019-12-18,32856.63
2019-12-19,33482.35
2019-12-20,34105.60
2019-12-21,34756.05
2019-12-22,35380.13
2019-12-23,35849.59
2019-12-24,36185.67
2019-12-25,36146.20
2019-12-26,36116.62
2019-12-27,36082.12
2019-12-28,36047.61
2019-12-29,36008.14
2019-12-30,35978.56
2019-12-31,35934.16
2020-01-01,35889.76
2020-01-02,35850.29
2020-01-03,35810.83
2020-01-04,35763.96
2020-01-05,35722.03
2020-01-06,35682.56
2020-01-07,35672.76
2020-01-08,35653.08
2020-01-09,35653.19
2020-01-10,35623.63
2020-01-11,35623.72
2020-01-12,35613.93
2020-01-13,35594.26
2020-01-14,35594.37
2020-01-15,35594.47
2020-01-16,35594.56
2020-01-17,35594.68
2020-01-18,35594.79
2020-01-19,35594.88
2020-01-20,35594.98
2020-01-21,35595.07
2020-01-22,35595.19
2020-01-23,35595.30
2020-01-24,35595.39
2020-01-25,35595.49
2020-01-26,35595.60
2020-01-27,35595.71
2020-01-28,35595.81
2020-01-29,35595.91
2020-01-30,35596.02
2020-01-31,35596.13
2020-02-01,35596.23
2020-02-02,35596.32
2020-02-03,35596.44
2020-02-04,35596.55
2020-02-05,35596.64
2020-02-06,35596.74
2020-02-07,35596.83
2020-02-08,35596.95
2020-02-09,35597.06
2020-02-10,35621.88
2020-02-11,35711.00
2020-02-12,35819.92
2020-02-13,35938.73
2020-02-14,36032.79
2020-02-15,36131.80
2020-02-16,36239.48
2020-02-17,36344.69
2020-02-18,36423.91
2020-02-19,36503.14
2020-02-20,36572.47
2020-02-21,36666.56
2020-02-22,36740.85
2020-02-23,36829.97
2020-02-24,36889.41
2020-02-25,36904.36
2020-02-26,36904.47
2020-02-27,36904.57
2020-02-28,36904.67
2020-02-29,36904.76
2020-03-01,36904.88
2020-03-02,36904.99
2020-03-03,36905.08
2020-03-04,36905.18
2020-03-05,36905.29
2020-03-06,36905.40
2020-03-07,36905.50
2020-03-08,36905.60
2020-03-09,36905.71
2020-03-10,36905.82
2020-03-11,36905.92
2020-03-12,36906.01
2020-03-13,36906.13
2020-03-14,36906.24
2020-03-15,36906.33
2020-03-16,36906.43
2020-03-17,36906.52
2020-03-18,36906.64
2020-03-19,36906.75
2020-03-20,36906.84
2020-03-21,36906.94
2020-03-22,36907.05
2020-03-23,36907.16
2020-03-24,36907.26
2020-03-25,36907.36
2020-03-26,36907.47
2020-03-27,36907.58
2020-03-28,36907.68
2020-03-29,36907.77
2020-03-30,36907.89
2020-03-31,36908.00
2020-04-01,36908.09
2020-04-02,36908.19
2020-04-03,36908.28
2020-04-04,36908.40
2020-04-05,36908.51
2020-04-06,36908.60
2020-04-07,36908.70
2020-04-08,36908.81
2020-04-09,36908.92
2020-04-10,36909.02
2020-04-11,36909.12
2020-04-12,36909.23
2020-04-13,36909.34
2020-04-14,36909.44
2020-04-15,36909.53
2020-04-16,36909.63
2020-04-17,36909.74
2020-04-18,36909.85
2020-04-19,36909.95
2020-04-20,36910.03
