Date,Price
2019-06-24,16986.31
2019-06-25,16986.31
2019-06-26,16986.31
2019-06-27,16986.31
2019-06-28,16986.31
2019-06-29,16986.31
2019-06-30,16986.31
2019-07-01,16986.31
2019-07-02,16986.31
2019-07-03,16986.31
2019-07-04,16986.31
2019-07-05,16986.31
2019-07-06,16986.31
2019-07-07,16986.31
2019-07-08,16986.31
2019-07-09,16975.18
2019-07-10,16969.62
2019-07-11,16961.27
2019-07-12,16952.92
2019-07-13,16947.36
2019-07-14,16940.41
2019-07-15,16919.55
2019-07-16,16883.37
2019-07-17,16852.78
2019-07-18,16819.40
2019-07-19,16786.01
2019-07-20,16755.41
2019-07-21,16719.25
2019-07-22,16702.55
2019-07-23,16702.55
2019-07-24,16702.55
2019-07-25,16702.55
2019-07-26,16702.55
2019-07-27,16702.55
2019-07-28,16702.55
2019-07-29,16702.55
2019-07-30,16702.55
2019-07-31,16702.55
2019-08-01,16702.55
2019-08-02,16702.55
2019-08-03,16702.55
2019-08-04,16702.55
2019-08-05,16702.55
2019-08-06,16702.55
2019-08-07,16702.55
2019-08-08,16702.55
2019-08-09,16702.55
2019-08-10,16702.55
2019-08-11,16702.55
2019-08-12,16702.55
2019-08-13,16685.86
2019-08-14,16685.86
2019-08-15,16685.86
2019-08-16,16674.73
2019-08-17,16669.17
2019-08-18,16669.17
2019-08-19,16652.48
2019-08-20,16616.31
2019-08-21,16585.71
2019-08-22,16560.67
2019-08-23,16535.64
2019-08-24,16505.04
2019-08-25,16468.87
2019-08-26,16452.18
2019-08-27,16418.80
2019-08-28,16382.63
2019-08-29,16352.03
2019-08-30,16318.65
2019-08-31,16301.96
2019-09-01,16265.79
2019-09-02,16251.88
2019-09-03,16243.54
2019-09-04,16235.19
2019-09-05,16224.06
2019-09-06,16218.50
2019-09-07,16201.80
2019-09-08,16201.80
2019-09-09,16185.11
2019-09-10,16185.11
2019-09-11,16168.42
2019-09-12,16168.42
2019-09-13,16151.73
2019-09-14,16143.39
2019-09-15,16126.70
2019-09-16,16107.22
2019-09-17,16076.62
2019-09-18,16059.93
2019-09-19,16043.24
2019-09-20,16023.76
2019-09-21,16001.50
2019-09-22,15984.81
2019-09-23,15976.47
2019-09-24,15962.56
2019-09-25,15951.43
2019-09-26,15934.74
2019-09-27,15926.40
2019-09-28,15912.49
2019-09-29,15901.36
