Date,Price
2019-03-25,22547.11
2019-03-26,22517.50
2019-03-27,22487.89
2019-03-28,22473.10
2019-03-29,22443.48
2019-03-30,22413.87
2019-03-31,22384.26
2019-04-01,22354.63
2019-04-02,22339.84
2019-04-03,22310.23
2019-04-04,22295.44
2019-04-05,22265.82
2019-04-06,22236.21
2019-04-07,22206.60
2019-04-08,22176.97
2019-04-09,22177.02
2019-04-10,22147.41
2019-04-11,22117.80
2019-04-12,22088.17
2019-04-13,22073.38
2019-04-14,22043.77
2019-04-15,22014.16
2019-04-16,21999.37
2019-04-17,21969.75
2019-04-18,21940.14
2019-04-19,21910.51
2019-04-20,21895.72
2019-04-21,21866.11
2019-04-22,21836.50
2019-04-23,21821.71
2019-04-24,21821.77
2019-04-25,21821.83
2019-04-26,21821.89
2019-04-27,21821.94
2019-04-28,21821.99
2019-04-29,21822.05
2019-04-30,21822.10
2019-05-01,21822.15
2019-05-02,21822.21
2019-05-03,21822.28
2019-05-04,21822.32
2019-05-05,21822.37
2019-05-06,21822.44
2019-05-07,21822.50
2019-05-08,21822.55
2019-05-09,21852.27
2019-05-10,21852.34
2019-05-11,21852.38
2019-05-12,21852.43
2019-05-13,21852.50
2019-05-14,21852.56
2019-05-15,21852.60
2019-05-16,21852.66
2019-05-17,21852.72
2019-05-18,21852.78
2019-05-19,21852.83
2019-05-20,21852.88
2019-05-21,21852.94
2019-05-22,21853.01
2019-05-23,21853.05
2019-05-24,21853.10
2019-05-25,21823.49
2019-05-26,21823.54
2019-05-27,21808.75
2019-05-28,21793.98
2019-05-29,21764.37
2019-05-30,21764.41
2019-05-31,21749.62
2019-06-01,21734.86
2019-06-02,21705.25
2019-06-03,21705.29
2019-06-04,21690.50
2019-06-05,21675.73
2019-06-06,21646.10
2019-06-07,21646.15
2019-06-08,21616.54
2019-06-09,21616.61
2019-06-10,21586.98
2019-06-11,21587.03
2019-06-12,21557.42
2019-06-13,21557.48
2019-06-14,21527.85
2019-06-15,21527.91
2019-06-16,21498.30
2019-06-17,21498.34
2019-06-18,21483.55
2019-06-19,21468.78
2019-06-20,21439.17
2019-06-21,21439.22
2019-06-22,21424.43
2019-06-23,21394.82
2019-06-24,21335.53
2019-06-25,21291.07
2019-06-26,21246.61
2019-06-27,21187.32
2019-06-28,21128.04
2019-06-29,21083.58
2019-06-30,21039.11
2019-07-01,20979.83
2019-07-02,20935.37
2019-07-03,20890.90
2019-07-04,20831.62
2019-07-05,20772.34
2019-07-06,20727.87
2019-07-07,20683.41
2019-07-08,20624.13
2019-07-09,20564.84
2019-07-10,20520.38
2019-07-11,20475.92
2019-07-12,20416.63
2019-07-13,20372.17
2019-07-14,20327.71
2019-07-15,20268.42
2019-07-16,20209.14
2019-07-17,20164.68
2019-07-18,20120.21
2019-07-19,20060.93
2019-07-20,20001.65
2019-07-21,19957.18
2019-07-22,19912.72
2019-07-23,19868.28
2019-07-24,19868.32
2019-07-25,19868.37
2019-07-26,19868.44
2019-07-27,19838.83
2019-07-28,19838.87
2019-07-29,19838.92
2019-07-30,19838.99
2019-07-31,19839.05
2019-08-01,19839.09
2019-08-02,19839.15
2019-08-03,19824.37
2019-08-04,19809.60
2019-08-05,19809.64
2019-08-06,19809.70
2019-08-07,19809.76
2019-08-08,19809.80
2019-08-09,19809.86
2019-08-10,19809.92
2019-08-11,19795.14
2019-08-12,19780.35
2019-08-13,19780.41
2019-08-14,19780.47
2019-08-15,19780.53
2019-08-16,19780.58
2019-08-17,19780.63
2019-08-18,19780.69
2019-08-19,19751.06
2019-08-20,19751.12
2019-08-21,19751.18
2019-08-22,19751.24
2019-08-23,19751.29
2019-08-24,19736.50
2019-08-25,19721.73
2019-08-26,19721.79
2019-08-27,19692.16
2019-08-28,19692.22
2019-08-29,19677.44
2019-08-30,19662.67
2019-08-31,19662.71
2019-09-01,19647.93
2019-09-02,19633.16
2019-09-03,19633.20
2019-09-04,19618.41
2019-09-05,19603.64
2019-09-06,19588.87
2019-09-07,19574.08
2019-09-08,19574.13
2019-09-09,19559.35
2019-09-10,19544.58
2019-09-11,19544.63
2019-09-12,19529.84
2019-09-13,19515.07
2019-09-14,19515.11
2019-09-15,19500.32
2019-09-16,19485.55
2019-09-17,19470.78
2019-09-18,19455.99
2019-09-19,19456.04
2019-09-20,19441.26
2019-09-21,19426.49
2019-09-22,19426.54
2019-09-23,19411.75
2019-09-24,19396.98
2019-09-25,19397.02
2019-09-26,19382.24
2019-09-27,19367.47
2019-09-28,19352.69
2019-09-29,19337.90
2019-09-30,19337.95
2019-10-01,19323.18
2019-10-02,19308.41
2019-10-03,19308.45
2019-10-04,19293.66
2019-10-05,19278.89
2019-10-06,19264.12
2019-10-07,19249.33
2019-10-08,19249.38
2019-10-09,19234.60
2019-10-10,19219.81
2019-10-11,19219.86
2019-10-12,19205.09
2019-10-13,19190.32
2019-10-14,19190.36
2019-10-15,19175.57
2019-10-16,19160.80
2019-10-17,19146.03
2019-10-18,19131.24
2019-10-19,19131.29
2019-10-20,19116.51
2019-10-21,19101.72
2019-10-22,19101.77
2019-10-23,19057.33
2019-10-24,19012.88
2019-10-25,18968.41
2019-10-26,18953.63
2019-10-27,18894.34
2019-10-28,18864.73
2019-10-29,18820.27
2019-10-30,18775.81
2019-10-31,18746.20
2019-11-01,18701.73
2019-11-02,18672.11
2019-11-03,18627.66
2019-11-04,18583.22
2019-11-05,18553.59
2019-11-06,18509.12
2019-11-07,18464.68
2019-11-08,18420.23
2019-11-09,18375.77
2019-11-10,18360.98
2019-11-11,18301.70
2019-11-12,18272.09
2019-11-13,18227.62
2019-11-14,18183.16
2019-11-15,18153.55
2019-11-16,18109.09
2019-11-17,18079.46
2019-11-18,18035.01
2019-11-19,17990.57
2019-11-20,17960.94
2019-11-21,17923.90
2019-11-22,17916.55
2019-11-23,17916.61
2019-11-24,17916.65
2019-11-25,17887.03
2019-11-26,17887.09
2019-11-27,17887.14
2019-11-28,17887.19
2019-11-29,17887.25
2019-11-30,17887.32
2019-12-01,17887.36
2019-12-02,17872.57
2019-12-03,17857.80
2019-12-04,17857.87
2019-12-05,17857.91
2019-12-06,17857.96
2019-12-07,17858.03
2019-12-08,17858.07
2019-12-09,17858.12
2019-12-10,17843.35
2019-12-11,17828.58
2019-12-12,17828.62
2019-12-13,17828.67
2019-12-14,17828.74
2019-12-15,17828.80
2019-12-16,17828.85
2019-12-17,17828.90
2019-12-18,17799.29
2019-12-19,17799.35
2019-12-20,17799.40
2019-12-21,17814.28
2019-12-22,17881.12
2019-12-23,17918.25
2019-12-24,17962.81
2019-12-25,18044.48
2019-12-26,18111.31
2019-12-27,18155.87
2019-12-28,18200.43
2019-12-29,18289.51
2019-12-30,18348.93
2019-12-31,18393.48
2020-01-01,18445.46
2020-01-02,18527.13
2020-01-03,18571.69
2020-01-04,18616.25
2020-01-05,18690.49
