Date,Price
2020-03-02,28124.92
2020-03-03,28058.18
2020-03-04,27964.79
2020-03-05,27871.98
2020-03-06,27778.59
2020-03-07,27689.19
2020-03-08,27598.81
2020-03-09,27508.92
2020-03-10,27445.34
2020-03-11,27388.77
2020-03-12,27335.12
2020-03-13,27277.97
2020-03-14,27224.32
2020-03-15,27167.75
2020-03-16,27115.27
2020-03-17,27082.70
2020-03-18,27052.39
2020-03-19,27020.36
2020-03-20,26988.93
2020-03-21,26956.90
2020-03-22,26925.47
2020-03-23,26896.37
2020-03-24,26880.71
2020-03-25,26866.53
2020-03-26,26852.89
2020-03-27,26840.16
2020-03-28,26825.67
2020-03-29,26811.18
2020-03-30,26799.03
2020-03-31,26797.40
2020-04-01,26797.52
2020-04-02,26797.65
2020-04-03,26797.77
2020-04-04,26797.89
2020-04-05,26798.01
2020-04-06,26798.13
2020-04-07,26798.26
2020-04-08,26798.38
2020-04-09,26798.50
2020-04-10,26798.62
2020-04-11,26798.74
2020-04-12,26798.86
2020-04-13,26798.99
2020-04-14,26799.11
2020-04-15,26799.23
2020-04-16,26799.36
2020-04-17,26799.48
2020-04-18,26799.60
2020-04-19,26799.72
2020-04-20,26799.81
