Date,Price
2019-07-23,36415.59
2019-07-24,36332.22
2019-07-25,36248.85
2019-07-26,36165.49
2019-07-27,36082.11
2019-07-28,35998.75
2019-07-29,35887.56
2019-07-30,35781.94
2019-07-31,35681.88
2019-08-01,35573.47
2019-08-02,35470.63
2019-08-03,35356.66
2019-08-04,35264.94
2019-08-05,35189.92
2019-08-06,35126.03
2019-08-07,35114.99
2019-08-08,35081.70
2019-08-09,35048.40
2019-08-10,35026.24
2019-08-11,35015.20
2019-08-12,34981.91
2019-08-13,34982.00
2019-08-14,34959.83
2019-08-15,34948.79
2019-08-16,34948.88
2019-08-17,34948.97
2019-08-18,34915.68
2019-08-19,34915.77
2019-08-20,34904.73
2019-08-21,34882.57
2019-08-22,34860.40
2019-08-23,34849.36
2019-08-24,34816.07
2019-08-25,34799.47
2019-08-26,34782.87
2019-08-27,34749.57
2019-08-28,34716.28
2019-08-29,34682.99
2019-08-30,34649.68
2019-08-31,34627.51
2019-09-01,34599.78
2019-09-02,34560.92
2019-09-03,34549.89
2019-09-04,34516.59
2019-09-05,34516.68
2019-09-06,34494.52
2019-09-07,34483.48
2019-09-08,34472.44
2019-09-09,34450.28
2019-09-10,34428.11
2019-09-11,34383.69
2019-09-12,34339.27
2019-09-13,34300.41
2019-09-14,34261.55
2019-09-15,34217.13
2019-09-16,34172.71
2019-09-17,34133.86
2019-09-18,34083.87
2019-09-19,34033.89
2019-09-20,33972.77
2019-09-21,33933.92
2019-09-22,33872.80
2019-09-23,33833.95
2019-09-24,33806.21
2019-09-25,33784.05
2019-09-26,33761.88
2019-09-27,33750.85
2019-09-28,33717.55
2019-09-29,33700.95
2019-09-30,33684.35
2019-10-01,33667.75
2019-10-02,33651.14
2019-10-03,33651.24
2019-10-04,33617.94
2019-10-05,33618.03
2019-10-06,33595.87
2019-10-07,33584.83
2019-10-08,33573.79
2019-10-09,33551.63
2019-10-10,33551.71
2019-10-11,33518.42
2019-10-12,33518.51
2019-10-13,33501.91
2019-10-14,33485.31
2019-10-15,33418.63
2019-10-16,33357.52
2019-10-17,33285.28
2019-10-18,33201.91
2019-10-19,33118.55
2019-10-20,33068.56
2019-10-21,32985.19
2019-10-22,32907.38
2019-10-23,32868.53
2019-10-24,32807.41
2019-10-25,32768.56
2019-10-26,32718.57
2019-10-27,32668.59
2019-10-28,32629.73
2019-10-29,32585.31
2019-10-30,32552.02
2019-10-31,32518.72
2019-11-01,32485.43
2019-11-02,32452.14
2019-11-03,32429.97
2019-11-04,32385.55
2019-11-05,32363.38
2019-11-06,32335.66
2019-11-07,32307.93
2019-11-08,32269.07
2019-11-09,32241.34
2019-11-10,32219.17
2019-11-11,32185.86
2019-11-12,32163.70
2019-11-13,32135.97
2019-11-14,32108.24
2019-11-15,32069.38
2019-11-16,32041.65
2019-11-17,32019.49
2019-11-18,31986.19
2019-11-19,31952.90
2019-11-20,31941.86
2019-11-21,31919.70
2019-11-22,31886.40
2019-11-23,31869.80
2019-11-24,31853.20
2019-11-25,31828.25
2019-11-26,31792.18
2019-11-27,31719.94
2019-11-28,31669.95
2019-11-29,31619.97
2019-11-30,31558.85
2019-12-01,31486.62
2019-12-02,31442.19
2019-12-03,31420.03
2019-12-04,31420.11
2019-12-05,31420.21
2019-12-06,31386.91
2019-12-07,31387.00
2019-12-08,31387.09
2019-12-09,31387.18
2019-12-10,31387.27
2019-12-11,31370.67
2019-12-12,31354.07
2019-12-13,31354.16
2019-12-14,31343.12
2019-12-15,31320.96
2019-12-16,31321.04
2019-12-17,31304.45
2019-12-18,31287.84
2019-12-19,31254.55
2019-12-20,31254.64
2019-12-21,31221.35
2019-12-22,31210.31
2019-12-23,31188.14
2019-12-24,31188.23
2019-12-25,31188.32
2019-12-26,31188.41
2019-12-27,31188.50
