Date,Price
2020-01-13,40492.52
2020-01-14,39229.02
2020-01-15,37644.24
2020-01-16,36054.67
2020-01-17,34460.31
2020-01-18,32868.34
2020-01-19,31278.77
2020-01-20,30103.97
2020-01-21,30738.93
2020-01-22,31870.96
2020-01-23,33081.72
2020-01-24,34299.67
2020-01-25,35515.23
2020-01-26,36725.98
2020-01-27,37840.84
2020-01-28,37996.68
2020-01-29,37910.37
2020-01-30,37804.88
2020-01-31,37708.98
2020-02-01,37603.48
2020-02-02,37517.17
2020-02-03,37430.86
2020-02-04,37421.27
2020-02-05,37421.27
2020-02-06,37421.27
2020-02-07,37421.27
2020-02-08,37421.27
2020-02-09,37421.27
2020-02-10,37421.27
2020-02-11,37421.27
2020-02-12,37421.27
2020-02-13,37421.27
2020-02-14,37421.27
2020-02-15,37421.27
2020-02-16,37421.27
2020-02-17,37421.27
2020-02-18,37373.32
2020-02-19,37354.14
2020-02-20,37296.60
2020-02-21,37277.42
2020-02-22,37219.88
2020-02-23,37191.11
2020-02-24,37152.75
2020-02-25,37133.57
2020-02-26,37085.61
2020-02-27,37085.61
2020-02-28,37018.48
2020-02-29,37018.48
2020-03-01,36970.53
2020-03-02,36951.35
2020-03-03,36951.35
2020-03-04,36951.35
2020-03-05,36951.35
2020-03-06,36893.81
2020-03-07,36884.22
2020-03-08,36884.22
2020-03-09,36884.22
2020-03-10,36865.04
2020-03-11,36817.09
2020-03-12,36817.09
2020-03-13,36749.96
2020-03-14,36749.96
2020-03-15,36702.01
2020-03-16,36682.83
2020-03-17,36682.83
2020-03-18,36682.83
2020-03-19,36682.83
2020-03-20,36682.83
2020-03-21,36682.83
2020-03-22,36682.83
2020-03-23,36682.83
2020-03-24,36682.83
2020-03-25,36682.83
2020-03-26,36682.83
2020-03-27,36615.70
2020-03-28,36615.70
2020-03-29,36615.70
2020-03-30,36615.70
2020-03-31,36615.70
2020-04-01,36615.70
2020-04-02,36615.70
2020-04-03,36615.70
2020-04-04,36615.70
2020-04-05,36615.70
2020-04-06,36615.70
2020-04-07,36615.70
2020-04-08,36615.70
2020-04-09,36615.70
2020-04-10,36615.70
2020-04-11,36615.70
2020-04-12,36615.70
2020-04-13,36615.70
2020-04-14,36615.70
2020-04-15,36615.70
2020-04-16,36615.70
2020-04-17,36615.70
2020-04-18,36615.70
2020-04-19,36615.70
2020-04-20,36615.70
