Date,Price
2019-09-23,60392.86
2019-09-24,60358.36
2019-09-25,60263.35
2019-09-26,60168.34
2019-09-27,60099.27
2019-09-28,60012.89
2019-09-29,59926.54
2019-09-30,59710.36
2019-10-01,59290.76
2019-10-02,58888.48
2019-10-03,58408.33
2019-10-04,57923.85
2019-10-05,57521.56
2019-10-06,57110.63
2019-10-07,56890.13
2019-10-08,56682.60
2019-10-09,56578.91
2019-10-10,56457.91
2019-10-11,56336.91
2019-10-12,56202.96
2019-10-13,56060.34
2019-10-14,56034.55
2019-10-15,56190.50
2019-10-16,56456.84
2019-10-17,56710.19
2019-10-18,56944.04
2019-10-19,57151.92
2019-10-20,57411.76
2019-10-21,57593.72
2019-10-22,57645.81
2019-10-23,57645.98
2019-10-24,57646.18
2019-10-25,57646.37
2019-10-26,57646.54
2019-10-27,57646.71
2019-10-28,57633.92
2019-10-29,57560.55
2019-10-30,57474.17
2019-10-31,57405.10
2019-11-01,57318.72
2019-11-02,57232.37
2019-11-03,57146.01
2019-11-04,57076.94
2019-11-05,57007.87
2019-11-06,56947.48
2019-11-07,56869.78
2019-11-08,56818.02
2019-11-09,56748.95
2019-11-10,56688.56
2019-11-11,56593.55
2019-11-12,56524.48
2019-11-13,56420.79
2019-11-14,56312.80
2019-11-15,56213.47
2019-11-16,56127.08
2019-11-17,56023.39
2019-11-18,55954.32
2019-11-19,55898.26
2019-11-20,55850.86
2019-11-21,55833.71
2019-11-22,55781.95
2019-11-23,55756.18
2019-11-24,55713.10
2019-11-25,55678.65
2019-11-26,55626.89
2019-11-27,55588.14
2019-11-28,55540.73
2019-11-29,55506.28
2019-11-30,55471.83
2019-12-01,55420.10
2019-12-02,55368.36
2019-12-03,55316.60
2019-12-04,55282.15
2019-12-05,55239.07
2019-12-06,55178.68
2019-12-07,55144.23
2019-12-08,55109.78
2019-12-09,55058.02
2019-12-10,55058.22
2019-12-11,55058.41
2019-12-12,55058.58
2019-12-13,55058.75
2019-12-14,55058.94
2019-12-15,55059.14
2019-12-16,55042.00
2019-12-17,54972.92
2019-12-18,54864.94
2019-12-19,54765.60
2019-12-20,54679.22
2019-12-21,54592.84
2019-12-22,54489.18
2019-12-23,54385.51
2019-12-24,54299.13
2019-12-25,54195.44
2019-12-26,54087.45
2019-12-27,53988.11
2019-12-28,53901.73
2019-12-29,53798.04
2019-12-30,53728.97
2019-12-31,53646.95
2020-01-01,53608.19
2020-01-02,53556.43
2020-01-03,53504.67
2020-01-04,53452.94
2020-01-05,53401.20
2020-01-06,53349.44
2020-01-07,53349.61
2020-01-08,53349.81
2020-01-09,53350.00
2020-01-10,53298.24
2020-01-11,53298.41
2020-01-12,53298.61
2020-01-13,53298.80
2020-01-14,53247.04
2020-01-15,53212.59
2020-01-16,53169.51
2020-01-17,53109.12
2020-01-18,53074.67
2020-01-19,53040.22
2020-01-20,52988.45
2020-01-21,52949.71
2020-01-22,52902.30
2020-01-23,52885.16
2020-01-24,52833.39
2020-01-25,52807.63
2020-01-26,52764.55
2020-01-27,52730.10
2020-01-28,52661.02
2020-01-29,52600.64
2020-01-30,52522.94
2020-01-31,52471.18
2020-02-01,52402.10
2020-02-02,52341.72
2020-02-03,52264.02
2020-02-04,52264.19
2020-02-05,52264.35
2020-02-06,52264.52
2020-02-07,52264.72
2020-02-08,52264.91
2020-02-09,52265.08
2020-02-10,52265.25
2020-02-11,52317.38
2020-02-12,52369.50
2020-02-13,52404.29
2020-02-14,52439.07
2020-02-15,52486.87
2020-02-16,52526.02
2020-02-17,52578.11
2020-02-18,52612.90
2020-02-19,52630.41
2020-02-20,52682.53
2020-02-21,52682.70
2020-02-22,52734.80
2020-02-23,52747.97
2020-02-24,52934.25
2020-02-25,53207.05
2020-02-26,53674.58
2020-02-27,54176.73
2020-02-28,54738.41
2020-02-29,55319.57
2020-03-01,55787.10
2020-03-02,56224.34
2020-03-03,56371.67
2020-03-04,56371.86
2020-03-05,56372.03
2020-03-06,56372.20
2020-03-07,56372.40
2020-03-08,56372.59
2020-03-09,56372.76
2020-03-10,56372.93
2020-03-11,56373.13
2020-03-12,56373.32
2020-03-13,56373.49
2020-03-14,56373.66
2020-03-15,56373.85
2020-03-16,56374.05
2020-03-17,56374.21
2020-03-18,56374.38
2020-03-19,56374.55
2020-03-20,56374.75
2020-03-21,56374.94
2020-03-22,56375.11
2020-03-23,56375.28
2020-03-24,56375.48
2020-03-25,56375.67
2020-03-26,56375.84
2020-03-27,56376.01
2020-03-28,56376.20
2020-03-29,56376.40
2020-03-30,56376.57
2020-03-31,56376.73
2020-04-01,56376.93
2020-04-02,56377.12
2020-04-03,56377.29
2020-04-04,56377.46
2020-04-05,56377.63
2020-04-06,56377.83
2020-04-07,56378.02
2020-04-08,56378.19
2020-04-09,56378.36
2020-04-10,56378.55
2020-04-11,56378.75
2020-04-12,56378.92
2020-04-13,56379.08
2020-04-14,56444.19
2020-04-15,56500.64
2020-04-16,56552.74
2020-04-17,56622.15
2020-04-18,56678.60
2020-04-19,56743.71
2020-04-20,56795.75
