Date,Price
2019-10-07,43708.76
2019-10-08,43669.81
2019-10-09,43630.86
2019-10-10,43591.92
2019-10-11,43561.62
2019-10-12,43514.02
2019-10-13,43483.73
2019-10-14,43410.17
2019-10-15,43319.29
2019-10-16,43218.68
2019-10-17,43111.57
2019-10-18,43017.45
2019-10-19,42908.18
2019-10-20,42816.22
2019-10-21,42735.08
2019-10-22,42689.64
2019-10-23,42661.52
2019-10-24,42635.55
2019-10-25,42605.26
2019-10-26,42574.97
2019-10-27,42546.84
2019-10-28,42514.38
2019-10-29,42514.38
2019-10-30,42514.38
2019-10-31,42514.38
2019-11-01,42514.38
2019-11-02,42514.38
2019-11-03,42514.38
2019-11-04,42514.38
2019-11-05,42488.42
2019-11-06,42481.93
2019-11-07,42462.45
2019-11-08,42453.80
2019-11-09,42436.49
2019-11-10,42419.18
2019-11-11,42410.52
2019-11-12,42410.52
2019-11-13,42410.52
2019-11-14,42410.52
2019-11-15,42410.52
2019-11-16,42410.52
2019-11-17,42410.52
2019-11-18,42410.52
2019-11-19,42410.52
2019-11-20,42384.56
2019-11-21,42384.56
2019-11-22,42384.56
2019-11-23,42375.90
2019-11-24,42358.59
2019-11-25,42358.59
2019-11-26,42358.59
2019-11-27,42332.63
2019-11-28,42332.63
2019-11-29,42332.63
2019-11-30,42319.65
2019-12-01,42306.66
2019-12-02,42306.66
2019-12-03,42306.66
2019-12-04,42287.19
2019-12-05,42280.70
2019-12-06,42280.70
2019-12-07,42274.21
2019-12-08,42254.74
2019-12-09,42254.74
2019-12-10,42237.43
2019-12-11,42228.77
2019-12-12,42202.81
2019-12-13,42196.32
2019-12-14,42176.84
2019-12-15,42163.86
2019-12-16,42150.88
2019-12-17,42124.91
2019-12-18,42098.95
2019-12-19,42079.47
2019-12-20,42055.67
2019-12-21,42038.36
2019-12-22,42014.56
2019-12-23,41995.09
2019-12-24,41995.09
2019-12-25,41995.09
2019-12-26,41995.09
2019-12-27,41995.09
2019-12-28,41995.09
2019-12-29,41995.09
2019-12-30,41988.60
2019-12-31,41969.12
2020-01-01,41936.67
2020-01-02,41917.19
2020-01-03,41891.23
2020-01-04,41865.26
2020-01-05,41839.30
2020-01-06,41819.83
2020-01-07,41796.03
2020-01-08,41780.88
2020-01-09,41761.41
2020-01-10,41735.44
2020-01-11,41718.13
2020-01-12,41702.99
2020-01-13,41648.89
2020-01-14,41511.50
2020-01-15,41345.97
2020-01-16,41170.71
2020-01-17,41004.10
2020-01-18,40829.92
2020-01-19,40653.58
2020-01-20,40492.38
2020-01-21,40363.64
2020-01-22,40242.47
2020-01-23,40121.30
2020-01-24,40002.30
2020-01-25,39878.97
2020-01-26,39775.11
2020-01-27,39690.73
2020-01-28,39623.65
2020-01-29,39586.86
2020-01-30,39545.75
2020-01-31,39515.46
2020-02-01,39467.86
2020-02-02,39437.57
2020-02-03,39398.62
2020-02-04,39398.62
2020-02-05,39398.62
2020-02-06,39398.62
2020-02-07,39398.62
2020-02-08,39398.62
2020-02-09,39398.62
2020-02-10,39398.62
2020-02-11,39398.62
2020-02-12,39398.62
2020-02-13,39398.62
2020-02-14,39398.62
2020-02-15,39398.62
2020-02-16,39398.62
2020-02-17,39398.62
2020-02-18,39398.62
2020-02-19,39398.62
2020-02-20,39398.62
2020-02-21,39398.62
2020-02-22,39398.62
2020-02-23,39398.62
2020-02-24,39398.62
2020-02-25,39398.62
2020-02-26,39398.62
2020-02-27,39398.62
2020-02-28,39398.62
2020-02-29,39398.62
2020-03-01,39398.62
2020-03-02,39398.62
2020-03-03,39398.62
2020-03-04,39398.62
2020-03-05,39398.62
2020-03-06,39398.62
2020-03-07,39398.62
2020-03-08,39398.62
2020-03-09,39398.62
2020-03-10,39398.62
2020-03-11,39398.62
2020-03-12,39398.62
2020-03-13,39398.62
2020-03-14,39398.62
2020-03-15,39398.62
2020-03-16,39398.62
2020-03-17,39398.62
2020-03-18,39398.62
2020-03-19,39398.62
2020-03-20,39398.62
2020-03-21,39398.62
2020-03-22,39398.62
2020-03-23,39398.62
2020-03-24,39398.62
2020-03-25,39398.62
2020-03-26,39398.62
2020-03-27,39398.62
2020-03-28,39398.62
2020-03-29,39398.62
2020-03-30,39398.62
2020-03-31,39398.62
2020-04-01,39398.62
2020-04-02,39398.62
2020-04-03,39398.62
2020-04-04,39398.62
2020-04-05,39398.62
2020-04-06,39398.62
2020-04-07,39398.62
2020-04-08,39398.62
2020-04-09,39398.62
2020-04-10,39398.62
2020-04-11,39398.62
2020-04-12,39398.62
2020-04-13,39398.62
2020-04-14,39398.62
2020-04-15,39398.62
2020-04-16,39398.62
2020-04-17,39398.62
2020-04-18,39398.62
2020-04-19,39398.62
2020-04-20,39398.62
