Date,Price
2019-05-19,155857.80
2019-05-20,154602.52
2019-05-21,153054.35
2019-05-22,151213.27
2019-05-23,149246.66
2019-05-24,147238.22
2019-05-25,145480.83
2019-05-26,144141.86
2019-05-27,143053.95
2019-05-28,141882.36
2019-05-29,141212.88
2019-05-30,140543.39
2019-05-31,140208.65
2019-06-01,139539.17
2019-06-02,138869.69
2019-06-03,138283.89
2019-06-04,137865.46
2019-06-05,137530.72
2019-06-06,137363.35
2019-06-07,137028.61
2019-06-08,136861.24
2019-06-09,136526.50
2019-06-10,136191.76
2019-06-11,135857.02
2019-06-12,135522.28
2019-06-13,135187.53
2019-06-14,134852.79
2019-06-15,134518.05
2019-06-16,134183.31
2019-06-17,133848.57
2019-06-18,133346.46
2019-06-19,132676.98
2019-06-20,132007.49
2019-06-21,131338.01
2019-06-22,130668.53
2019-06-23,129999.05
2019-06-24,129329.56
2019-06-25,128827.45
2019-06-26,128492.71
2019-06-27,128157.97
2019-06-28,127711.65
2019-06-29,127321.12
2019-06-30,126986.38
2019-07-01,126819.01
2019-07-02,126484.26
2019-07-03,126149.52
2019-07-04,125814.78
2019-07-05,125647.41
2019-07-06,125312.67
2019-07-07,124977.93
2019-07-08,124810.56
2019-07-09,124475.82
2019-07-10,124141.08
2019-07-11,123806.34
2019-07-12,123638.97
2019-07-13,123304.22
2019-07-14,122969.48
2019-07-15,122802.11
2019-07-16,122467.37
2019-07-17,122467.37
2019-07-18,122132.63
2019-07-19,122132.63
2019-07-20,121797.89
2019-07-21,121797.89
2019-07-22,121463.15
2019-07-23,121463.15
2019-07-24,121295.78
2019-07-25,121128.41
2019-07-26,121128.41
2019-07-27,121128.41
2019-07-28,120793.66
2019-07-29,120793.66
2019-07-30,120458.92
2019-07-31,120124.18
2019-08-01,119789.44
2019-08-02,119454.70
2019-08-03,119119.96
2019-08-04,118785.22
2019-08-05,118450.48
2019-08-06,118450.48
2019-08-07,118450.48
2019-08-08,118450.48
2019-08-09,118115.74
2019-08-10,118115.74
2019-08-11,118115.74
2019-08-12,118115.74
2019-08-13,118115.74
2019-08-14,118115.74
2019-08-15,118115.74
2019-08-16,118115.74
2019-08-17,118115.74
2019-08-18,118115.74
2019-08-19,117948.37
2019-08-20,117613.62
2019-08-21,117111.51
2019-08-22,116609.40
2019-08-23,116274.66
2019-08-24,115939.92
2019-08-25,115437.81
2019-08-26,114935.70
2019-08-27,114600.95
2019-08-28,114266.21
2019-08-29,113764.10
2019-08-30,113429.36
2019-08-31,112927.25
2019-09-01,112592.51
2019-09-02,112257.77
2019-09-03,111923.03
2019-09-04,111588.28
2019-09-05,111253.54
2019-09-06,111086.17
2019-09-07,110751.43
2019-09-08,110416.69
2019-09-09,110081.95
2019-09-10,110081.95
2019-09-11,110081.95
2019-09-12,110081.95
2019-09-13,110081.95
2019-09-14,110081.95
2019-09-15,110081.95
2019-09-16,110081.95
2019-09-17,110081.95
2019-09-18,110081.95
2019-09-19,110081.95
2019-09-20,110081.95
2019-09-21,110081.95
2019-09-22,110081.95
2019-09-23,110081.95
2019-09-24,110081.95
2019-09-25,110081.95
2019-09-26,110081.95
2019-09-27,110081.95
2019-09-28,110081.95
2019-09-29,110081.95
2019-09-30,109663.53
2019-10-01,109077.73
2019-10-02,108240.87
2019-10-03,107571.39
2019-10-04,106901.91
2019-10-05,106065.06
2019-10-06,105646.63
2019-10-07,105060.83
2019-10-08,105060.83
2019-10-09,105060.83
2019-10-10,105060.83
2019-10-11,105060.83
2019-10-12,105060.83
2019-10-13,105060.83
2019-10-14,105060.83
2019-10-15,105060.83
2019-10-16,105060.83
2019-10-17,105060.83
2019-10-18,105060.83
2019-10-19,105060.83
2019-10-20,105060.83
2019-10-21,105060.83
2019-10-22,105060.83
2019-10-23,105060.83
2019-10-24,105060.83
2019-10-25,104726.09
2019-10-26,104726.09
2019-10-27,104726.09
2019-10-28,104726.09
2019-10-29,104726.09
2019-10-30,104726.09
2019-10-31,104726.09
2019-11-01,104391.35
2019-11-02,104391.35
2019-11-03,104391.35
2019-11-04,104391.35
2019-11-05,104391.35
2019-11-06,104391.35
2019-11-07,104223.98
2019-11-08,104056.61
2019-11-09,104056.61
2019-11-10,104056.61
2019-11-11,104056.61
2019-11-12,104056.61
2019-11-13,104056.61
2019-11-14,104056.61
2019-11-15,104056.61
2019-11-16,104056.61
2019-11-17,104056.61
2019-11-18,104056.61
2019-11-19,104056.61
2019-11-20,104056.61
2019-11-21,104056.61
2019-11-22,104391.35
2019-11-23,104391.35
2019-11-24,104391.35
2019-11-25,104391.35
2019-11-26,104391.35
2019-11-27,104391.35
2019-11-28,104391.35
2019-11-29,104056.61
2019-11-30,104056.61
2019-12-01,104056.61
2019-12-02,104056.61
2019-12-03,103889.24
2019-12-04,103721.87
2019-12-05,103554.50
2019-12-06,103387.13
2019-12-07,103052.38
2019-12-08,103052.38
2019-12-09,102717.64
2019-12-10,102550.27
2019-12-11,102382.90
2019-12-12,102215.53
2019-12-13,102048.16
2019-12-14,101713.42
2019-12-15,101713.42
2019-12-16,101378.68
2019-12-17,101378.68
2019-12-18,101378.68
2019-12-19,101211.31
2019-12-20,101043.94
2019-12-21,101043.94
2019-12-22,101043.94
2019-12-23,101043.94
2019-12-24,101043.94
2019-12-25,101043.94
2019-12-26,101043.94
2019-12-27,101043.94
2019-12-28,101043.94
2019-12-29,101043.94
2019-12-30,101043.94
2019-12-31,101043.94
2020-01-01,101043.94
2020-01-02,101043.94
2020-01-03,101043.94
2020-01-04,101043.94
2020-01-05,101043.94
2020-01-06,101043.94
2020-01-07,101043.94
2020-01-08,101043.94
2020-01-09,101043.94
2020-01-10,101043.94
2020-01-11,101043.94
2020-01-12,101043.94
2020-01-13,101043.94
2020-01-14,101043.94
2020-01-15,101211.31
2020-01-16,101378.68
2020-01-17,101378.68
2020-01-18,101378.68
2020-01-19,101713.42
2020-01-20,101713.42
2020-01-21,101713.42
2020-01-22,101713.42
2020-01-23,101713.42
2020-01-24,101713.42
2020-01-25,101713.42
2020-01-26,101713.42
2020-01-27,101713.42
2020-01-28,101936.58
2020-01-29,102048.16
2020-01-30,102382.90
2020-01-31,102550.27
2020-02-01,102717.64
2020-02-02,102885.01
2020-02-03,103052.38
2020-02-04,103052.38
2020-02-05,103052.38
2020-02-06,103052.38
2020-02-07,103052.38
2020-02-08,103052.38
2020-02-09,103052.38
2020-02-10,103052.38
2020-02-11,103052.38
2020-02-12,103052.38
2020-02-13,103052.38
2020-02-14,103052.38
2020-02-15,103052.38
2020-02-16,103052.38
2020-02-17,103052.38
2020-02-18,103052.38
2020-02-19,103052.38
2020-02-20,103052.38
2020-02-21,103052.38
2020-02-22,103052.38
2020-02-23,103052.38
2020-02-24,103052.38
2020-02-25,103052.38
2020-02-26,103052.38
2020-02-27,103052.38
2020-02-28,103052.38
2020-02-29,103052.38
2020-03-01,103052.38
2020-03-02,103052.38
2020-03-03,103052.38
2020-03-04,103219.76
2020-03-05,103387.13
2020-03-06,103387.13
2020-03-07,103387.13
2020-03-08,103721.87
2020-03-09,103805.56
2020-03-10,103387.13
2020-03-11,102885.01
2020-03-12,102048.16
2020-03-13,101713.42
2020-03-14,101043.94
2020-03-15,100709.20
2020-03-16,100123.40
2020-03-17,100039.71
2020-03-18,100039.71
2020-03-19,100039.71
2020-03-20,100039.71
2020-03-21,100039.71
2020-03-22,100039.71
2020-03-23,100039.71
2020-03-24,100039.71
2020-03-25,100039.71
2020-03-26,100039.71
2020-03-27,100039.71
2020-03-28,100039.71
2020-03-29,100039.71
2020-03-30,100039.71
2020-03-31,100039.71
2020-04-01,100039.71
2020-04-02,100039.71
2020-04-03,100039.71
2020-04-04,100039.71
2020-04-05,100039.71
2020-04-06,100039.71
2020-04-07,100039.71
2020-04-08,100039.71
2020-04-09,100039.71
2020-04-10,100039.71
2020-04-11,100039.71
2020-04-12,100039.71
2020-04-13,100039.71
2020-04-14,100039.71
2020-04-15,100039.71
2020-04-16,100039.71
2020-04-17,100039.71
2020-04-18,100039.71
2020-04-19,100039.71
2020-04-20,100039.71
