Date,Price
2019-06-30,94192.90
2019-07-01,94063.08
2019-07-02,93803.43
2019-07-03,93349.05
2019-07-04,92829.76
2019-07-05,92407.83
2019-07-06,91877.72
2019-07-07,91239.42
2019-07-08,90849.95
2019-07-09,90341.48
2019-07-10,89843.82
2019-07-11,89454.35
2019-07-12,88956.69
2019-07-13,88480.68
2019-07-14,88156.12
2019-07-15,87831.55
2019-07-16,87571.91
2019-07-17,87442.09
2019-07-18,87268.99
2019-07-19,87117.53
2019-07-20,86987.71
2019-07-21,86836.24
2019-07-22,86663.15
2019-07-23,86533.32
2019-07-24,86403.50
2019-07-25,86230.40
2019-07-26,86078.94
2019-07-27,85949.12
2019-07-28,85797.66
2019-07-29,85527.20
2019-07-30,85267.55
2019-07-31,84888.89
2019-08-01,84488.61
2019-08-02,84164.05
2019-08-03,83763.76
2019-08-04,83385.11
2019-08-05,83190.37
2019-08-06,83028.09
2019-08-07,83028.09
2019-08-08,83028.09
2019-08-09,83028.09
2019-08-10,83028.09
2019-08-11,83028.09
2019-08-12,83028.09
2019-08-13,83028.09
2019-08-14,82898.27
2019-08-15,82898.27
2019-08-16,82898.27
2019-08-17,82833.36
2019-08-18,82768.44
2019-08-19,82768.44
2019-08-20,82638.62
2019-08-21,82573.71
2019-08-22,82465.52
2019-08-23,82314.06
2019-08-24,82249.15
2019-08-25,82119.33
2019-08-26,81957.05
2019-08-27,81632.49
2019-08-28,81340.39
2019-08-29,80983.38
2019-08-30,80658.82
2019-08-31,80366.71
2019-09-01,80063.79
2019-09-02,79782.51
2019-09-03,79522.86
2019-09-04,79328.13
2019-09-05,79003.57
2019-09-06,78808.83
2019-09-07,78549.18
2019-09-08,78289.54
2019-09-09,78094.80
2019-09-10,77964.98
2019-09-11,77964.98
2019-09-12,77964.98
2019-09-13,77964.98
2019-09-14,77964.98
2019-09-15,77964.98
2019-09-16,77964.98
2019-09-17,77964.98
2019-09-18,77964.98
2019-09-19,77964.98
2019-09-20,77964.98
2019-09-21,77964.98
2019-09-22,77964.98
2019-09-23,77964.98
2019-09-24,77964.98
2019-09-25,77964.98
2019-09-26,77964.98
2019-09-27,77964.98
2019-09-28,77964.98
2019-09-29,77964.98
2019-09-30,77964.98
2019-10-01,78094.80
2019-10-02,78138.08
2019-10-03,78224.63
2019-10-04,78354.45
2019-10-05,78419.36
2019-10-06,78484.27
2019-10-07,78646.56
2019-10-08,78484.27
2019-10-09,78289.54
2019-10-10,78029.89
2019-10-11,77835.16
2019-10-12,77597.15
2019-10-13,77315.86
2019-10-14,77186.04
2019-10-15,77056.22
2019-10-16,77056.22
2019-10-17,77056.22
2019-10-18,77056.22
2019-10-19,77056.22
2019-10-20,77056.22
2019-10-21,77056.22
2019-10-22,76969.67
2019-10-23,76861.48
2019-10-24,76796.57
2019-10-25,76666.75
2019-10-26,76601.84
2019-10-27,76536.92
2019-10-28,76407.10
2019-10-29,76277.28
2019-10-30,76082.54
2019-10-31,75822.89
2019-11-01,75628.16
2019-11-02,75433.42
2019-11-03,75217.05
2019-11-04,75011.50
2019-11-05,74979.04
2019-11-06,74979.04
2019-11-07,74979.04
2019-11-08,74979.04
2019-11-09,74979.04
2019-11-10,74979.04
2019-11-11,74979.04
2019-11-12,74979.04
2019-11-13,74979.04
2019-11-14,74979.04
2019-11-15,74979.04
2019-11-16,74979.04
2019-11-17,74979.04
2019-11-18,74979.04
2019-11-19,74979.04
2019-11-20,74979.04
2019-11-21,74979.04
2019-11-22,74979.04
2019-11-23,74979.04
2019-11-24,74979.04
2019-11-25,74979.04
2019-11-26,74892.49
2019-11-27,74849.22
2019-11-28,74719.40
2019-11-29,74676.12
2019-11-30,74589.57
2019-12-01,74524.66
2019-12-02,74459.75
2019-12-03,74200.10
2019-12-04,73940.46
2019-12-05,73615.90
2019-12-06,73421.16
2019-12-07,73161.52
2019-12-08,72836.96
2019-12-09,72544.86
2019-12-10,72577.31
2019-12-11,72642.22
2019-12-12,72642.22
2019-12-13,72772.04
2019-12-14,72772.04
2019-12-15,72815.32
2019-12-16,72934.33
2019-12-17,73161.52
2019-12-18,73356.25
2019-12-19,73615.90
2019-12-20,73810.63
2019-12-21,74048.64
2019-12-22,74329.93
2019-12-23,74459.75
2019-12-24,74459.75
2019-12-25,74589.57
2019-12-26,74589.57
2019-12-27,74589.57
2019-12-28,74632.85
2019-12-29,74719.40
2019-12-30,74719.40
2019-12-31,74719.40
2020-01-01,74589.57
2020-01-02,74589.57
2020-01-03,74589.57
2020-01-04,74524.66
2020-01-05,74459.75
2020-01-06,74459.75
2020-01-07,74459.75
2020-01-08,74459.75
2020-01-09,74416.48
2020-01-10,74329.93
2020-01-11,74329.93
2020-01-12,74329.93
2020-01-13,74329.93
2020-01-14,74329.93
2020-01-15,74329.93
2020-01-16,74329.93
2020-01-17,74329.93
2020-01-18,74329.93
2020-01-19,74329.93
2020-01-20,74329.93
2020-01-21,74329.93
2020-01-22,74329.93
2020-01-23,74329.93
2020-01-24,74329.93
2020-01-25,74329.93
2020-01-26,74329.93
2020-01-27,74329.93
2020-01-28,74459.75
2020-01-29,74676.12
2020-01-30,74849.22
2020-01-31,75043.96
2020-02-01,75238.69
2020-02-02,75433.43
2020-02-03,75660.62
2020-02-04,76169.09
2020-02-05,76731.66
2020-02-06,77186.04
2020-02-07,77835.16
2020-02-08,78419.36
2020-02-09,79003.57
2020-02-10,79457.95
2020-02-11,79977.24
2020-02-12,80464.08
2020-02-13,80853.55
2020-02-14,81275.48
2020-02-15,81762.32
2020-02-16,82086.88
2020-02-17,82378.98
2020-02-18,82508.80
2020-02-19,82508.80
2020-02-20,82508.80
2020-02-21,82508.80
2020-02-22,82508.80
2020-02-23,82508.80
2020-02-24,82508.80
2020-02-25,82573.71
2020-02-26,82638.62
2020-02-27,82638.62
2020-02-28,82768.44
2020-02-29,82768.44
2020-03-01,82811.72
2020-03-02,82898.27
2020-03-03,82768.44
2020-03-04,82595.35
2020-03-05,82443.89
2020-03-06,82314.06
2020-03-07,82184.24
2020-03-08,82032.78
2020-03-09,81859.68
2020-03-10,81794.77
2020-03-11,81643.31
2020-03-12,81470.21
2020-03-13,81340.39
2020-03-14,81253.84
2020-03-15,81080.74
2020-03-16,80950.92
2020-03-17,80950.92
2020-03-18,80950.92
2020-03-19,80950.92
2020-03-20,80950.92
2020-03-21,80950.92
2020-03-22,80950.92
2020-03-23,80950.92
2020-03-24,80950.92
2020-03-25,80950.92
2020-03-26,80950.92
2020-03-27,80950.92
2020-03-28,80950.92
2020-03-29,80950.92
2020-03-30,80950.92
2020-03-31,80950.92
2020-04-01,80950.92
2020-04-02,80950.92
2020-04-03,80950.92
2020-04-04,80950.92
2020-04-05,80950.92
2020-04-06,80950.92
2020-04-07,80950.92
2020-04-08,80950.92
2020-04-09,80950.92
2020-04-10,80950.92
2020-04-11,80950.92
2020-04-12,80950.92
2020-04-13,81324.16
2020-04-14,82140.96
2020-04-15,83514.93
2020-04-16,85251.32
2020-04-17,86549.55
2020-04-18,87855.90
2020-04-19,89411.07
2020-04-20,90233.29
2020-04-21,91174.51
