Date,Price
2019-11-11,156014.76
2019-11-12,155735.04
2019-11-13,155343.45
2019-11-14,155007.79
2019-11-15,154605.00
2019-11-16,154224.59
2019-11-17,153832.99
2019-11-18,153497.33
2019-11-19,153161.68
2019-11-20,152859.59
2019-11-21,152490.37
2019-11-22,152154.71
2019-11-23,151819.06
2019-11-24,151516.97
2019-11-25,151175.72
2019-11-26,150588.32
2019-11-27,149972.95
2019-11-28,149357.58
2019-11-29,148630.33
2019-11-30,147959.02
2019-12-01,147287.70
2019-12-02,146700.31
2019-12-03,146504.51
2019-12-04,146504.51
2019-12-05,146504.51
2019-12-06,146504.51
2019-12-07,146504.51
2019-12-08,146504.51
2019-12-09,145008.05
2019-12-10,141961.97
2019-12-11,138616.60
2019-12-12,134043.29
2019-12-13,130579.51
2019-12-14,126349.18
2019-12-15,123195.08
2019-12-16,119721.98
2019-12-17,118756.97
2019-12-18,118756.97
2019-12-19,118756.97
2019-12-20,118756.97
2019-12-21,118756.97
2019-12-22,118756.97
2019-12-23,118756.97
2019-12-24,118756.97
2019-12-25,118756.97
2019-12-26,118756.97
2019-12-27,118756.97
2019-12-28,118756.97
2019-12-29,118756.97
2019-12-30,118756.97
2019-12-31,118756.97
2020-01-01,118756.97
2020-01-02,118756.97
2020-01-03,118756.97
2020-01-04,118756.97
2020-01-05,118756.97
2020-01-06,118756.97
2020-01-07,118756.97
2020-01-08,118756.97
2020-01-09,118756.97
2020-01-10,118756.97
2020-01-11,118756.97
2020-01-12,118756.97
2020-01-13,118756.97
2020-01-14,118756.97
2020-01-15,118756.97
2020-01-16,118756.97
2020-01-17,118756.97
2020-01-18,118756.97
2020-01-19,118756.97
2020-01-20,118756.97
2020-01-21,118756.97
2020-01-22,118756.97
2020-01-23,118756.97
2020-01-24,118756.97
2020-01-25,118756.97
2020-01-26,118756.97
2020-01-27,118756.97
2020-01-28,118756.97
2020-01-29,118756.97
2020-01-30,118756.97
2020-01-31,118756.97
2020-02-01,118756.97
2020-02-02,118756.97
2020-02-03,118756.97
2020-02-04,118756.97
2020-02-05,118756.97
2020-02-06,118756.97
2020-02-07,118756.97
2020-02-08,118756.97
2020-02-09,118756.97
2020-02-10,118756.97
2020-02-11,118756.97
2020-02-12,118756.97
2020-02-13,118756.97
2020-02-14,118756.97
2020-02-15,118756.97
2020-02-16,118756.97
2020-02-17,118756.97
2020-02-18,118756.97
2020-02-19,118756.97
2020-02-20,118756.97
2020-02-21,118756.97
2020-02-22,118756.97
2020-02-23,118756.97
2020-02-24,118756.97
2020-02-25,118756.97
2020-02-26,118756.97
2020-02-27,118756.97
2020-02-28,118756.97
2020-02-29,118756.97
2020-03-01,118756.97
2020-03-02,118756.97
2020-03-03,118756.97
2020-03-04,118756.97
2020-03-05,118756.97
2020-03-06,118756.97
2020-03-07,118756.97
2020-03-08,118756.97
2020-03-09,118756.97
2020-03-10,118756.97
2020-03-11,118756.97
2020-03-12,118756.97
2020-03-13,118756.97
2020-03-14,118756.97
2020-03-15,118756.97
2020-03-16,118756.97
2020-03-17,118756.97
2020-03-18,118756.97
2020-03-19,118756.97
2020-03-20,118756.97
2020-03-21,118756.97
2020-03-22,118756.97
2020-03-23,118756.97
2020-03-24,118756.97
2020-03-25,118756.97
2020-03-26,118756.97
2020-03-27,118756.97
2020-03-28,118756.97
2020-03-29,118756.97
2020-03-30,118756.97
2020-03-31,118756.97
2020-04-01,118756.97
2020-04-02,118756.97
2020-04-03,118756.97
2020-04-04,118756.97
2020-04-05,118756.97
2020-04-06,118756.97
2020-04-07,118756.97
2020-04-08,118756.97
2020-04-09,118756.97
2020-04-10,118756.97
2020-04-11,118756.97
2020-04-12,118756.97
2020-04-13,120780.23
2020-04-14,125001.56
2020-04-15,130225.21
2020-04-16,136121.56
2020-04-17,142071.06
2020-04-18,147280.71
2020-04-19,152588.27
2020-04-20,156257.17
