Date,Price
2019-10-06,128252.46
2019-10-07,127637.09
2019-10-08,126602.15
2019-10-09,125231.56
2019-10-10,124075.41
2019-10-11,122686.17
2019-10-12,121315.57
2019-10-13,120000.93
2019-10-14,119040.57
2019-10-15,118965.98
2019-10-16,118965.98
2019-10-17,118965.98
2019-10-18,118965.98
2019-10-19,118965.98
2019-10-20,118965.98
2019-10-21,118882.07
2019-10-22,118182.79
2019-10-23,117511.48
2019-10-24,116728.28
2019-10-25,116168.85
2019-10-26,115385.66
2019-10-27,114602.46
2019-10-28,113819.26
2019-10-29,113297.13
2019-10-30,112812.30
2019-10-31,112402.05
2019-11-01,111917.22
2019-11-02,111432.38
2019-11-03,111022.14
2019-11-04,110611.89
2019-11-05,110313.52
2019-11-06,110071.10
2019-11-07,109716.80
2019-11-08,109455.74
2019-11-09,109194.67
2019-11-10,108840.37
2019-11-11,108299.59
2019-11-12,107553.69
2019-11-13,106770.49
2019-11-14,105875.41
2019-11-15,105054.92
2019-11-16,104309.02
2019-11-17,103553.79
2019-11-18,102891.80
2019-11-19,102406.97
2019-11-20,102034.02
2019-11-21,101567.83
2019-11-22,101138.93
2019-11-23,100728.69
2019-11-24,100318.44
2019-11-25,100001.43
2019-11-26,99945.49
2019-11-27,99721.72
2019-11-28,99721.72
2019-11-29,99721.72
2019-11-30,99609.84
2019-12-01,99497.95
2019-12-02,99469.98
2019-12-03,99013.11
2019-12-04,98490.98
2019-12-05,97968.85
2019-12-06,97372.13
2019-12-07,96850.00
2019-12-08,96309.22
2019-12-09,95843.03
2019-12-10,95358.20
2019-12-11,95022.54
2019-12-12,94724.18
2019-12-13,94463.12
2019-12-14,94052.87
2019-12-15,93791.81
2019-12-16,93456.15
2019-12-17,93288.32
2019-12-18,93157.79
2019-12-19,92952.67
2019-12-20,92784.84
2019-12-21,92617.01
2019-12-22,92486.48
2019-12-23,92337.30
2019-12-24,92337.30
2019-12-25,92337.30
2019-12-26,92337.30
2019-12-27,92337.30
2019-12-28,92337.30
2019-12-29,92337.30
2019-12-30,92337.30
2019-12-31,92337.30
2020-01-01,92337.30
2020-01-02,92337.30
2020-01-03,92337.30
2020-01-04,92337.30
2020-01-05,92337.30
2020-01-06,92337.30
2020-01-07,92038.93
2020-01-08,91777.87
2020-01-09,91516.80
2020-01-10,91162.50
2020-01-11,90920.08
2020-01-12,90603.07
2020-01-13,90323.36
2020-01-14,90323.36
2020-01-15,90099.59
2020-01-16,90099.59
2020-01-17,90099.59
2020-01-18,89987.71
2020-01-19,89875.82
2020-01-20,89875.82
2020-01-21,89875.82
2020-01-22,89875.82
2020-01-23,89875.82
2020-01-24,89875.82
2020-01-25,89875.82
2020-01-26,89875.82
2020-01-27,89875.82
2020-01-28,89875.82
2020-01-29,89875.82
2020-01-30,89875.82
2020-01-31,89875.82
2020-02-01,89875.82
2020-02-02,89875.82
2020-02-03,89875.82
2020-02-04,89875.82
2020-02-05,89875.82
2020-02-06,89875.82
2020-02-07,89875.82
2020-02-08,89875.82
2020-02-09,89875.82
2020-02-10,89875.82
2020-02-11,89875.82
2020-02-12,89875.82
2020-02-13,89875.82
2020-02-14,89875.82
2020-02-15,89875.82
2020-02-16,89875.82
2020-02-17,89875.82
2020-02-18,89875.82
2020-02-19,89875.82
2020-02-20,89875.82
2020-02-21,89875.82
2020-02-22,89875.82
2020-02-23,89875.82
2020-02-24,89875.82
2020-02-25,89875.82
2020-02-26,89875.82
2020-02-27,89875.82
2020-02-28,89875.82
2020-02-29,89875.82
2020-03-01,89875.82
2020-03-02,89875.82
2020-03-03,89875.82
2020-03-04,89875.82
2020-03-05,89875.82
2020-03-06,89875.82
2020-03-07,89875.82
2020-03-08,89875.82
2020-03-09,89875.82
2020-03-10,89875.82
2020-03-11,89875.82
2020-03-12,89875.82
2020-03-13,89875.82
2020-03-14,89875.82
2020-03-15,89875.82
2020-03-16,89875.82
2020-03-17,89875.82
2020-03-18,89875.82
2020-03-19,89875.82
2020-03-20,89875.82
2020-03-21,89875.82
2020-03-22,89875.82
2020-03-23,89875.82
2020-03-24,89875.82
2020-03-25,89875.82
2020-03-26,89875.82
2020-03-27,89875.82
2020-03-28,89875.82
2020-03-29,89875.82
2020-03-30,89875.82
2020-03-31,89875.82
2020-04-01,89875.82
2020-04-02,89875.82
2020-04-03,89875.82
2020-04-04,89875.82
2020-04-05,89875.82
2020-04-06,89875.82
2020-04-07,89875.82
2020-04-08,89875.82
2020-04-09,89875.82
2020-04-10,89875.82
2020-04-11,89875.82
2020-04-12,89875.82
2020-04-13,90062.29
2020-04-14,91050.61
2020-04-15,92561.07
2020-04-16,94463.12
2020-04-17,96346.51
2020-04-18,98267.22
2020-04-19,100094.67
2020-04-20,101847.55
2020-04-21,102630.74
