Date,Price
2019-09-22,55963.63
2019-09-23,55820.82
2019-09-24,55474.01
2019-09-25,54997.99
2019-09-26,54576.37
2019-09-27,54168.36
2019-09-28,53678.74
2019-09-29,53202.72
2019-09-30,52862.70
2019-10-01,52658.70
2019-10-02,52475.09
2019-10-03,52250.68
2019-10-04,52087.47
2019-10-05,51924.27
2019-10-06,51740.66
2019-10-07,51516.25
2019-10-08,51271.44
2019-10-09,51026.63
2019-10-10,50781.82
2019-10-11,50577.81
2019-10-12,50292.20
2019-10-13,50047.39
2019-10-14,49802.58
2019-10-15,49618.98
2019-10-16,49394.57
2019-10-17,49231.36
2019-10-18,49068.15
2019-10-19,48864.15
2019-10-20,48660.14
2019-10-21,48496.93
2019-10-22,48279.32
2019-10-23,48048.11
2019-10-24,47762.50
2019-10-25,47599.29
2019-10-26,47354.48
2019-10-27,47130.08
2019-10-28,46919.27
2019-10-29,46905.67
2019-10-30,46905.67
2019-10-31,46905.67
2019-11-01,46905.67
2019-11-02,46905.67
2019-11-03,46905.67
2019-11-04,46905.67
2019-11-05,46722.06
2019-11-06,46456.85
2019-11-07,46293.64
2019-11-08,46048.83
2019-11-09,45844.83
2019-11-10,45586.41
2019-11-11,45409.61
2019-11-12,45300.80
2019-11-13,45232.80
2019-11-14,45164.80
2019-11-15,45110.39
2019-11-16,45055.99
2019-11-17,44987.99
2019-11-18,44919.99
2019-11-19,44838.38
2019-11-20,44783.98
2019-11-21,44681.98
2019-11-22,44593.57
2019-11-23,44539.17
2019-11-24,44457.57
2019-11-25,44375.96
2019-11-26,44314.76
2019-11-27,44239.96
2019-11-28,44212.76
2019-11-29,44131.15
2019-11-30,44090.35
2019-12-01,44022.35
2019-12-02,43967.95
2019-12-03,43967.95
2019-12-04,43967.95
2019-12-05,43967.95
2019-12-06,43967.95
2019-12-07,43967.95
2019-12-08,43967.95
2019-12-09,43967.95
2019-12-10,43967.95
2019-12-11,43967.95
2019-12-12,43967.95
2019-12-13,43967.95
2019-12-14,43967.95
2019-12-15,43967.95
2019-12-16,43967.95
2019-12-17,43906.75
2019-12-18,43886.35
2019-12-19,43804.74
2019-12-20,43804.74
2019-12-21,43723.14
2019-12-22,43695.94
2019-12-23,43641.54
2019-12-24,43614.34
2019-12-25,43559.93
2019-12-26,43532.73
2019-12-27,43478.33
2019-12-28,43478.33
2019-12-29,43423.93
2019-12-30,43376.33
2019-12-31,43287.92
2020-01-01,43206.32
2020-01-02,43124.72
2020-01-03,43009.11
2020-01-04,42907.11
2020-01-05,42825.50
2020-01-06,42743.90
2020-01-07,42743.90
2020-01-08,42743.90
2020-01-09,42743.90
2020-01-10,42743.90
2020-01-11,42743.90
2020-01-12,42743.90
2020-01-13,42743.90
2020-01-14,42743.90
2020-01-15,42689.50
2020-01-16,42662.30
2020-01-17,42662.30
2020-01-18,42635.10
2020-01-19,42580.69
2020-01-20,42580.69
2020-01-21,42580.69
2020-01-22,42499.09
2020-01-23,42499.09
2020-01-24,42499.09
2020-01-25,42471.89
2020-01-26,42417.49
2020-01-27,42417.49
2020-01-28,42417.49
2020-01-29,42417.49
2020-01-30,42417.49
2020-01-31,42335.88
2020-02-01,42335.88
2020-02-02,42335.88
2020-02-03,42335.88
2020-02-04,42335.88
2020-02-05,42335.88
2020-02-06,42335.88
2020-02-07,42335.88
2020-02-08,42335.88
2020-02-09,42335.88
2020-02-10,42335.88
2020-02-11,42335.88
2020-02-12,42335.88
2020-02-13,42335.88
2020-02-14,42335.88
2020-02-15,42335.88
2020-02-16,42335.88
2020-02-17,42335.88
2020-02-18,42335.88
2020-02-19,42335.88
2020-02-20,42335.88
2020-02-21,42335.88
2020-02-22,42335.88
2020-02-23,42335.88
2020-02-24,42335.88
2020-02-25,42335.88
2020-02-26,42335.88
2020-02-27,42335.88
2020-02-28,42335.88
2020-02-29,42335.88
2020-03-01,42335.88
2020-03-02,42335.88
2020-03-03,42335.88
2020-03-04,42335.88
2020-03-05,42335.88
2020-03-06,42335.88
2020-03-07,42335.88
2020-03-08,42335.88
2020-03-09,42335.88
2020-03-10,42335.88
2020-03-11,42335.88
2020-03-12,42335.88
2020-03-13,42335.88
2020-03-14,42335.88
2020-03-15,42335.88
2020-03-16,42335.88
2020-03-17,42335.88
2020-03-18,42335.88
2020-03-19,42335.88
2020-03-20,42335.88
2020-03-21,42335.88
2020-03-22,42335.88
2020-03-23,42335.88
2020-03-24,42335.88
2020-03-25,42335.88
2020-03-26,42335.88
2020-03-27,42335.88
2020-03-28,42335.88
2020-03-29,42335.88
2020-03-30,42335.88
2020-03-31,42335.88
2020-04-01,42335.88
2020-04-02,42335.88
2020-04-03,42335.88
2020-04-04,42335.88
2020-04-05,42335.88
2020-04-06,42335.88
2020-04-07,42335.88
2020-04-08,42335.88
2020-04-09,42335.88
2020-04-10,42335.88
2020-04-11,42335.88
2020-04-12,42335.88
2020-04-13,42485.49
2020-04-14,42879.90
2020-04-15,43478.33
2020-04-16,44131.15
2020-04-17,44634.37
2020-04-18,45192.00
2020-04-19,45783.62
2020-04-20,46212.04
2020-04-21,46375.24
