Date,Price
2019-05-19,54979.23
2019-05-20,54830.05
2019-05-21,54345.22
2019-05-22,53972.27
2019-05-23,53394.19
2019-05-24,52797.47
2019-05-25,52228.72
2019-05-26,51523.22
2019-05-27,50811.51
2019-05-28,50261.41
2019-05-29,49748.60
2019-05-30,49263.77
2019-05-31,48769.61
2019-06-01,48256.80
2019-06-02,47818.58
2019-06-03,47650.75
2019-06-04,47408.33
2019-06-05,47408.33
2019-06-06,47333.74
2019-06-07,47333.74
2019-06-08,47259.15
2019-06-09,47259.15
2019-06-10,47109.98
2019-06-11,46886.21
2019-06-12,46625.14
2019-06-13,46289.48
2019-06-14,45991.12
2019-06-15,45674.11
2019-06-16,45357.10
2019-06-17,45058.74
2019-06-18,44797.68
2019-06-19,44499.32
2019-06-20,44256.90
2019-06-21,43995.84
2019-06-22,43734.77
2019-06-23,43473.70
2019-06-24,43305.87
2019-06-25,43193.99
2019-06-26,43231.28
2019-06-27,43268.58
2019-06-28,43305.87
2019-06-29,43380.46
2019-06-30,43380.46
2019-07-01,43473.70
2019-07-02,43380.47
2019-07-03,43231.29
2019-07-04,43082.11
2019-07-05,42970.22
2019-07-06,42858.34
2019-07-07,42709.16
2019-07-08,42559.98
2019-07-09,42485.38
2019-07-10,42485.38
2019-07-11,42485.38
2019-07-12,42485.38
2019-07-13,42485.38
2019-07-14,42485.38
2019-07-15,42485.38
2019-07-16,42485.38
2019-07-17,42485.38
2019-07-18,42485.38
2019-07-19,42485.38
2019-07-20,42485.38
2019-07-21,42485.38
2019-07-22,42485.38
2019-07-23,42485.38
2019-07-24,42485.38
2019-07-25,42485.38
2019-07-26,42485.38
2019-07-27,42485.38
2019-07-28,42485.38
2019-07-29,42485.38
2019-07-30,42485.38
2019-07-31,42485.38
2019-08-01,42485.38
2019-08-02,42485.38
2019-08-03,42485.38
2019-08-04,42485.38
2019-08-05,42485.38
2019-08-06,42485.38
2019-08-07,42485.38
2019-08-08,42485.38
2019-08-09,42485.38
2019-08-10,42485.38
2019-08-11,42485.38
2019-08-12,42485.38
2019-08-13,42485.38
2019-08-14,42485.38
2019-08-15,42485.38
2019-08-16,42485.38
2019-08-17,42485.38
2019-08-18,42485.38
2019-08-19,42485.38
2019-08-20,42485.38
2019-08-21,42485.38
2019-08-22,42485.38
2019-08-23,42485.38
2019-08-24,42485.38
2019-08-25,42485.38
2019-08-26,42485.38
2019-08-27,42485.38
2019-08-28,42485.38
2019-08-29,42485.38
2019-08-30,42485.38
2019-08-31,42485.38
2019-09-01,42485.38
2019-09-02,42485.38
2019-09-03,42485.38
2019-09-04,42485.38
2019-09-05,42485.38
2019-09-06,42485.38
2019-09-07,42485.38
2019-09-08,42485.38
2019-09-09,42485.38
2019-09-10,42485.38
2019-09-11,42485.38
2019-09-12,42485.38
2019-09-13,42485.38
2019-09-14,42485.38
2019-09-15,42485.38
2019-09-16,42485.38
2019-09-17,42410.79
2019-09-18,42336.20
2019-09-19,42261.61
2019-09-20,42187.02
2019-09-21,42112.43
2019-09-22,42037.84
2019-09-23,41963.25
2019-09-24,41963.25
2019-09-25,41963.25
2019-09-26,41963.25
2019-09-27,41963.25
2019-09-28,41963.25
2019-09-29,41963.25
2019-09-30,41963.25
2019-10-01,41925.96
2019-10-02,41888.66
2019-10-03,41851.37
2019-10-04,41789.21
2019-10-05,41739.48
2019-10-06,41702.19
2019-10-07,41664.89
2019-10-08,41627.60
2019-10-09,41590.30
2019-10-10,41590.30
2019-10-11,41515.71
2019-10-12,41515.71
2019-10-13,41478.42
