Date,Price
2018-12-20,115026.84
2018-12-21,115027.20
2018-12-22,115027.74
2018-12-23,115028.28
2018-12-24,115028.82
2018-12-25,115029.36
2018-12-26,115029.73
2018-12-27,115030.27
2018-12-28,115030.81
2018-12-29,115031.35
2018-12-30,115031.89
2018-12-31,115032.25
2019-01-01,115032.80
2019-01-02,115033.34
2019-01-03,115033.88
2019-01-04,114699.68
2019-01-05,114700.04
2019-01-06,114700.58
2019-01-07,114701.12
2019-01-08,114701.67
2019-01-09,114702.21
2019-01-10,114702.57
2019-01-11,114703.11
2019-01-12,114703.65
2019-01-13,114704.01
2019-01-14,114704.55
2019-01-15,114705.10
2019-01-16,114705.64
2019-01-17,114706.18
2019-01-18,114706.54
2019-01-19,114707.08
2019-01-20,114707.62
2019-01-21,114540.79
2019-01-22,114373.96
2019-01-23,114374.33
2019-01-24,114374.87
2019-01-25,114375.41
2019-01-26,114041.21
2019-01-27,114041.75
2019-01-28,114042.11
2019-01-29,114042.65
2019-01-30,113708.45
2019-01-31,113709.00
2019-02-01,113709.54
2019-02-02,113709.90
2019-02-03,113543.07
2019-02-04,113376.24
2019-02-05,113376.78
2019-02-06,113377.32
2019-02-07,113377.69
2019-02-08,113043.49
2019-02-09,113044.03
2019-02-10,113044.57
2019-02-11,113045.11
2019-02-12,112710.73
2019-02-13,112711.27
2019-02-14,112711.81
2019-02-15,112712.36
2019-02-16,112378.16
2019-02-17,112378.52
2019-02-18,112462.75
2019-02-19,112212.23
2019-02-20,111877.85
2019-02-21,111376.28
2019-02-22,110874.71
2019-02-23,110373.14
2019-02-24,110206.31
2019-02-25,109871.93
2019-02-26,109370.36
2019-02-27,108868.79
2019-02-28,108367.22
2019-03-01,107865.65
2019-03-02,107531.27
2019-03-03,107029.70
2019-03-04,106528.13
2019-03-05,106026.56
2019-03-06,105859.73
2019-03-07,105525.35
2019-03-08,105023.78
2019-03-09,104522.21
2019-03-10,104020.64
2019-03-11,103519.07
2019-03-12,103184.69
2019-03-13,102683.12
2019-03-14,102181.55
2019-03-15,101679.98
2019-03-16,101513.15
2019-03-17,101178.77
2019-03-18,100677.20
2019-03-19,100175.63
2019-03-20,99674.06
2019-03-21,99172.49
2019-03-22,99005.48
2019-03-23,99006.02
2019-03-24,99006.57
2019-03-25,99006.93
2019-03-26,99007.47
2019-03-27,99008.01
2019-03-28,99008.55
2019-03-29,99009.09
2019-03-30,99009.45
2019-03-31,99010.00
2019-04-01,99010.54
2019-04-02,99011.08
2019-04-03,99011.62
2019-04-04,99011.98
2019-04-05,99179.90
2019-04-06,99347.81
2019-04-07,99348.35
2019-04-08,99348.89
2019-04-09,99349.25
2019-04-10,99349.79
2019-04-11,99350.33
2019-04-12,99350.88
2019-04-13,99351.42
2019-04-14,99351.78
2019-04-15,99352.32
2019-04-16,99352.86
2019-04-17,99353.40
2019-04-18,99353.95
2019-04-19,99354.31
2019-04-20,99354.85
2019-04-21,99020.65
2019-04-22,98853.82
2019-04-23,98352.25
2019-04-24,98352.61
2019-04-25,97851.04
2019-04-26,97684.21
2019-04-27,97182.64
2019-04-28,97015.81
2019-04-29,96681.43
2019-04-30,96514.60
2019-05-01,96013.03
2019-05-02,96013.40
2019-05-03,95511.83
2019-05-04,95345.00
2019-05-05,94843.43
2019-05-06,94676.60
2019-05-07,94342.22
2019-05-08,94008.02
2019-05-09,93673.82
2019-05-10,93339.62
2019-05-11,93005.42
2019-05-12,92671.04
2019-05-13,92504.21
2019-05-14,92337.38
2019-05-15,91835.81
2019-05-16,91668.98
2019-05-17,91334.60
2019-05-18,91000.40
2019-05-19,90666.20
2019-05-20,90332.00
2019-05-21,90165.17
2019-05-22,89830.79
2019-05-23,89496.60
2019-05-24,89162.40
2019-05-25,88660.83
