Date,Price
2019-09-02,149140.22
2019-09-03,149140.22
2019-09-04,149140.22
2019-09-05,149140.22
2019-09-06,149140.22
2019-09-07,149140.22
2019-09-08,149140.22
2019-09-09,149140.22
2019-09-10,149140.22
2019-09-11,149140.22
2019-09-12,149140.22
2019-09-13,149140.22
2019-09-14,149140.22
2019-09-15,149140.22
2019-09-16,149140.22
2019-09-17,149140.22
2019-09-18,149140.22
2019-09-19,149140.22
2019-09-20,149140.22
2019-09-21,149140.22
2019-09-22,149140.22
2019-09-23,149140.22
2019-09-24,149140.22
2019-09-25,149140.22
2019-09-26,148942.39
2019-09-27,148546.74
2019-09-28,148546.74
2019-09-29,148546.74
2019-09-30,148546.74
2019-10-01,148546.74
2019-10-02,148546.74
2019-10-03,148546.74
2019-10-04,148546.74
2019-10-05,148546.74
2019-10-06,148546.74
2019-10-07,148546.74
2019-10-08,148546.74
2019-10-09,148546.74
2019-10-10,148546.74
2019-10-11,148546.74
2019-10-12,148546.74
2019-10-13,148546.74
2019-10-14,148546.74
2019-10-15,148546.74
2019-10-16,148546.74
2019-10-17,148546.74
2019-10-18,148546.74
2019-10-19,148546.74
2019-10-20,148546.74
2019-10-21,148546.74
2019-10-22,148546.74
2019-10-23,148546.74
2019-10-24,148546.74
2019-10-25,148546.74
2019-10-26,148546.74
2019-10-27,148546.74
2019-10-28,148546.74
2019-10-29,148546.74
2019-10-30,148546.74
2019-10-31,148546.74
2019-11-01,148546.74
2019-11-02,148546.74
2019-11-03,148546.74
2019-11-04,146073.91
2019-11-05,141523.91
2019-11-06,135688.04
2019-11-07,129604.89
2019-11-08,123422.83
2019-11-09,117339.67
2019-11-10,111207.06
2019-11-11,105569.02
2019-11-12,99930.98
2019-11-13,95380.98
2019-11-14,90682.61
2019-11-15,86280.98
2019-11-16,81582.61
2019-11-17,77032.61
2019-11-18,75153.26
2019-11-19,73768.48
2019-11-20,73768.48
2019-11-21,73768.48
2019-11-22,73768.48
2019-11-23,73768.48
2019-11-24,73768.48
2019-11-25,73768.48
2019-11-26,73768.48
2019-11-27,73768.48
2019-11-28,73768.48
2019-11-29,73768.48
2019-11-30,73768.48
2019-12-01,73768.48
2019-12-02,73768.48
2019-12-03,73768.48
2019-12-04,73768.48
2019-12-05,73768.48
2019-12-06,73768.48
2019-12-07,73768.48
2019-12-08,73768.48
2019-12-09,73768.48
2019-12-10,74361.96
2019-12-11,74559.78
2019-12-12,74955.43
2019-12-13,75153.26
2019-12-14,75548.91
2019-12-15,75746.74
2019-12-16,80185.46
2019-12-17,87566.85
2019-12-18,97655.98
2019-12-19,108313.86
2019-12-20,118600.81
2019-12-21,127478.26
2019-12-22,137804.78
2019-12-23,142879.02
2019-12-24,148546.74
2019-12-25,149140.22
2019-12-26,149140.22
2019-12-27,149140.22
2019-12-28,149140.22
2019-12-29,149140.22
2019-12-30,149140.22
2019-12-31,149140.22
2020-01-01,149140.22
2020-01-02,149140.22
2020-01-03,149140.22
2020-01-04,149140.22
2020-01-05,149140.22
2020-01-06,149140.22
2020-01-07,149140.22
2020-01-08,149140.22
2020-01-09,149140.22
2020-01-10,149140.22
2020-01-11,149140.22
2020-01-12,149140.22
2020-01-13,149140.22
2020-01-14,149140.22
2020-01-15,149140.22
2020-01-16,149140.22
2020-01-17,149140.22
2020-01-18,149140.22
2020-01-19,149140.22
2020-01-20,149140.22
2020-01-21,149140.22
2020-01-22,149140.22
2020-01-23,149140.22
2020-01-24,149140.22
2020-01-25,149140.22
2020-01-26,149140.22
2020-01-27,149140.22
2020-01-28,149140.22
2020-01-29,149140.22
2020-01-30,149140.22
2020-01-31,149140.22
2020-02-01,149140.22
2020-02-02,149140.22
2020-02-03,149140.22
2020-02-04,149140.22
2020-02-05,149140.22
2020-02-06,149140.22
2020-02-07,149140.22
2020-02-08,149140.22
2020-02-09,149140.22
2020-02-10,149140.22
2020-02-11,149140.22
2020-02-12,149140.22
2020-02-13,149140.22
2020-02-14,149140.22
2020-02-15,149140.22
2020-02-16,149140.22
2020-02-17,149140.22
2020-02-18,149140.22
2020-02-19,149140.22
2020-02-20,149140.22
2020-02-21,149140.22
2020-02-22,149140.22
2020-02-23,149140.22
2020-02-24,149140.22
2020-02-25,149140.22
2020-02-26,149140.22
2020-02-27,149140.22
2020-02-28,149140.22
2020-02-29,149140.22
2020-03-01,149140.22
2020-03-02,149140.22
2020-03-03,149140.22
2020-03-04,149140.22
2020-03-05,149140.22
2020-03-06,149140.22
2020-03-07,149140.22
2020-03-08,149140.22
2020-03-09,149140.22
2020-03-10,149140.22
2020-03-11,149140.22
2020-03-12,149140.22
2020-03-13,149140.22
2020-03-14,149140.22
2020-03-15,149140.22
2020-03-16,149140.22
2020-03-17,149140.22
2020-03-18,149140.22
2020-03-19,149140.22
2020-03-20,149140.22
2020-03-21,149140.22
2020-03-22,149140.22
2020-03-23,149140.22
2020-03-24,149140.22
2020-03-25,149140.22
2020-03-26,149140.22
2020-03-27,149140.22
2020-03-28,149140.22
2020-03-29,149140.22
2020-03-30,149140.22
2020-03-31,149140.22
2020-04-01,149140.22
2020-04-02,149140.22
2020-04-03,149140.22
2020-04-04,149140.22
2020-04-05,149140.22
2020-04-06,149140.22
2020-04-07,149140.22
2020-04-08,149140.22
2020-04-09,149140.22
2020-04-10,149140.22
2020-04-11,149140.22
2020-04-12,149140.22
2020-04-13,149140.22
2020-04-14,149140.22
2020-04-15,149140.22
2020-04-16,149140.22
2020-04-17,149140.22
2020-04-18,149140.22
2020-04-19,149140.22
2020-04-20,149140.22
