Date,Price
2019-11-10,65167.85
2019-11-11,65075.91
2019-11-12,64887.78
2019-11-13,64678.71
2019-11-14,64473.83
2019-11-15,64273.13
2019-11-16,64040.65
2019-11-17,63804.82
2019-11-18,63604.12
2019-11-19,63395.06
2019-11-20,63190.17
2019-11-21,62981.11
2019-11-22,62746.12
2019-11-23,62512.80
2019-11-24,62303.73
2019-11-25,62136.50
2019-11-26,62023.67
2019-11-27,61948.50
2019-11-28,61843.22
2019-11-29,61756.35
2019-11-30,61664.44
2019-12-01,61589.27
2019-12-02,61505.73
2019-12-03,61489.16
2019-12-04,61489.32
2019-12-05,61489.47
2019-12-06,61489.61
2019-12-07,61489.77
2019-12-08,61489.93
2019-12-09,61557.03
2019-12-10,61724.54
2019-12-11,61935.59
2019-12-12,62147.47
2019-12-13,62335.90
2019-12-14,62520.15
2019-12-15,62726.18
2019-12-16,62738.06
2019-12-17,62378.36
2019-12-18,61957.99
2019-12-19,61545.99
2019-12-20,61133.99
2019-12-21,60711.52
2019-12-22,60250.16
2019-12-23,59956.60
2019-12-24,59860.50
2019-12-25,59852.28
2019-12-26,59827.32
2019-12-27,59812.42
2019-12-28,59785.80
2019-12-29,59777.57
2019-12-30,59752.61
2019-12-31,59712.61
2020-01-01,59677.62
2020-01-02,59644.29
2020-01-03,59602.59
2020-01-04,59569.27
2020-01-05,59532.61
2020-01-06,59494.27
2020-01-07,59486.05
2020-01-08,59486.19
2020-01-09,59486.34
2020-01-10,59486.50
2020-01-11,59486.66
2020-01-12,59486.81
2020-01-13,59486.95
2020-01-14,59487.11
2020-01-15,59487.28
2020-01-16,59487.42
2020-01-17,59487.57
2020-01-18,59487.71
2020-01-19,59487.87
2020-01-20,59488.03
2020-01-21,59488.18
2020-01-22,59488.32
2020-01-23,59488.48
2020-01-24,59488.65
2020-01-25,59488.79
2020-01-26,59488.94
2020-01-27,59489.08
2020-01-28,59475.85
2020-01-29,59455.93
2020-01-30,59456.08
2020-01-31,59422.75
2020-02-01,59422.91
2020-02-02,59397.96
2020-02-03,59389.74
2020-02-04,59389.89
2020-02-05,59390.03
2020-02-06,59390.19
2020-02-07,59390.35
2020-02-08,59390.50
2020-02-09,59390.64
2020-02-10,59390.80
2020-02-11,59390.97
2020-02-12,59391.11
2020-02-13,59391.26
2020-02-14,59391.40
2020-02-15,59391.56
2020-02-16,59391.72
2020-02-17,59391.87
2020-02-18,59392.01
2020-02-19,59392.17
2020-02-20,59392.34
2020-02-21,59392.48
2020-02-22,59392.63
2020-02-23,59392.77
2020-02-24,59392.93
2020-02-25,59393.10
2020-02-26,59393.24
2020-02-27,59393.38
2020-02-28,59393.54
2020-02-29,59393.71
2020-03-01,59393.85
2020-03-02,59394.00
2020-03-03,59394.14
2020-03-04,59394.30
2020-03-05,59394.47
2020-03-06,59394.61
2020-03-07,59394.75
2020-03-08,59394.92
2020-03-09,59395.08
2020-03-10,59395.22
2020-03-11,59395.37
2020-03-12,59395.51
2020-03-13,59395.67
2020-03-14,59395.84
2020-03-15,59395.98
2020-03-16,59396.13
2020-03-17,59396.29
2020-03-18,59396.45
2020-03-19,59396.59
2020-03-20,59396.74
2020-03-21,59396.88
2020-03-22,59397.04
2020-03-23,59397.21
2020-03-24,59397.35
2020-03-25,59397.50
2020-03-26,59397.66
2020-03-27,59397.82
2020-03-28,59397.97
2020-03-29,59398.11
2020-03-30,59398.25
2020-03-31,59398.41
2020-04-01,59398.58
2020-04-02,59398.72
2020-04-03,59398.87
2020-04-04,59399.03
2020-04-05,59399.19
2020-04-06,59399.34
2020-04-07,59399.48
2020-04-08,59399.62
2020-04-09,59399.78
2020-04-10,59399.95
2020-04-11,59400.09
2020-04-12,59400.24
2020-04-13,59400.40
2020-04-14,59400.56
2020-04-15,59400.71
2020-04-16,59400.85
2020-04-17,59401.00
2020-04-18,59401.16
2020-04-19,59401.32
2020-04-20,59401.43
