"oem","model","network_technology","network_2g_bands","network_�","network_3g_bands","network_4g_bands","network_5g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_quad","main_camera_features","main_camera_video","selfie_camera_dual","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_usb","features_sensors","battery_�","battery_charging","misc_colors","misc_models","misc_price","selfie_camera_single","display_�","body_build","body_�","main_camera_single","sound_�","comms_radio","network_gprs","network_edge","camera_�","main_camera_five","comms_infrared_port","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","main_camera_triple","selfie_camera_�","main_camera_dual","display_protection","tests_audio_quality","misc_sar_eu","memory_phonebook","memory_call_records","features_messaging","features_games","features_java","features_�","battery_stand-by","selfie_camera_triple","battery_talk_time","battery_music_play","misc_sar","body_keyboard","features_browser"
"Huawei","nova 7 Pro 5G","GSM / CDMA / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA 800 & TD-SCDMA","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41","1, 3, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, April 23","Available. Released 2020, April 28","160.4 x 73.7 x 8 mm (6.31 x 2.90 x 0.31 in)","178 g (6.28 oz)","Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.57 inches, 106.0 cm (~89.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)","Android 10.0; EMUI 10 with HMS (no Google Play Services)","HiSilicon Kirin 985 5G (7 nm)","Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)","Mali-G77 (8-core)","No","128GB 8GB RAM, 256GB 8GB RAM","UFS 3.0","64 MP, f/1.8, 26mm (wide), PDAF  Periscope 8 MP, f/3.4, 125mm (telephoto), PDAF, OIS, 5x optical zoom  8 MP, f/2.4, 17mm (ultrawide)  2 MP, f/2.4, (macro)","Dual-LED dual-tone flash, panorama, HDR","2160p, 1080p, 720p@960fps, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm, PDAF  8 MP, f/2.2, 17mm (ultrawide)","HDR","2160p","Yes","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Yes","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4000 mAh battery","Fast charging 40W, 75% in 30 min (advertised)  Reverse charging 5W","Black, Red, Purple, Green, Blue","JER-AN10","$ 679.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","nova 7 5G","GSM / CDMA / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA 800 & TD-SCDMA","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41","1, 3, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, April 23","Available. Released 2020, April 28","160.6 x 74.3 x 8 mm (6.32 x 2.93 x 0.31 in)","180 g (6.35 oz)","Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.53 inches, 102.9 cm (~86.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~403 ppi density)","Android 10.0; EMUI 10 with HMS (no Google Play Services)","HiSilicon Kirin 985 5G (7 nm)","Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)","Mali-G77 (8-core)","No","128GB 8GB RAM, 256GB 8GB RAM","UFS 3.0","64 MP, f/1.8, 26mm (wide), PDAF  8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom  8 MP, f/2.4, 17mm (ultrawide)  2 MP, f/2.4, (macro)","LED flash, Panorama, HDR","2160p, 1080p, 720p@960fps, gyro-EIS",,"HDR","2160p","Yes","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS","Yes","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4000 mAh battery","Fast charging 40W, 75% in 30 min (advertised)  Reverse charging 5W","Black, Red, Purple, Green, Blue","JEF-AN00","$ 549.99","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","nova 7 SE","GSM / CDMA / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA 800 & TD-SCDMA","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 6, 8, 18, 19, 26","1, 3, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, April 23","Available. Released 2020, April 28","162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in)","189 g (6.67 oz)","Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~83.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 10.0; EMUI 10 with HMS (no Google Play Services)","HiSilicon Kirin 820 5G (7nm)","Octa-core (1x2.36 GHz Cortex-A76 & 3x2.22 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)","Mali-G57 (6-core)","NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 8GB RAM, 256GB 8GB RAM",,"64 MP, f/1.8, 26mm (wide), PDAF  8 MP, f/2.4, 17mm (ultrawide)  2 MP, f/2.4, (macro)  2 MP, f/2.4, (depth)","LED flash, Panorama, HDR","2160p, 1080p, 720p@960fps",,"HDR","1080p","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass","Non-removable Li-Po 4000 mAh battery","Fast charging 40W, 70% in 30 min (advertised)  Reverse charging 5W","Black, Purple, Green, Blue","CDY-AN00","About 320 EUR","16 MP, f/2.0, (wide)","HDR10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","MatePad","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900",,"HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, April 23","Available. Released 2020, April 28","245.2 x 155 x 7.4 mm (9.65 x 6.10 x 0.29 in)","450 g (0.99 lb)","Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","10.4 inches, 307.9 cm (~81.0% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Android 10.0; EMUI 10 with HMS (no Google Play Services)","HiSilicon Kirin 810 (7 nm)","Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55)","Mali-G52 MP6","microSDXC","64GB 4GB RAM, 128GB 6GB RAM",,,"LED flash, HDR, panorama","1080p@30fps",,"HDR","1080p@30fps","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, BDS (LTE model only)",,"2.0, Type-C 1.0 reversible connector","Accelerometer, gyro, proximity, compass","Non-removable Li-Po 7250 mAh battery","Fast charging 18W","White, Gray","BAH3-W09, BAH3-AL00","About 250 EUR","8 MP",,"Glass front, aluminum back, aluminum frame","Stylus support","8 MP, AF","Tuned by Harman Kardon","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","Watch GT 2e","No cellular connectivity","N/A",,"N/A","N/A",,"No","2020, March 26","Available. Released 2020, April 20","53 x 46.8 x 10.8 mm (2.09 x 1.84 x 0.43 in)","43 g (1.52 oz)","No","AMOLED capacitive touchscreen, 16M colors","1.39 inches, 12.5 cm (~50.5% screen-to-body ratio)","454 x 454 pixels, 1:1 ratio (~326 ppi density)","Huawei wearable platform",,,,"No","4GB 16MB RAM","eMMC",,,,,,,"No","No","No","5.1, LE, EDR","Yes, with GLONASS",,"No","Accelerometer, gyro, heart rate, barometer, compass, SpO2","Non-removable Li-Ion 455 mAh battery",,"Graphite Black, Lava Red, Mint Green, Icy White","HCT-B19","€ 165.89",,,"Glass front, plastic/metal back, stainless steel frame","50m water resistant",,,"No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","P40 Pro+","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","1, 3, 28, 38, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, March 26","Coming soon. Exp. release 2020, June","158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in)","226 g (7.97 oz)","Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.58 inches, 105.2 cm (~91.6% screen-to-body ratio)","1200 x 2640 pixels (~441 ppi density)","Android 10.0; EMUI 10 with HMS (no Google Play Services)","HiSilicon Kirin 990 5G (7 nm+)","Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55)","Mali-G76 MP16","NM (Nano Memory), up to 256GB (uses shared SIM slot)","256GB 8GB RAM, 512GB 8GB RAM","UFS 3.0",,"Leica optics, LED flash, panorama, HDR","2160p@30/60fps, 1080p@30/60fps, 720@7680fps, 1080p@960fps, HDR; gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm, AF  IR TOF 3D, (depth/biometrics sensor)","HDR","2160p@30/60fps, 1080p@30/60fps","Yes","No","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC","Yes","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Non-removable Li-Po 4200 mAh battery","Fast charging 40W  Fast wireless charging 40W  Fast reverse wireless charging 27W","White Ceramic, Black Ceramic",,"About 1400 EUR",,"HDR10  90Hz refresh rate","Glass front, cerramic back, cerramic frame","IP68 dust/water resistant (up to 1.5m for 30 mins)",,"32-bit/384kHz audio","No",,,,"50 MP, f/1.9, 23mm (wide), 1/1.28"", 2.44µm, omnidirectional PDAF, OIS  Periscope 8 MP, f/4.4, 240mm (telephoto), PDAF, OIS, 10x optical zoom  8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom  40 MP, f/1.8, 18mm (ultrawide), 1/1.54"", PDAF  TOF 3D, (depth)","Yes",,,,,,,,,,,,,,,,,,,,,,,,
"Huawei","P40 Pro","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","1, 3, 5, 28, 38, 41, 66, 77, 78, 79 SA/NSA - ELS-N04","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41 - ELS-NX9","1, 3, 28, 38, 41, 77, 78, 79 SA/NSA - ELS-NX9","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, March 26","Available. Released 2020, April 07","158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in)","209 g (7.37 oz)","Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.58 inches, 105.2 cm (~91.6% screen-to-body ratio)","1200 x 2640 pixels (~441 ppi density)","Android 10.0; EMUI 10 with HMS (no Google Play Services)","HiSilicon Kirin 990 5G (7 nm+)","Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55)","Mali-G76 MP16","NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","UFS 3.0","50 MP, f/1.9, 23mm (wide), 1/1.28"", 2.44µm, omnidirectional PDAF, OIS  Periscope 12 MP, f/3.4, 125mm (telephoto), PDAF, OIS, 5x optical zoom  40 MP, f/1.8, 18mm (ultrawide), 1/1.54"", PDAF  TOF 3D, (depth)","Leica optics, LED flash, panorama, HDR","2160p@30/60fps, 1080p@30/60fps, 720@7680fps, 1080p@960fps, HDR; gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm, AF  IR TOF 3D, (depth/biometrics sensor)","HDR","2160p@30/60fps, 1080p@30/60fps","Yes","No","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC","Yes","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Non-removable Li-Po 4200 mAh battery","Fast charging 40W  Fast wireless charging 27W  Fast reverse wireless charging 27W","Silver Frost, Blush Gold, Deep Sea Blue, Ice White, Black","ELS-NX9, ELS-N04, ELS-AN00, ELS-TN00","$ 975.89 / € 999.00 / £ 899.99",,"HDR10  90Hz refresh rate","Glass front, glass back, aluminum frame","IP68 dust/water resistant (up to 1.5m for 30 mins)",,"32-bit/384kHz audio","No",,,,,"Yes","AnTuTu: 496356 (v8)  GeekBench: 12848 (v4.4), 3197 (v5.1)  GFXBench: 31fps (ES 3.1 onscreen)","Contrast ratio: Infinite (nominal)","Photo / Video","-27.5 LUFS (Good)","Endurance rating 94h",,,,,,,,,,,,,,,,,,,
"Huawei","P40","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41","1, 3, 28, 38, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, March 26","Available. Released 2020, April 7","148.9 x 71.1 x 8.5 mm (5.86 x 2.80 x 0.33 in)","175 g (6.17 oz)","Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm (~86.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)","Android 10.0; EMUI 10 with HMS (no Google Play Services)","HiSilicon Kirin 990 5G (7 nm+)","Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55)","Mali-G76 MP16","NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","UFS 3.0",,"Leica optics, LED flash, panorama, HDR","2160p@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS",,"HDR","2160p@30/60fps, 1080p@30/60fps","Yes","No","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC","Yes","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Infrared face recognition, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Non-removable Li-Po 3800 mAh battery","Fast charging 22.5W","Silver Frost, Blush Gold, Deep Sea Blue, Ice White, Black","ANA-AN00, ANA-TN00","$ 549.99 / € 799.00 / £ 699.99","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm  IR TOF 3D, (biometrics sensor only)",,,"IP53 dust and splash protection",,,"No",,,,,,"AnTuTu: 486583 (v8)  GeekBench: 12619 (v4.4), 3148 (v5.1)  GFXBench: 37fps (ES 3.1 onscreen)","Contrast ratio: Infinite (nominal)","Photo / Video","-28.9 LUFS (Average)","Endurance rating 89h","50 MP, f/1.9, 23mm (wide), 1/1.28"", 2.44µm, omnidirectional PDAF, OIS  8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom  16 MP, f/2.2, 17mm (ultrawide), AF",,,,,,,,,,,,,,,,,,
"Huawei","P40 lite E","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps","2020, March 4","Available. Released 2020, March 12","159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in)","176 g (6.21 oz)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm (~82.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Android 9.0 (Pie); EMUI 9 with HMS (no Google Play Services)","Hisilicon Kirin 710F (12 nm)","Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)","Mali-G51 MP4","microSDXC (uses shared SIM slot)","64GB 4GB RAM",,,"LED flash, HDR, panorama","1080p@30fps",,"HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,"microUSB 2.0","Fingerprint (rear-mounted), accelerometer, proximity, compass","Non-removable Li-Po 4000 mAh battery","Standard charging 10W","Aurora Blue, Black",,"About 160 EUR","8 MP, f/2.0",,"Glass front, plastic back, plastic frame",,,,"FM radio",,,,,,,,,,,"48 MP, f/1.8, 27mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.4, (ultrawide), 1/4.0"", 1.12µm  2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,
"Huawei","P40 lite","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","1, 2, 3, 4, 5, 7, 8, 18, 19, 28, 34, 38, 39, 40, 41 - JNY-L22A, JNY-L02A, JNY-L22B","HSDPA 800 / 850 / 900 / 1700(AWS) / 2100","1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 28, 34, 38, 39, 40, 41 - JNY-L21A, JNY-L01A, JNY-L21B",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/75 Mbps","2020, February 27","Available. Released 2020, March 2","159.2 x 76.3 x 8.7 mm (6.27 x 3.00 x 0.34 in)","183 g (6.46 oz)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm (~83.5% screen-to-body ratio)","1080 x 2310 pixels (~398 ppi density)","Android 10.0; EMUI 10 with HMS (no Google Play Services)","HiSilicon Kirin 810 (7 nm)","Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55)","Mali-G52 MP6","NM (Nano Memory), up to 256GB (uses shared SIM slot)","128GB 6GB RAM","UFS 2.1","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.4, (ultrawide)  2 MP, f/2.4, 27mm (macro), 1/5.0"", 1.75µm  2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps",,"HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS","Yes (market/region dependent): JNY-L21A, JNY-L01A, JNY-L21B","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass","Non-removable Li-Po 4200 mAh battery","Fast charging 40W, 70% in 30 min (advertised)","Black, Emerald Green, Light Pink/Blue","JNY-L21A, JNY-L01A, JNY-L21B, JNY-L22A, JNY-L02A, JNY-L22B, JNY-LX1","$ 229.99 / € 269.00 / £ 245.42","16 MP, f/2.0, (wide), 1/3.1"", 1.0µm",,"Glass front, plastic back, plastic frame",,,,,,,,,,"AnTuTu: 325777 (v8)  GeekBench: 7846 (v4.4), 1862 (v5.1)  GFXBench: 18fps (ES 3.1 onscreen)","Contrast ratio: 1085:1 (nominal)","Photo / Video","-27.0 LUFS (Good)","Endurance rating 121h",,,,,,,,,,,,,,,,,,,
