"oem","model","network_technology","network_2g_bands","network_�","network_3g_bands","network_4g_bands","network_5g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_build","body_sim","body_�","display_type","display_size","display_resolution","display_protection","display_�","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_quad","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_radio","comms_usb","features_sensors","battery_�","battery_charging","misc_colors","misc_price","main_camera_triple","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","misc_models","tests_audio_quality","main_camera_dual","sound_�","main_camera_single","misc_sar","misc_sar_eu","features_�"
"OnePlus","8 Pro","GSM / CDMA / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","78 SA/NSA - IN","HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 46, 66 - EU","1, 3, 7, 28, 78 SA/NSA - EU","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps, 5G 7.5 Gbps DL","2020, April 14","Available. Released 2020, April 21","165.3 x 74.4 x 8.5 mm (6.51 x 2.93 x 0.33 in)","199 g (7.02 oz)","Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","IP68 dust/water resistant","Fluid AMOLED capacitive touchscreen, 1B colors","6.78 inches, 111.7 cm (~90.8% screen-to-body ratio)","1440 x 3168 pixels (~513 ppi density)","Corning Gorilla Glass","HDR10+  120Hz refresh rate","Android 10.0; OxygenOS 10.0","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)","Adreno 650","No","128GB 8GB RAM, 256GB 12GB RAM","UFS 3.0","48 MP, f/1.8, 25mm (wide), 1/1.43"", 1.12µm, omnidirectional PDAF, Laser AF, OIS  8 MP, f/2.4, (telephoto), 1/1.0µm, PDAF, OIS, 3x optical zoom  48 MP, f/2.2, 14mm, 116° (ultrawide), 1/2.0"", 0.8µm, PDAF  5 MP, f/2.4, (depth)","Dual-LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.5, (wide), 1/3"", 1.0µm","Auto-HDR","1080p@30fps, gyro-EIS","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS","Yes","No","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4510 mAh battery","Fast charging 30W, 50% in 23 min (advertised)  Fast wireless charging 30W, 50% in 30 min (advertised)  Reverse wireless charging 3W","Glacial Green, Ultramarine Blue, Onyx Black","$ 829.99 / € 899.00 / £ 799.00",,,,,,,,,,,,,,
"OnePlus","8","GSM / CDMA / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","78 SA/NSA - IN","HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 46, 66 - EU","1, 3, 7, 28, 78 SA/NSA - EU","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps, 5G 7.5 Gbps DL","2020, April 14","Available. Released 2020, April 21","160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in)","180 g (6.35 oz)","Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","IP68 dust/water resistant (up to 1.5m for 30 mins) - Verizon and T-Mobile only","Fluid AMOLED capacitive touchscreen, 16M colors","6.55 inches, 103.6 cm (~88.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Corning Gorilla Glass","HDR10+  90Hz refresh rate","Android 10.0; OxygenOS 10.0","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)","Adreno 650","No","128GB 8GB RAM, 256GB 12GB RAM","UFS 3.0, 2-LANE",,"Dual-LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","16 MP, f/2.0, (wide), 1/3"", 1.0µm","Auto-HDR","1080p@30fps, gyro-EIS","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS","Yes","No","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4300 mAh battery","Fast charging 30W, 50% in 22 min (advertised)","Onyx Black, Glacial Green, Interstellar Glow, Polar Silver","$ 619.99 / € 689.00 / £ 599.00","48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8µm, PDAF, OIS  16 MP, f/2.2, 14mm, 116° (ultrawide)  2 MP, f/2.4, (macro)","AnTuTu: 564708 (v8)  GeekBench: 13291 (v4.4), 3399 (v5.1)  GFXBench: 46fps (ES 3.1 onscreen)","Contrast ratio: Infinite (nominal)","Photo / Video","-22.5 LUFS (Excellent)","Endurance rating 108h",,,,,,,,
"OnePlus","7T Pro 5G McLaren","GSM / CDMA / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA 800 / 1900 & TD-SCDMA","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71","71 SA","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL)","2019, October","Available. Released 2019, December","162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in)","206 g (7.27 oz)","Glass front (Gorilla Glass 6), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED capacitive touchscreen, 16M colors","6.67 inches, 108.8 cm (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)","Corning Gorilla Glass 6","HDR10+  90Hz refresh rate","Android 10.0; OxygenOS 10.0","Qualcomm SM8150 Snapdragon 855+ (7 nm)","Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640 (700 MHz)","No","256GB 12GB RAM","UFS 3.0",,"Dual-LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm","Auto-HDR","1080p@30fps, gyro-EIS","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO","Yes","No","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4085 mAh battery","Fast charging 30W  Warp Charge","Papaya Orange","About 800 EUR","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS  8 MP, f/2.4, (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom  16 MP, f/2.2, 13mm (ultrawide), AF",,,,,,"HD1925",,,,,,,
"OnePlus","7T Pro","GSM / CDMA / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA 800 / 1900 & TD-SCDMA","HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 66",,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2019, October 10","Available. Released 2019, October 12","162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in)","206 g (7.27 oz)","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED capacitive touchscreen, 16M colors","6.67 inches, 108.8 cm (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)","Corning Gorilla Glass 5","HDR10+  90Hz refresh rate","Android 10.0; OxygenOS 10.0.4","Qualcomm SM8150 Snapdragon 855+ (7 nm)","Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640 (700 MHz)","No","256GB 8GB RAM, 256GB 12GB RAM","12GB RAM - McLaren Edition only  UFS 3.0",,"Dual-LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.0"", 1.0µm","Auto-HDR","1080p@30fps, gyro-EIS","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS","Yes","No","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4085 mAh battery","Fast charging 30W  Warp Charge","Haze Blue, McLaren Edition","$ 639.99 / € 793.02 / £ 695.99 / ₹ 53,990","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS  8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, Laser AF, OIS  16 MP, f/2.2, 17mm (ultrawide), AF","AnTuTu: 395868 (v7), 493901 (v8)  GeekBench: 11246 (v4.4), 2803 (v5.1)  GFXBench: 24fps (ES 3.1 onscreen)","Contrast ratio: Infinite (nominal)","Photo / Video","Voice 90dB / Noise 75dB / Ring 82dB","Endurance rating 100h","HD1911, HD1913, HD1910","Noise -93.7dB / Crosstalk -91.0dB",,,,,,
"OnePlus","7T","GSM / CDMA / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 29, 34, 38, 39, 40, 41 - CN, IN","HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 66 - EU",,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2019, September 26","Available. Released 2019, September 27","160.9 x 74.4 x 8.1 mm (6.33 x 2.93 x 0.32 in)","190 g (6.70 oz)","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED capacitive touchscreen, 16M colors","6.55 inches, 103.6 cm (~86.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Corning Gorilla Glass 5","HDR10+  90Hz refresh rate","Android 10.0; OxygenOS 10.0.7","Qualcomm SM8150 Snapdragon 855+ (7 nm)","Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640 (700 MHz)","No","128GB 8GB RAM, 256GB 8GB RAM","UFS 3.0",,"Dual-LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.0"", 1.0µm","Auto-HDR","1080p@30fps, gyro-EIS","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS","Yes","No","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3800 mAh battery","Fast charging 30W  Warp Charge 30T","Frosted Silver, Glacier Blue","$ 444.99 / € 528.90 / £ 516.00 / ₹ 34,900","48 MP, f/1.6, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS  12 MP, f/2.2, 51mm (telephoto), 1.0µm, PDAF, 2x optical zoom  16 MP, f/2.2, 17mm (ultrawide), AF","AnTuTu: 391545 (v7), 485585 (v8) GeekBench: 11394 (v4.4), 2858 (v5.1) GFXBench: 41fps (ES 3.1 onscreen)",,"Photo / Video","Voice 79dB / Noise 77dB / Ring 91dB","Endurance rating 90h","HD1901, HD1903, HD1900, HD1907, HD1905","Noise -94.0dB / Crosstalk -93.6dB",,,,,,
"OnePlus","7 Pro 5G","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 66","41 NSA/Sub6/mmWave","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps; 5G (2+ Gbps DL)","2019, May","Available. Released 2019, June","162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in)","206 g (7.27 oz)","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED capacitive touchscreen, 16M colors","6.67 inches, 109.2 cm (~88.5% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~515 ppi density)","Corning Gorilla Glass 5","HDR10+  90Hz refresh rate","Android 9.0 (Pie), upgradable to Android 10.0; OxygenOS 10.0.4","Qualcomm SM8150 Snapdragon 855 (7 nm)","Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640","No","128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","UFS 3.0",,"Dual-LED dual-tone flash, panorama, HDR","2160p@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.0"", 1.0µm","Auto-HDR","1080p@30fps, gyro-EIS","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS","Yes","No","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4000 mAh battery","Fast charging 30W  Warp Charge","Mirror Grey, Almond, Nebula Blue","About 800 EUR","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS  8 MP, f/2.4, 78mm (telephoto), 3x zoom, PDAF, Laser AF, OIS  16 MP, f/2.2, 13mm (ultrawide)",,,,,,,,,,,,,
"OnePlus","7 Pro","GSM / CDMA / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 41, 46, 48, 66, 71 - North America","HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 66 - Global",,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2019, May 14","Available. Released 2019, May 16","162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in)","206 g (7.27 oz)","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Fluid AMOLED capacitive touchscreen, 16M colors","6.67 inches, 108.8 cm (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)","Corning Gorilla Glass 5","HDR10+  90Hz refresh rate","Android 9.0 (Pie); OxygenOS 10.0.5","Qualcomm SM8150 Snapdragon 855 (7 nm)","Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640","No","128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","UFS 3.0",,"Dual-LED flash, panorama, HDR","2160p@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.0"", 1.0µm","Auto-HDR","1080p@30fps, gyro-EIS","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS","Yes","No","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4000 mAh battery","Fast charging 30W  Warp Charge","Mirror Grey, Almond, Nebula Blue","$ 539.99 / £ 579.00 / ₹ 42,995","48 MP, f/1.6, (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS  8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, Laser AF, OIS  16 MP, f/2.2, 17mm (ultrawide), AF","AnTuTu: 364025 (v7)  GeekBench: 10943 (v4.4), 2721 (v5.1)  GFXBench: 19fps (ES 3.1 onscreen)",,"Photo / Video","-23.9 LUFS (Very good)","Endurance rating 85h","GM1911, GM1913, GM1917, GM1910, GM1915","Noise -93.0dB / Crosstalk -89.6dB",,,,,,
"OnePlus","7","GSM / CDMA / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA 800 / 1900 & TD-SCDMA","HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 29, 32, 34, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1024/150 Mbps","2019, May 14","Available. Released 2019, June 04","157.7 x 74.8 x 8.2 mm (6.21 x 2.94 x 0.32 in)","182 g (6.42 oz)","Glass front (Gorilla Glass 6), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Optic AMOLED capacitive touchscreen, 16M colors","6.41 inches, 100.9 cm (~85.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)","Corning Gorilla Glass 6","HDR10","Android 9.0 (Pie), upgradable to Android 10.0; OxygenOS 10.0.5","Qualcomm SM8150 Snapdragon 855 (7 nm)","Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640","No","128GB 6GB RAM, 256GB 8GB RAM","UFS 3.0",,"Dual-LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm","Auto-HDR","1080p@30fps, gyro-EIS","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, SBAS","Yes","No","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3700 mAh battery","Fast charging 20W","Mirror Gray, Red, Mirror Blue","$ 452.00 / € 608.99 / £ 479.00 / ₹ 30,999",,"AnTuTu: 367812 (v7)  GeekBench: 11075 (v4.4)  GFXBench: 36fps (ES 3.1 onscreen)","Contrast ratio: Infinite (nominal)","Photo / Video","Voice 68dB / Noise 73dB / Ring 82dB","Endurance rating 102h","GM1901, GM1900, GM1905",,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS  5 MP, f/2.4, (depth)",,,,,
"OnePlus","6T McLaren","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100","1, 2, 3, 4, 5, 7, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 46, 66, 71",,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1024/150 Mbps","2018, December","Available. Released 2018, December","157.5 x 74.8 x 8.2 mm (6.20 x 2.94 x 0.32 in)","185 g (6.53 oz)","Glass front (Gorilla Glass 6), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Optic AMOLED capacitive touchscreen, 16M colors","6.41 inches, 100.9 cm (~85.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)","Corning Gorilla Glass 6",,"Android 9.0 (Pie); OxygenOS 9.0.16","Qualcomm SDM845 Snapdragon 845 (10 nm)","Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)","Adreno 630","No","256GB 10GB RAM","UFS 2.1",,"Dual-LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm","Auto-HDR, gyro-EIS","1080p@30fps","Yes","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO","Yes","No","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3700 mAh battery","Fast charging 30W, 50% in 20 min (advertised)  Warp Charge 30","Speed Orange","About 700 EUR",,"AnTuTu: 292716 (v7) GeekBench: 9005 (v4.4)",,,,,,,"16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS  20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","Dirac HD sound",,,,
"OnePlus","6T","GSM / CDMA / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","1, 2, 3, 4, 5, 7, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 34, 38, 39, 40, 41, 66 - India, China","HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100","1, 2, 3, 4, 5, 7, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 46, 66, 71 - Europe, North America",,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat16 1024/150 Mbps","2018, October 29","Available. Released 2018, November 01","157.5 x 74.8 x 8.2 mm (6.20 x 2.94 x 0.32 in)","185 g (6.53 oz)","Glass front (Gorilla Glass 6), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)",,"Optic AMOLED capacitive touchscreen, 16M colors","6.41 inches, 100.9 cm (~85.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)","Corning Gorilla Glass 6",,"Android 9.0 (Pie), upgradable to Android 10.0; OxygenOS 10.3.1","Qualcomm SDM845 Snapdragon 845 (10 nm)","Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)","Adreno 630","No","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","UFS 2.1",,"Dual-LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm","Auto-HDR, gyro-EIS","1080p@30fps","Yes","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, aptX HD, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO","Yes","No","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3700 mAh battery","Fast charging 20W","Thunder Purple, Mirror Black, Midnight Black","$ 299.00 / € 479.00 / £ 339.00 / ₹ 31,999",,"AnTuTu: 293994 (v7)  GeekBench: 8977 (v4.4)  GFXBench: 31fps (ES 3.1 onscreen)","Contrast ratio: Infinite (nominal), 4.138 (sunlight)","Photo / Video","Voice 67dB / Noise 72dB / Ring 84dB","Endurance rating 90h","A6010, A6013","Noise -93.4dB / Crosstalk -93.8dB","16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS  20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","Dirac HD sound",,,,
