"oem","model","network_technology","network_2g_bands","network_3g_bands","network_4g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_build","body_sim","display_type","display_size","display_resolution","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_single","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_radio","comms_usb","features_sensors","battery_�","misc_colors","misc_models","misc_sar","misc_price","network_�","network_5g_bands","display_protection","main_camera_quad","selfie_camera_features","comms_nfc","features_�","battery_charging","main_camera_triple","body_�","sound_�","misc_sar_eu","display_�","selfie_camera_dual","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","main_camera_dual","tests_audio_quality","camera_�","network_gprs","network_edge","main_camera_�","selfie_camera_triple","battery_stand-by","battery_talk_time","battery_music_play","comms_infrared_port","selfie_camera_�","memory_phonebook","memory_call_records","features_messaging","features_games","features_java","body_keyboard","features_browser","sound_alert_types","features_clock","features_alarm","features_languages"
"Samsung","Galaxy J2 Core (2020)","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 2100","1, 3, 5, 8, 40, 41","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, April 27","Available. Released 2020, April 27","143.4 x 72.1 x 8.9 mm (5.65 x 2.84 x 0.35 in)","154 g (5.43 oz)","Glass front, plastic back, plastic frame","Dual SIM (Micro-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)","Android 8.1 Oreo (Go edition)","Exynos 7570 Quad (14 nm)","Quad-core 1.4 GHz Cortex-A53","Mali-T720","microSDXC (dedicated slot)","16GB 1GB RAM","eMMC 5.0","8 MP, f/2.2, AF","LED flash, HDR, panorama","1080p@30fps","5 MP, f/2.2",,"Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP","Yes, with A-GPS, GLONASS, BDS","FM radio","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Removable Li-Ion 2600 mAh battery","Black, Gold, Blue","SM-J260GU, SM-J260GU/DS","0.99 W/kg (head)   �","About 80 EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy A71 5G","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 38, 40, 41, 66","HSPA, LTE-A; 5G","2020, April 8","Coming soon. Exp. release 2020, May","162.5 x 75.5 x 8.1 mm (6.40 x 2.97 x 0.32 in)","185 g (6.53 oz)","Glass front (Gorilla Glass 3), plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED Plus capacitive touchscreen, 16M colors","6.7 inches, 108.4 cm (~88.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 10.0; One UI 2","Exynos 980 (8 nm)","Octa-core (2x2.2 GHz Cortex-A77 & 6x1.8 GHz Cortex A55)","Mali-G76 MP5","microSDXC (dedicated slot)","128GB 6GB RAM, 128GB 8GB RAM","UFS 2.1",,"LED flash, panorama, HDR","2160p@30fps, 1080p@30/240fps, 1080p@960fps; gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","FM radio","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4500 mAh battery","Prism Cube Black, Prism Cube Sliver, Prism Cube Blue","SM-A716F, SM-A716F/DS, SM-A716F/DSN, SM-A7160",,,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","SA/NSA","Corning Gorilla Glass 3","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF  12 MP, f/2.2, 12mm (ultrawide)  5 MP, f/2.4, 25mm (macro), 1/5.0"", 1.12µm  5 MP, f/2.2, (depth)","HDR","Yes (market dependent)","ANT+","Fast charging 25W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy A51 5G","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE-A, 5G","2020, April 8","Coming soon. Exp. release 2020, May","158.9 x 73.6 x 8.7 mm (6.26 x 2.90 x 0.34 in)","187 g (6.60 oz)","Glass front (Gorilla Glass 3), plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Android 10.0; One UI 2","Exynos 980 (8 nm)","Octa-core (2x2.2 GHz Cortex-A77 & 6x1.8 GHz Cortex A55)","Mali-G76 MP5","microSDXC (dedicated slot)","128GB 6GB RAM, 128GB 8GB RAM","UFS 2.0",,"LED flash, panorama, HDR","2160p@30fps, 1080p@30/120fps; gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","FM radio","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4500 mAh battery","Prism Cube Black, Prism Cube White, Prism Cube Pink","SM-A516F, SM-A516F/DSN",,,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","SA/NSA","Corning Gorilla Glass 3","48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF  12 MP, f/2.2, 12mm (ultrawide)  5 MP, f/2.4, 25mm (macro), 1/5.0"", 1.12µm  5 MP, f/2.2, (depth)","HDR","Yes","ANT+","Fast charging 15W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy A21","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only)","HSDPA 850 / 900 / 1900 / 2100","LTE","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, April 8","Coming soon. Exp. release 2020, May","-","-","Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 10.0; One UI 2.0",,,,"microSDXC (dedicated slot)","32GB 3GB RAM","eMMC 5.1",,"LED flash, panorama, HDR","1080p@30fps","13 MP, (wide)","1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM radio","Yes","Fingerprint (rear-mounted), accelerometer, proximity, compass","Non-removable Li-Po 4000 mAh battery","Black",,,"About 230 EUR","HSDPA 850 / 1700(AWS) / 1900 / 2100",,,"16 MP, (wide), AF  8 MP, (ultrawide)  2 MP, (macro)  2 MP, (depth)",,"Yes (market/region dependent)",,"Fast charging 15W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy M11","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1900 / 2100","1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A","2020, March 30","Coming soon. Exp. release 2020, May","161.4 x 76.3 x 9 mm (6.35 x 3.00 x 0.35 in)","197 g (6.95 oz)","Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","PLS TFT capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm (~81.6% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)","Android 10.0; One UI 2.0","Qualcomm SDM450 Snapdragon 450 (14 nm)","Octa-core 1.8 GHz Cortex-A53","Adreno 506","microSDXC (dedicated slot)","32GB 3GB RAM, 64GB 4GB RAM","eMMC 5.1",,"LED flash, panorama, HDR","1080p@30fps","8 MP, f/2.0, (wide)","1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP","Yes, with A-GPS, GLONASS, GALILEO, BDS","FM radio","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity","Non-removable Li-Ion 5000 mAh battery","Black, Metallic Blue, Violet","SM-M115F, SM-M115F/DSN",,,,,,,"HDR",,,"Fast charging 15W","13 MP, f/1.8, 27mm (wide), 1/3.1"", 1.12µm, PDAF  5 MP, f/2.2, 14mm (ultrawide)  2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy Tab S6 Lite","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 900 / 1700(AWS) / 1800 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 66","HSPA 42.2/5.76 Mbps, LTE-A","2020, April 2","Coming soon. Exp. release 2020, May","244.5 x 154.3 x 7 mm (9.63 x 6.07 x 0.28 in)","467 g (1.03 lb)","Glass front, aluminum back, aluminum frame","Nano-SIM","TFT capacitive touchscreen, 16M colors","10.4 inches, 307.9 cm (~81.6% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Android 10.0; One UI 2","Exynos 9611 (10nm)","Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)","Mali-G72 MP3","microSDXC (dedicated slot)","64GB 4GB RAM, 128GB 4GB RAM",,"8 MP, (wide), 1/4"", 1.12µm","HDR, panorama","1080p@30fps","5 MP","1080p@30fps","Yes, with stereo speakers","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO","No","3.1, Type-C 1.0 reversible connector","Accelerometer, proximity, gyro","Non-removable Li-Po 7040 mAh battery","Chiffon Pink, Angora Blue, Oxford Gray","SM-P610N, SM-P615","1.45 W/kg (body)   �","About 380 EUR",,,,,,,"ANT+","Fast charging 15W",,"Stylus support","Tuned by AKG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy A31","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 1900 / 2100","1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE-A","2020, March 24","Available. Released 2020, April 27","159.3 x 73.1 x 8.6 mm (6.27 x 2.88 x 0.34 in)","185 g (6.53 oz)",,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 98.9 cm (~84.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)","Android 10.0; One UI 2.0",,"Octa-core (2x2.0 GHz & 6x1.7 GHz)",,"microSDXC (dedicated slot)","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",,,"LED flash, panorama, HDR","1080p@30fps","20 MP, f/2.2, (wide)","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 5000 mAh battery","Prism Crush Black, Prism Crush Blue, Prism Crush Red, Prism Crush White","SM-A315F, SM-A315F/DS",,"$ 234.99",,,,"48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.4, (macro)  5 MP, f/2.4, (depth)",,"Yes (market/region dependent)",,"Fast charging 15W",,,,"0.49 W/kg (head)     1.68 W/kg (body)   �",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy M21","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 7, 8, 20, 38, 40, 41","HSPA, LTE-A","2020, March 18","Available. Released 2020, March 23","159 x 75.1 x 8.9 mm (6.26 x 2.96 x 0.35 in)","188 g (6.63 oz)","Glass front (Gorilla Glass 3), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm (~84.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10.0; One UI 2","Exynos 9611 (10nm)","Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)","Mali-G72 MP3","microSDXC (dedicated slot)","64GB 4GB RAM, 128GB 6GB RAM","UFS 2.1",,"LED flash, panorama, HDR","2160p@30fps, 1080p@30fps, gyro-EIS","20 MP, f/2.0, 26mm (wide)","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM radio, RDS, recording","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 6000 mAh battery","Midnight Blue, Raven Black",,"0.47 W/kg (head)   �","About 160 EUR",,,"Corning Gorilla Glass 3",,"HDR",,,"Fast charging 15W","48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.2, (depth)",,,,"420 nits max brightness (advertised)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy A11","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only)","HSDPA 850 / 900 / 1900 / 2100","LTE (unspecified)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March 13","Coming soon. Exp. release 2020, May","161.4 x 76.3 x 8 mm (6.35 x 3.00 x 0.31 in)","177 g (6.24 oz)","Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm (~81.6% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)","Android 10.0",,"Octa-core 1.8 GHz",,"microSDXC (dedicated slot)","32GB 2GB RAM, 32GB 3GB RAM","eMMC 5.1",,"LED flash, panorama, HDR","1080p@30fps","8 MP, f/2.0","1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","Yes","Yes, with A-GPS",,"microUSB 2.0","Fingerprint (rear-mounted), accelerometer, proximity","Non-removable Li-Po 4000 mAh battery","Black, White, Blue, Red",,,"About 160 EUR",,,,,,,,"Fast charging 15W","13 MP, f/1.8, 28mm (wide), AF  5 MP, f/2.2 (ultrawide)  2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung","Galaxy M31","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE-A","2020, February 25","Available. Released 2020, March 05","159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in)","191 g (6.74 oz)","Glass front (Gorilla Glass 3), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10.0; One UI 2.0","Exynos 9611 (10nm)","Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)","Mali-G72 MP3","microSDXC (dedicated slot)","64GB 6GB RAM, 128GB 6GB RAM","UFS 2.1",,"LED flash, panorama, HDR","2160p@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","2160p@30fps, 1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS","FM radio, RDS, recording","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 6000 mAh battery","Ocean Blue, Space Black, Red","SM-M315F, SM-M315F/DS, SM-M315F/DSN","0.52 W/kg (head)     0.69 W/kg (body)   �","$ 278.89 / £ 209.90",,,"Corning Gorilla Glass 3",,"HDR","Yes (market/region dependent): SM-M315F/DSN",,"Fast charging 15W","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF  8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.4, 25mm (macro), 1/5.0"", 1.12µm  5 MP, f/2.2, (depth)",,,"0.48 W/kg (head)     1.13 W/kg (body)   �",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
