"oem","model","network_technology","network_2g_bands","network_�","network_3g_bands","network_4g_bands","network_5g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","display_protection","display_�","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_quad","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","sound_�","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_infrared_port","comms_radio","comms_usb","features_sensors","battery_�","battery_charging","misc_colors","misc_models","misc_price","body_build","body_�","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","main_camera_triple","main_camera_dual","selfie_camera_dual","misc_sar","tests_audio_quality","misc_sar_eu","main_camera_five","network_gprs","network_edge","camera_�","battery_stand-by","main_camera_single","selfie_camera_triple","battery_talk_time","battery_music_play"
"Xiaomi","Mi 10 Youth 5G","GSM / CDMA / HSPA / EVDO / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA2000 1xEV-DO","HSDPA 850 / 900 / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41","1, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G (2+ Gbps DL)","2020, April 27","Coming soon. Exp. release 2020, May 4","164 x 74.8 x 7.9 mm (6.46 x 2.94 x 0.31 in)","192 g (6.77 oz)","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~85.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Corning Gorilla Glass 5","HDR10+  600 nits max. brightness (advertised)","Android 10.0; MIUI 11","Qualcomm SDM765 Snapdragon 765G (7 nm)","Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)","Adreno 620","No","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","UFS 2.1","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF  Periscope 8 MP, f/3.4, 122mm (telephoto), PDAF, OIS, 5x optical zoom  8 MP, f/2.2, 15mm, 120° (ultrawide), 1/4.0"", 1.12µm  2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","2160p@30fps, 1080p@30/60/120fps, 720p@960fps; gyro-EIS","16 MP, (wide)","HDR","1080p@30fps","Yes","Yes","24-bit/192kHz audio","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Yes","Yes","No","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4160 mAh battery","Fast charging 22.5W  USB Power Delivery 3.0  Quick Charge 4+","Blue, White, Black, Green, Orange/Peach","M2002J9E","About 270 EUR",,,,,,,,,,,,,,,,,,,,,,
"Xiaomi","Mi 10 Lite 5G","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","LTE (unspecified)","SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, March 27","Coming soon. Exp. release 2020, May","-","-","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.57 inches, 106.0 cm","1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)",,,"Android 10.0; MIUI 11","Qualcomm SDM765 Snapdragon 765G (7 nm)","Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)","Adreno 620","microSDXC","128GB 6GB RAM, 128GB 8GB RAM","UFS 2.1","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.4, (macro), 1.12µm  2 MP, f/2.4, (depth)","Dual-LED flash, HDR, panorama","2160p@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","16 MP, f/2.5, (wide), 1.0µm","HDR, panorama","1080p@30fps","Yes","Yes",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,,,"2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4160 mAh battery","Fast charging 20W","Black, Blue, White",,"About 350 EUR",,,,,,,,,,,,,,,,,,,,,,
"Xiaomi","Redmi K30 Pro Zoom","GSM / CDMA / HSPA / EVDO / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA2000 1xEV-DO","HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 7, 8, 34, 38, 39, 40, 41","1, 3, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A; 5G","2020, March 24","Available. Released 2020, April 4","163.3 x 75.4 x 8.9 mm (6.43 x 2.97 x 0.35 in)","218 g (7.69 oz)","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Corning Gorilla Glass 5","HDR10+  500 nits typ. brightness (advertised)","Android 10.0; MIUI 11","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)","Adreno 650","No","128GB 8GB RAM, 256GB 8GB RAM, 512GB 12GB RAM","UFS 3.1","64 MP, 26mm (wide), 1/1.72"", 0.8µm, PDAF, OIS  8 MP, (telephoto), PDAF, OIS, 3x optical zoom  13 MP, 13mm (ultrawide)  2 MP, (depth)","Dual-LED dual-tone flash, HDR, panorama","4320p@24/30fps, 2160p@30/60fps, 1080p@30/60/120/240fps, 1080p@960fps; gyro-EIS","Motorized pop-up 20 MP, (wide), 1/3.4"", 0.8µm","HDR","1080p@30fps","Yes","Yes","24-bit/192kHz audio","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Yes","Yes",,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Non-removable Li-Po 4700 mAh battery","Fast charging 33W, 100% in 63 min (advertised)  USB Power Delivery  Quick Charge 4+","Grey, Purple, White, Blue",,"$ 699.99","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",,,,,,,,,,,,,,,,,,,,,
"Xiaomi","Redmi K30 Pro","GSM / CDMA / HSPA / EVDO / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA2000 1xEV-DO","HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 7, 8, 34, 38, 39, 40, 41","1, 3, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A; 5G","2020, March 24","Available. Released 2020, March 27","163.3 x 75.4 x 8.9 mm (6.43 x 2.97 x 0.35 in)","218 g (7.69 oz)","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Corning Gorilla Glass 5","HDR10+  500 nits typ. brightness (advertised)","Android 10.0; MIUI 11","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)","Adreno 650","No","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","UFS 3.0 - 128GB 6GB RAM  UFS 3.1 - all others","64 MP, 26mm (wide), 1/1.72"", 0.8µm, PDAF  5 MP, 50mm (telephoto macro), AF  13 MP, 13mm (ultrawide)  2 MP, (depth)","Dual-LED dual-tone flash, HDR, panorama","4320p@24/30fps, 2160p@30/60fps, 1080p@30/60/120/240fps, 1080p@960fps; gyro-EIS","Motorized pop-up 20 MP, (wide), 1/3.4"", 0.8µm","HDR","1080p@30fps","Yes","Yes","24-bit/192kHz audio","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Yes","Yes",,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Non-removable Li-Po 4700 mAh battery","Fast charging 33W, 100% in 63 min (advertised)  USB Power Delivery  Quick Charge 4+","Grey, Purple, White, Blue",,"$ 549.99","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",,,,,,,,,,,,,,,,,,,,,
"Xiaomi","Redmi Note 9S","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, March 23","Available. Released 2020, April 7","165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in)","209 g (7.37 oz)","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Corning Gorilla Glass 5","450 nits typ. brightness (advertised)","Android 10.0; MIUI 11","Qualcomm SM7125 Snapdragon 720G (8 nm)","Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver)","Adreno 618","microSDXC (dedicated slot)","64GB 4GB RAM, 128GB 6GB RAM","UFS 2.1","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.4, (macro), 1.12µm  2 MP, f/2.4, (depth)","LED flash, HDR, panorama","2160p@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","16 MP, f/2.5, (wide), 1.0µm","HDR, panorama","1080p@30fps","Yes","Yes",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,"Yes","FM radio, recording","2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 5020 mAh battery","Fast charging 18W","Aurora Blue, Glacier White, Interstellar Gray",,"$ 208.83 / € 223.96 / £ 189.99","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame","Splash-proof","AnTuTu: 254000 (v8)  GeekBench: 1785 (v5.1)  GFXBench: 26fps (ES 3.1 onscreen)","Contrast ratio: 1389:1 (nominal)","Photo / Video","-27.8 LUFS (Good)","Endurance rating 127h",,,,,,,,,,,,,,,
"Xiaomi","Redmi Note 9 Pro Max","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 8, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, March 12","Coming soon. Exp. release 2020, May","165.5 x 76.7 x 8.8 mm (6.52 x 3.02 x 0.35 in)","209 g (7.37 oz)","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Corning Gorilla Glass 5","450 nits typ. brightness (advertised)","Android 10.0; MIUI 11","Qualcomm SM7125 Snapdragon 720G (8 nm)","Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver)","Adreno 618","microSDXC (dedicated slot)","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","UFS 2.1","64 MP, f/1.9, (wide), 1/1.72"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.4, (macro), 1.12µm  2 MP, f/2.4, (depth)","LED flash, HDR, panorama","2160p@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","32 MP, (wide), 1/2.8"", 0.8µm","HDR, panorama","1080p@30fps","Yes","Yes",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, NavIC",,"Yes","FM radio, recording","2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 5020 mAh battery","Fast charging 33W, 50% in 30 min (advertised)","Aurora Blue, Glacier White, Interstellar Black",,"About 180 EUR","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame","Splash-proof",,,,,,,,,,,,,,,,,,,,
"Xiaomi","Redmi Note 9 Pro","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2",,"HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 8, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, March 12","Available. Released 2020, March 17","165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in)","209 g (7.37 oz)","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Corning Gorilla Glass 5","450 nits typ. brightness (advertised)","Android 10.0; MIUI 11","Qualcomm SM7125 Snapdragon 720G (8 nm)","Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver)","Adreno 618","microSDXC (dedicated slot)","64GB 4GB RAM, 128GB 6GB RAM","UFS 2.1","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.4, (macro), 1.12µm  2 MP, f/2.4, (depth)","LED flash, HDR, panorama","2160p@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","16 MP, f/2.5, (wide), 1.0µm","HDR, panorama","1080p@30fps","Yes","Yes",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS, NavIC",,"Yes","FM radio, recording","2.0, Type-C 1.0 reversible connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 5020 mAh battery","Fast charging 18W","Aurora Blue, Glacier White, Interstellar Black",,"£ 209.90 / ₹ 14,989","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame","Splash-proof",,,,,,,,,,,,,,,,,,,,
"Xiaomi","Black Shark 3 Pro","GSM / CDMA / HSPA / EVDO / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA2000 1xEV-DO","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41","41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A; 5G","2020, March 3","Available. Released 2020, March 17","177.8 x 83.3 x 10.1 mm (7.00 x 3.28 x 0.40 in)","253 g (8.92 oz)","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","7.1 inches, 123.7 cm (~83.6% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~484 ppi density)",,"Always-on display  90Hz refresh rate  500 nits typ. brightness (advertised)  HDR10+","Android 10.0","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)","Adreno 650","No","256GB 8GB RAM, 512GB 12GB RAM","UFS 3.0",,"LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 720p@1920fps","20 MP, f/2.2, (wide), 1/3"", 0.9µm","HDR","1080p@30fps","Yes, with stereo speakers","Yes",,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD, aptX Adaptive","Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",,,"No","2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 5000 mAh battery","Fast charging 65W, 100% in 38 min (advertised)  Magnetic charging 18W","Phantom Black, Armor Gray",,"$ 789.99","Glass front, aluminum back, aluminum frame","Physical pop-up gaming triggers",,,,,,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF  13 MP, f/2.3, (ultrawide)  5 MP, f/2.2, (depth)",,,,,,,,,,,,,,
"Xiaomi","Black Shark 3","GSM / CDMA / HSPA / EVDO / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","CDMA2000 1xEV-DO","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41","41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A; 5G","2020, March 3","Available. Released 2020, March 6","168.7 x 77.3 x 10.4 mm (6.64 x 3.04 x 0.41 in)","222 g (7.83 oz)","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm (~82.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Always-on display  90Hz refresh rate  500 nits typ. brightness (advertised)  HDR10+","Android 10.0","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)","Adreno 650","No","128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM","UFS 3.0",,"LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps, 720p@1920fps","20 MP, f/2.2, (wide), 1/3"", 0.9µm","HDR","1080p@30fps","Yes, with stereo speakers","Yes",,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD, aptX Adaptive","Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",,,"No","2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4720 mAh battery","Fast charging 65W, 100% in 38 min (advertised)  Fast charging 30W (128/8 model)  Magnetic charging 18W","Lightning Black, Armor Gray, Star Silver",,"$ 539.99","Glass front, aluminum back, aluminum frame",,,,,,,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF  13 MP, f/2.3, (ultrawide)  5 MP, f/2.2, (depth)",,,,,,,,,,,,,,
"Xiaomi","Mi 10 Pro 5G","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","1, 3, 41, 78, 79 SA/NSA - China","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 20, 28, 32, 38, 40 - Global","1, 3, 7, 28, 77, 78 Sub6 - Global","HSPA 42.2/5.76 Mbps, LTE-A, 5G (2+ Gbps DL)","2020, February 13","Available. Released 2020, February 18","162.5 x 74.8 x 9 mm (6.40 x 2.94 x 0.35 in)","208 g (7.34 oz)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.67 inches, 109.2 cm (~89.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~386 ppi density)","Corning Gorilla Glass 5","HDR10+  90Hz refresh rate  500 nits typ. brightness (advertised)","Android 10.0; MIUI 11","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)","Adreno 650","No","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","UFS 3.0","108 MP, f/1.7, (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS  12 MP, f/2.0, 50mm (telephoto), 1/2.55"", 1.4µm, Dual Pixel PDAF, 2x optical zoom  5 MP (upscaled to 8MP), f/2.0, (telephoto), 1.0µm, PDAF, OIS, 5x optical zoom  20 MP, f/2.2, 13mm (ultrawide), 1/2.8"", 1.0µm","Triple-LED dual-tone flash, HDR, panorama","4320p@30fps, 2160p@30/60fps, 1080p@30/60/120/240/960fps; gyro-EIS","20 MP, f/2.0, (wide), 1/3"", 0.9µm","HDR","1080p@30fps, 720p@120fps","Yes, with stereo speakers","No","24-bit/192kHz audio","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, LE, aptX HD, aptX Adaptive","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Yes","Yes","No","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Non-removable Li-Po 4500 mAh battery","Fast charging 50W  Power Delivery 3.0  Fast wireless charging 30W  Power bank/Reverse wireless charging 5W","Alpine White, Solstice Grey",,"$ 949.99","Glass front (Gorilla Glass 5), glass back, aluminum frame",,"AnTuTu: 595246 (v8)  GeekBench: 3331 (v5.1)  GFXBench: 42fps (ES 3.1 onscreen)","Contrast ratio: Infinite (nominal)","Photo / Video","-25.2 LUFS (Very good)","Endurance rating 101h",,,,,,,,,,,,,,,
