brand,phone_name,phone_image,average_rating,battery_rating,camera_rating,connectivity_rating,design_rating,performance_rating,user_rating,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,platform_os,platform_cpu,memory_card_slot,memory_internal,main_camera_single,main_camera_video,sound_loudspeaker,sound_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,battery,battery_talk_time,misc_colors,misc_price,network_3g_bands,network_speed,battery_stand-by
Huawei,Huawei P30,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221897_devicerender_small.jpeg,8,6.3,8.5,8.8,8.3,8.2,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2019, March","Available. Released 2019, March",149.1 x 71.4 x 7.6 mm (5.87 x 2.81 x 0.30 in),165 g (5.82 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm (~85.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)",Android 9.0 (Pie); EMUI 9.1,Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),"NM (Nano Memory), up to 256GB (uses shared SIM slot)","64/128/256 GB, 8 GB RAM or 128 GB, 6 GB RAM",-,"2160p@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, aptX HD, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"3.1, Type-C 1.0 reversible connector","Fingerprint (under display), accelerometer, gyro, proximity, compass, color spectrum",Non-removable Li-Po 3650 mAh battery,-,"Aurora, Amber Sunrise, Breathing Crystal, Black, Pearl White",680,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps",-
Huawei,Huawei Ascend P6 S,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1154_phone_front_medium.jpeg,3.2,2.1,2.9,3.4,5,2.7,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 10,Class 10,"2014, January","Available. Released 2014, January",132.6 x 65.5 x 6.5 mm (5.22 x 2.58 x 0.26 in),120 g (4.23 oz),"Dual SIM, (Micro-SIM, dual stand-by)","IPS+ LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~70.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat); EMUI 2",Quad-core 1.6 GHz,No,"16 GB, 2 GB RAM","8 MP, AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB Host","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 2000 mAh battery,Up to 17 h (2G) / Up to 12 h (3G),"Black, White",300,HSDPA 850 / 900 / 1700 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Up to 216 h
Huawei,Huawei Ascend D2,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1008_phone_front_medium.jpeg,3.6,4.1,4.3,2.9,4,2.5,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, January. Released 2013, March",Discontinued,140 x 71 x 9.4 mm (5.51 x 2.80 x 0.37 in),170 g (6.00 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Android 4.1 (Jelly Bean),Quad-core 1.5 GHz Cortex-A9,No,"32 GB, 2 GB RAM","13 MP, AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 3000 mAh battery,-,"Crystal Blue, Pure White",310,HSDPA 850 / 900 / 2100,HSPA 42.2/5.76 Mbps,Up to 144 h
Huawei,Huawei Ascend G510,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1095_phone_front_medium.jpeg,2.1,2,2,3.2,1.8,1.7,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2013, January. Released 2013, April",Discontinued,134 x 67 x 9.9 mm (5.28 x 2.64 x 0.39 in),150 g (5.29 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~62.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 4.1 (Jelly Bean),Dual-core 1.2 GHz Cortex-A5,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM","5 MP, AF",720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","2.1, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1700 mAh battery,Up to 5 h 50 min (2G) / Up to 5 h 20 min (3G),"Black, White",100,HSDPA 900 / 2100,HSPA 7.2/5.76 Mbps,Up to 320 h (2G) / Up to 340 h (3G)
Huawei,Huawei Ascend Mate,//cdn-files.kimovil.com/phone_front/0001/01/thumb_902_phone_front_medium.jpeg,3.3,6.5,2.3,3.4,2.5,2,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2013, January. Released 2013, March",Discontinued,163.5 x 85.7 x 9.9 mm (6.44 x 3.37 x 0.39 in),198 g (6.98 oz),Micro-SIM,"IPS+ LCD capacitive touchscreen, 16M colors","6.1 inches, 102.6 cm (~73.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~241 ppi density)","Android 4.1 (Jelly Bean), upgradable to 4.2.2 (Jelly Bean); EMUI 1.5",Quad-core 1.5 GHz Cortex-A9,"Yes, up to 64 GB (dedicated slot)","8 GB, 2 GB RAM","8 MP, AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",Stereo FM radio,"microUSB 2.0, USB Host","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4050 mAh battery,Up to 50 h (2G) / Up to 23 h (3G),"Crystal Black, Pure White",230,HSDPA 850 / 900 / 1700 / 1900 / 2100,HSPA 42.2/5.76 Mbps,Up to 1100 h (2G) / Up to 1072 h (3G)
Huawei,Huawei Ascend G615,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1076_phone_front_medium.jpeg,2.5,2.3,3,3,2,2,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Class 10,Class 10,"2013, January. Released 2013, March",Discontinued,134 x 67.5 x 10.5 mm (5.28 x 2.66 x 0.41 in),145 g (5.11 oz),Mini-SIM,"Super IPS+ LCD capacitive touchscreen, 16M colors","4.5 inches, 54.5 cm (~60.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~330 ppi density)","Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)",Quad-core 1.4 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","3.0, A2DP","Yes, with A-GPS, GLONASS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Po 2150 mAh battery,Up to 11 h,"Metallic black, Ceramic white",250,HSDPA 850 / 900 / 1700 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Up to 360 h
Huawei,Huawei Ascend P1 LTE,//cdn-files.kimovil.com/phone_front/0001/01/thumb_912_phone_front_medium.jpeg,2.6,1.9,3,3.7,2.3,1.9,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2012, October. Released 2012, October",Discontinued,132.5 x 65.4 x 9.9 mm (5.22 x 2.57 x 0.39 in),135 g (4.76 oz),Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm (~58.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Android 4.0 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM","8 MP, AF",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot, DLNA","3.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0 (MHL TV-out),"Accelerometer, gyro, proximity, compass",Removable Li-Po 2000 mAh battery,-,"Metallic black, Ceramic white, Soft pink",150,HSDPA 850 / 900 / 1700 / 1900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps",-
Huawei,Huawei Ascend P2,//cdn-files.kimovil.com/phone_front/0001/01/thumb_837_phone_front_medium.jpeg,3,2.9,3,3.2,4,2.1,0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, February. Released 2013, April",Discontinued,136.2 x 66.7 x 8.4 mm (5.36 x 2.63 x 0.33 in),122 g (4.30 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~67.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Android 4.1.2 (Jelly Bean); EMUI 1.6,Quad-core 1.5 GHz Cortex-A9,No,"16 GB, 1 GB RAM","13 MP, AF","1080p@30fps, HDR",Yes,Yes,"Wi-Fi 802.11 b/g/n, dual band, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 2420 mAh battery,-,"Black, White",210,HSDPA 900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Up to 310 h (3G)
Huawei,Huawei Ascend Y300,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1053_phone_front_medium.jpeg,2.1,2.2,2,2.6,1.8,1.7,0,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, March. Released 2013, March",Discontinued,124.5 x 63.8 x 11.2 mm (4.90 x 2.51 x 0.44 in),130 g (4.59 oz),Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~57.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.1 (Jelly Bean),Dual-core 1.0 GHz Cortex-A5,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM","5 MP, AF",480p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","2.1, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1730 mAh battery,Up to 5 h (2G) / Up to 5 h (3G),"Black, White",90,HSDPA 900 / 2100 - Y300-0100 model,HSPA 7.2/5.76 Mbps,Up to 320 h (2G) / Up to 320 h (3G)
Huawei,Huawei Ascend P6,//cdn-files.kimovil.com/phone_front/0001/01/thumb_820_phone_front_medium.jpeg,3.4,2,4.7,3.2,4.5,2.6,0,GSM / HSPA / EVDO,GSM 850 / 900 / 1800 / 1900 - international version,Class 10,Class 10,"2013, June. Released 2013, June",Discontinued,132.7 x 65.5 x 6.2 mm (5.22 x 2.58 x 0.24 in),120 g (4.23 oz),"Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)","IPS+ LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~70.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat); EMUI 1.6",Quad-core 1.5 GHz Cortex-A9,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only","8/16 GB, 2 GB RAM","8 MP, AF, f/2.0",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB Host","Accelerometer, gyro, proximity, compass, temperature",Non-removable Li-Po 2000 mAh battery,Up to 28 h (2G) / Up to 14 h 30 min (3G),"Black, White, Pink",230,HSDPA 850 / 900 / 1700 / 1900 / 2100 - international version,"HSPA 21.1/5.76 Mbps, EV-DO Rev. A 3.1 Mbps (version for China)",Up to 416 h (2G) / Up to 315 h (3G)
