brand,phone_name,phone_price,phone_image,available_status,average_rating,battery_rating,camera_rating,connectivity_rating,performance_rating,design_rating,user_rating,battery,cpu,density,diagonal,front_camera,main_camera,os,os_version,processor_model,ram,resolution,screen_type,size,storage,usable_surface,weight,aspect_ratio
Huawei,Huawei Honor 6,150,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1158_phone_front_x_small.jpeg,On Sale,4.8,4.4,6,3.4,4.9,5.5,0,3100 mAh,4x1.7 GHz ARM Cortex,441 ppi Very high density,5,5 Mpx/--,13 Mpx/2.0,Android 6.0Marshmallow,Android 6.0 Marshmallow,Huawei HiSilicon KIRIN 920,3 GB RAM,1080 x 1920 px,LCD IPS,69.7 mm  139.8 mm  7.5 mm,16 GB,70%,135 g,16:09
Huawei,Huawei Honor 6 Plus,156,//cdn-files.kimovil.com/phone_front/0001/03/thumb_2360_phone_front_x_small.jpeg,On Sale,5.5,5.9,6.1,5.4,4.8,5.5,0,3600 mAh,4x1.8 GHz ARM Cortex,401 ppi Very high density,5.5,8 Mpx/2.4,8 Mpx/2.0,Android 5.0Lollipop,Android 5.1.1 Lollipop,Huawei HiSilicon KIRIN 925,3 GB RAM,1080 x 1920 px,LCD IPS,75.7 mm  150.4 mm  7.5 mm,16 GB,73%,165 g,16:09
Huawei,Huawei P8 Lite,141,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4016_phone_front_x_small.jpeg,On Sale,4.1,2.4,6,4.5,4.2,3.5,0,2200 mAh,"8x 1,2GHz Cortex A",294 ppi Medium Density,5,5 Mpx/--,13 Mpx/2.0,Android 6.0Marshmallow,Android 6.0 Marshmallow,Huawei HiSilicon KIRIN 620,2 GB RAM,720 x 1280 px,LCD IPS,70.6 mm  143.0 mm  7.7 mm,16 GB,68%,131 g,16:09
Huawei,Huawei P8 Max,193,//cdn-files.kimovil.com/phone_front/0001/05/thumb_4286_phone_front_x_small.jpeg,On Sale,5.7,7.7,7.1,4,4.5,5.3,0,4360 mAh,4x2.2 GHz ARM Cortex,324 ppi High Density,6.8,5 Mpx/--,13 Mpx/2.0,Android 5.0Lollipop,Android 5.0.2 Lollipop,Huawei HiSilicon KIRIN 935,3 GB RAM,1080 x 1920 px,LCD IPS,93.0 mm  182.7 mm  6.8 mm,32 GB,75%,228 g,16:09
Huawei,Huawei Honor 7i,122,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5272_phone_front_x_small.jpeg,On Sale,4.5,4.4,4.4,4.2,3.8,5.5,0,3090 mAh,4x1.5 GHz ARM Cortex,424 ppi Very high density,5.2,--/--,13 Mpx/2.0,Android 5.0Lollipop,Android 5.1 Lollipop,Qualcomm Snapdragon 616 MSM8952,2 GB RAM,1080 x 1920 px,LCD IPS,71.2 mm  141.6 mm  7.8 mm,16 GB,74%,160 g,16:09
Huawei,Huawei GX8,167,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5882_phone_front_x_small.jpeg,On Sale,5.1,3.9,6.2,5.9,4.3,5.4,0,3000 mAh,4x1.7 GHz ARM Cortex,401 ppi Very high density,5.5,5 Mpx/--,13 Mpx,Android 5.0Lollipop,Android 5.1.1 Lollipop,Qualcomm Snapdragon 616 MSM8939v2,3 GB RAM,1080 x 1920 px,LCD IPS,76.5 mm  152.0 mm  7.5 mm,32 GB,71%,167 g,16:09
Huawei,Huawei Nexus 6P,311,//cdn-files.kimovil.com/phone_front/0001/06/thumb_5825_phone_front_x_small.jpeg,On Sale,6.5,5.7,6.9,7.8,5.8,6.4,0,3450 mAh,4x2.0 GHz ARM Cortex,515 ppi Very high density,5.7,8 Mpx/--,12 Mpx/2.0,Android 7.0Nougat,Android 7.0 Nougat,Qualcomm Snapdragon 810 MSM8994 V2.1,3 GB RAM,1440 x 2560 px,Amoled,77.8 mm  159.3 mm  7.3 mm,32 GB,72%,178 g,16:09
Huawei,Huawei Honor 5X,130,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6244_phone_front_x_small.jpeg,On Sale,4.5,4,6,3.9,4.1,4.5,0,3000 mAh,4x1.7 GHz ARM Cortex,401 ppi Very high density,5.5,4.9 Mpx/--,13 Mpx/2.0,Android 5.0Lollipop,Android 5.1 Lollipop,Qualcomm Snapdragon 616 MSM8939v2,3 GB RAM,1080 x 1920 px,LCD IPS,76.3 mm  151.3 mm  8.2 mm,16 GB,72%,158 g,16:09
Huawei,Huawei Enjoy 5,150,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6103_phone_front_x_small.jpeg,On Sale,4.3,7.3,4.4,3.7,3.6,2.6,0,4000 mAh,ARM Cortex,294 ppi Medium Density,5,4.9 Mpx/--,13 Mpx/2.0,Android 5.0Lollipop,Android 5.1 Lollipop,MediaTek MT6735,2 GB RAM,720 x 1280 px,LCD IPS,71.8 mm  143.1 mm  9.7 mm,16 GB,67%,160 g,16:09
Huawei,Huawei Mate 8,226,//cdn-files.kimovil.com/phone_front/0001/07/thumb_6840_phone_front_x_small.jpeg,On Sale,7,6.7,7.3,8,6.5,6.5,0,4000 mAh,4x 2.3 GHz ARM Cortex,367 ppi High Density,6,8 Mpx/--,16 Mpx/2.0,Android 8.0Oreo,Android 8.0 Oreo,Huawei HiSilicon KIRIN 950,3 GB RAM,1080 x 1920 px,LCD IPS,80.6 mm  157.1 mm  7.9 mm,32 GB,78%,185 g,16:09
