average_rating,battery_rating,brand,camera_rating,connectivity_rating,design_rating,performance_rating,phone_image,phone_name,user_rating
2.7,2.1,Xiaomi,3.5,2.8,2.0,2.9,//cdn-files.kimovil.com/phone_front/0001/01/thumb_937_phone_front_medium.jpeg,Xiaomi Mi2s,0
8.3,7.2,Huawei,8.9,8.5,8.6,8.3,//cdn-files.kimovil.com/phone_front/0004/56/thumb_355433_phone_front_medium.jpeg,Huawei Nova 7 Pro,0
7.3,6.1,Huawei,8.3,6.4,8.0,7.9,//cdn-files.kimovil.com/phone_front/0003/31/thumb_230498_phone_front_medium.jpeg,Huawei nova 5,0
8.0,6.3,Huawei,8.5,8.8,8.3,8.2,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221897_devicerender_small.jpeg,Huawei P30,0
6.4,6.3,Huawei,6.2,5.3,7.1,6.9,//cdn-files.kimovil.com/phone_front/0002/58/thumb_157614_phone_front_medium.jpeg,Huawei Maimang 7,0
4.5,5.0,Huawei,3.9,4.4,4.8,4.5,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221519_devicerender_small.jpeg,Huawei Y5 2018,0
4.8,4.3,Huawei,4.6,5.3,5.0,5.0,//cdn-files.kimovil.com/devicerender/0003/22/thumb_221221_devicerender_small.jpeg,Huawei Honor V9 Play,0
5.4,5.7,Huawei,4.6,6.2,5.5,5.2,//cdn-files.kimovil.com/devicerender/0003/21/thumb_220601_devicerender_small.jpeg,Huawei Nova Plus,0
3.2,2.1,Huawei,2.9,3.4,5.0,2.7,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1154_phone_front_medium.jpeg,Huawei Ascend P6 S,0
2.5,2.5,Huawei,2.3,3.1,2.0,2.4,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1128_phone_front_medium.jpeg,Huawei Honor 2,0
3.6,4.1,Huawei,4.3,2.9,4.0,2.5,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1008_phone_front_medium.jpeg,Huawei Ascend D2,0
2.1,2.0,Huawei,2.0,3.2,1.8,1.7,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1095_phone_front_medium.jpeg,Huawei Ascend G510,0
3.3,6.5,Huawei,2.3,3.4,2.5,2.0,//cdn-files.kimovil.com/phone_front/0001/01/thumb_902_phone_front_medium.jpeg,Huawei Ascend Mate,0
2.5,2.3,Huawei,3.0,3.0,2.0,2.0,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1076_phone_front_medium.jpeg,Huawei Ascend G615,0
2.6,1.9,Huawei,3.0,3.7,2.3,1.9,//cdn-files.kimovil.com/phone_front/0001/01/thumb_912_phone_front_medium.jpeg,Huawei Ascend P1 LTE,0
3.0,2.9,Huawei,3.0,3.2,4.0,2.1,//cdn-files.kimovil.com/phone_front/0001/01/thumb_837_phone_front_medium.jpeg,Huawei Ascend P2,0
2.1,2.2,Huawei,2.0,2.6,1.8,1.7,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1053_phone_front_medium.jpeg,Huawei Ascend Y300,0
3.4,2.0,Huawei,4.7,3.2,4.5,2.6,//cdn-files.kimovil.com/phone_front/0001/01/thumb_820_phone_front_medium.jpeg,Huawei Ascend P6,0
2.1,2.6,Huawei,2.0,2.0,1.9,1.9,//cdn-files.kimovil.com/phone_front/0001/02/thumb_1266_phone_front_medium.jpeg,Huawei G610s,0
