Date,Price
2019-11-18,29975.38
2019-11-19,29949.52
2019-11-20,29936.64
2019-11-21,29918.59
2019-11-22,29897.95
2019-11-23,29877.30
2019-11-24,29859.25
2019-11-25,29736.04
2019-11-26,29411.60
2019-11-27,29061.21
2019-11-28,28710.81
2019-11-29,28360.41
2019-11-30,28048.95
2019-12-01,27699.85
2019-12-02,27481.22
2019-12-03,27352.17
2019-12-04,27270.51
2019-12-05,27192.73
2019-12-06,27118.86
2019-12-07,27030.70
2019-12-08,26947.74
2019-12-09,26875.17
2019-12-10,26855.80
2019-12-11,26836.46
2019-12-12,26836.59
2019-12-13,26810.75
2019-12-14,26810.87
2019-12-15,26791.51
2019-12-16,26785.15
2019-12-17,26785.27
2019-12-18,26764.63
2019-12-19,26759.56
2019-12-20,26759.67
2019-12-21,26754.61
2019-12-22,26733.96
2019-12-23,26734.09
2019-12-24,26734.21
2019-12-25,26713.57
2019-12-26,26708.50
2019-12-27,26708.61
2019-12-28,26698.35
2019-12-29,26682.90
2019-12-30,26683.03
2019-12-31,26683.15
2020-01-01,26657.30
2020-01-02,26657.43
2020-01-03,26657.55
2020-01-04,26647.29
2020-01-05,26631.84
2020-01-06,26631.95
2020-01-07,26632.08
2020-01-08,26606.24
2020-01-09,26606.37
2020-01-10,26606.49
2020-01-11,26600.11
2020-01-12,26580.76
2020-01-13,26580.89
2020-01-14,26581.02
2020-01-15,26555.18
2020-01-16,26555.29
2020-01-17,26555.42
2020-01-18,26549.05
2020-01-19,26529.70
2020-01-20,26520.10
2020-01-21,26445.56
2020-01-22,26345.72
2020-01-23,26244.59
2020-01-24,26153.83
2020-01-25,26056.59
2020-01-26,25965.83
2020-01-27,25878.97
2020-01-28,25855.73
2020-01-29,25855.86
2020-01-30,25855.99
2020-01-31,25882.07
2020-02-01,25882.20
2020-02-02,25882.31
2020-02-03,25882.44
2020-02-04,25882.57
2020-02-05,25861.92
2020-02-06,25856.85
2020-02-07,25856.97
2020-02-08,25851.90
2020-02-09,25831.25
2020-02-10,25831.38
2020-02-11,25831.51
2020-02-12,25812.14
2020-02-13,25805.78
2020-02-14,25805.91
2020-02-15,25800.84
2020-02-16,25780.19
2020-02-17,25780.31
2020-02-18,25780.43
2020-02-19,25780.56
2020-02-20,25780.68
2020-02-21,25780.81
2020-02-22,25780.92
2020-02-23,25781.05
2020-02-24,25821.74
2020-02-25,26133.12
2020-02-26,26553.88
2020-02-27,26928.85
2020-02-28,27352.53
2020-02-29,27774.58
2020-03-01,28194.04
2020-03-02,28527.81
2020-03-03,28690.20
2020-03-04,28690.32
2020-03-05,28690.45
2020-03-06,28690.58
2020-03-07,28690.71
2020-03-08,28690.82
2020-03-09,28711.71
2020-03-10,28853.35
2020-03-11,29065.09
2020-03-12,29275.53
2020-03-13,29485.96
2020-03-14,29697.71
2020-03-15,29886.06
2020-03-16,30052.36
2020-03-17,30094.03
2020-03-18,30094.16
2020-03-19,30094.28
2020-03-20,30094.40
2020-03-21,30094.52
2020-03-22,30094.65
2020-03-23,30094.77
2020-03-24,30094.90
2020-03-25,30095.01
2020-03-26,30095.14
2020-03-27,30095.26
2020-03-28,30095.39
2020-03-29,30095.52
2020-03-30,30095.63
2020-03-31,30095.75
2020-04-01,30095.88
2020-04-02,30096.01
2020-04-03,30096.13
2020-04-04,30096.25
2020-04-05,30096.37
2020-04-06,30096.50
2020-04-07,30096.62
2020-04-08,30096.75
2020-04-09,30096.86
2020-04-10,30096.99
2020-04-11,30097.12
2020-04-12,30097.24
2020-04-13,30097.37
2020-04-14,30097.48
2020-04-15,30097.60
2020-04-16,30097.73
2020-04-17,30097.86
2020-04-18,30097.98
2020-04-19,30098.11
2020-04-20,30098.21
