Date,Price
2020-02-24,69738.59
2020-02-25,69546.20
2020-02-26,69315.22
2020-02-27,69085.33
2020-02-28,68845.44
2020-02-29,68606.52
2020-03-01,68374.99
2020-03-02,68182.08
2020-03-03,68122.42
2020-03-04,68082.34
2020-03-05,68041.18
2020-03-06,68002.18
2020-03-07,67959.69
2020-03-08,67917.69
2020-03-09,67883.05
2020-03-10,67866.90
2020-03-11,67856.19
2020-03-12,67845.48
2020-03-13,67834.78
2020-03-14,67824.07
2020-03-15,67812.44
2020-03-16,67801.58
2020-03-17,67801.74
2020-03-18,67801.91
2020-03-19,67802.08
2020-03-20,67802.25
2020-03-21,67802.42
2020-03-22,67802.59
2020-03-23,67802.77
2020-03-24,67802.94
2020-03-25,67803.11
2020-03-26,67803.28
2020-03-27,67803.45
2020-03-28,67803.62
2020-03-29,67803.79
2020-03-30,67803.97
2020-03-31,67804.14
2020-04-01,67804.30
2020-04-02,67804.47
2020-04-03,67804.64
2020-04-04,67804.81
2020-04-05,67804.99
2020-04-06,67805.16
2020-04-07,67805.33
2020-04-08,67805.50
2020-04-09,67805.67
2020-04-10,67805.84
2020-04-11,67806.01
2020-04-12,67806.18
2020-04-13,67806.36
2020-04-14,67806.53
2020-04-15,67806.70
2020-04-16,67806.86
2020-04-17,67807.03
2020-04-18,67807.20
2020-04-19,67807.38
2020-04-20,67807.50
