Date,Price
2020-02-10,379741.17
2020-02-11,379742.43
2020-02-12,379744.14
2020-02-13,379745.85
2020-02-14,379747.65
2020-02-15,379749.45
2020-02-16,379751.16
2020-02-17,379585.96
2020-02-18,378168.97
2020-02-19,376584.97
2020-02-20,375000.97
2020-02-21,373333.60
2020-02-22,371666.24
2020-02-23,369998.87
2020-02-24,368489.05
2020-02-25,367281.54
2020-02-26,366014.78
2020-02-27,364812.83
2020-02-28,363581.22
2020-02-29,362314.45
2020-03-01,361047.68
2020-03-02,359905.09
2020-03-03,359448.70
2020-03-04,359133.36
2020-03-05,358801.33
2020-03-06,358511.86
2020-03-07,358203.85
2020-03-08,357888.51
2020-03-09,357571.22
2020-03-10,357057.35
2020-03-11,356508.32
2020-03-12,355942.61
2020-03-13,355371.23
2020-03-14,354844.38
2020-03-15,354295.35
2020-03-16,353818.57
2020-03-17,353764.64
2020-03-18,353766.44
2020-03-19,353768.24
2020-03-20,353769.95
2020-03-21,353771.66
2020-03-22,353773.46
2020-03-23,353775.17
2020-03-24,353776.88
2020-03-25,353778.68
2020-03-26,353780.39
2020-03-27,353782.11
2020-03-28,353783.91
2020-03-29,353785.71
2020-03-30,353787.42
2020-03-31,353789.13
2020-04-01,353790.93
2020-04-02,353792.64
2020-04-03,353794.35
2020-04-04,353796.15
2020-04-05,353797.86
2020-04-06,353799.57
2020-04-07,353801.37
2020-04-08,353803.17
2020-04-09,353804.88
2020-04-10,353806.59
2020-04-11,353808.39
2020-04-12,353810.10
2020-04-13,353828.51
2020-04-14,354047.30
2020-04-15,354278.99
2020-04-16,354534.78
2020-04-17,354753.57
2020-04-18,355022.44
2020-04-19,355250.41
2020-04-20,355426.01
