Date,Price
2019-10-21,49950.69
2019-10-22,49950.69
2019-10-23,49950.69
2019-10-24,49911.74
2019-10-25,49898.76
2019-10-26,49898.76
2019-10-27,49879.29
2019-10-28,49665.08
2019-10-29,49422.75
2019-10-30,49158.77
2019-10-31,48866.67
2019-11-01,48600.53
2019-11-02,48347.37
2019-11-03,48094.22
2019-11-04,47899.48
2019-11-05,47743.70
2019-11-06,47613.88
2019-11-07,47432.12
2019-11-08,47276.33
2019-11-09,47146.51
2019-11-10,46977.74
2019-11-11,46808.97
2019-11-12,46713.76
2019-11-13,46627.21
2019-11-14,46523.36
2019-11-15,46436.81
2019-11-16,46341.61
2019-11-17,46237.75
2019-11-18,46146.87
2019-11-19,46107.92
2019-11-20,46068.97
2019-11-21,46030.03
2019-11-22,46004.06
2019-11-23,45965.11
2019-11-24,45926.17
2019-11-25,45900.20
2019-11-26,45900.20
2019-11-27,45900.20
2019-11-28,45874.24
2019-11-29,45848.27
2019-11-30,45848.27
2019-12-01,45848.27
2019-12-02,45822.31
2019-12-03,45779.04
2019-12-04,45731.44
2019-12-05,45666.53
2019-12-06,45614.60
2019-12-07,45571.32
2019-12-08,45523.72
2019-12-09,45348.46
2019-12-10,45147.23
2019-12-11,44933.02
2019-12-12,44679.87
2019-12-13,44426.71
2019-12-14,44212.50
2019-12-15,44024.26
2019-12-16,43849.00
2019-12-17,43788.41
2019-12-18,43745.14
2019-12-19,43680.22
2019-12-20,43602.33
2019-12-21,43563.38
2019-12-22,43498.47
2019-12-23,43459.52
2019-12-24,43459.52
2019-12-25,43459.52
2019-12-26,43459.52
2019-12-27,43459.52
2019-12-28,43459.52
2019-12-29,43459.52
2019-12-30,43459.52
2019-12-31,43459.52
2020-01-01,43459.52
2020-01-02,43446.54
2020-01-03,43407.60
2020-01-04,43407.60
2020-01-05,43407.60
2020-01-06,43407.60
2020-01-07,43407.60
2020-01-08,43407.60
2020-01-09,43394.62
2020-01-10,43355.67
2020-01-11,43355.67
2020-01-12,43355.67
2020-01-13,43355.67
2020-01-14,43355.67
2020-01-15,43355.67
2020-01-16,43355.67
2020-01-17,43355.67
2020-01-18,43355.67
2020-01-19,43355.67
2020-01-20,43264.79
2020-01-21,43037.60
2020-01-22,42819.06
2020-01-23,42589.71
2020-01-24,42336.55
2020-01-25,42076.91
2020-01-26,41867.02
2020-01-27,41700.42
2020-01-28,41486.21
2020-01-29,41356.39
2020-01-30,41174.64
2020-01-31,40966.92
2020-02-01,40785.16
2020-02-02,40629.37
2020-02-03,40473.59
2020-02-04,40447.62
2020-02-05,40395.69
2020-02-06,40395.69
2020-02-07,40395.69
2020-02-08,40369.73
2020-02-09,40343.76
2020-02-10,40343.76
2020-02-11,40343.76
2020-02-12,40343.76
2020-02-13,40343.76
2020-02-14,40343.76
2020-02-15,40343.76
2020-02-16,40343.76
2020-02-17,40343.76
2020-02-18,40343.76
2020-02-19,40343.76
2020-02-20,40343.76
2020-02-21,40343.76
2020-02-22,40343.76
2020-02-23,40343.76
2020-02-24,40343.76
2020-02-25,40343.76
2020-02-26,40343.76
2020-02-27,40343.76
2020-02-28,40343.76
2020-02-29,40343.76
2020-03-01,40343.76
2020-03-02,40447.62
2020-03-03,40707.27
2020-03-04,41187.61
2020-03-05,41555.45
2020-03-06,41979.54
2020-03-07,42537.78
2020-03-08,43018.13
2020-03-09,43476.84
2020-03-10,43823.03
2020-03-11,44199.52
2020-03-12,44569.52
2020-03-13,44887.58
2020-03-14,45212.14
2020-03-15,45582.14
2020-03-16,45848.27
2020-03-17,45900.20
2020-03-18,45900.20
2020-03-19,45900.20
2020-03-20,45900.20
2020-03-21,45900.20
2020-03-22,45900.20
2020-03-23,45900.20
2020-03-24,45900.20
2020-03-25,45900.20
2020-03-26,45900.20
2020-03-27,45900.20
2020-03-28,45900.20
2020-03-29,45900.20
2020-03-30,45900.20
2020-03-31,45900.20
2020-04-01,45900.20
2020-04-02,45900.20
2020-04-03,45900.20
2020-04-04,45900.20
2020-04-05,45900.20
2020-04-06,45900.20
2020-04-07,45900.20
2020-04-08,45900.20
2020-04-09,45900.20
2020-04-10,45900.20
2020-04-11,45900.20
2020-04-12,45900.20
2020-04-13,45900.20
2020-04-14,45900.20
2020-04-15,45900.20
2020-04-16,45900.20
2020-04-17,45900.20
2020-04-18,45900.20
2020-04-19,45900.20
2020-04-20,45900.20
