Date,Price
2019-10-20,57897.68
2019-10-21,57698.77
2019-10-22,57338.25
2019-10-23,56816.12
2019-10-24,56219.40
2019-10-25,55622.68
2019-10-26,55100.55
2019-10-27,54559.77
2019-10-28,54018.99
2019-10-29,53580.77
2019-10-30,53223.36
2019-10-31,52853.52
2019-11-01,52443.27
2019-11-02,52033.03
2019-11-03,51694.26
2019-11-04,51454.95
2019-11-05,51408.33
2019-11-06,51408.33
2019-11-07,51383.47
2019-11-08,51333.74
2019-11-09,51333.74
2019-11-10,51333.74
2019-11-11,51333.74
2019-11-12,51333.74
2019-11-13,51333.74
2019-11-14,51333.74
2019-11-15,51333.74
2019-11-16,51333.74
2019-11-17,51333.74
2019-11-18,51333.74
2019-11-19,51333.74
2019-11-20,51333.74
2019-11-21,51333.74
2019-11-22,51333.74
2019-11-23,51333.74
2019-11-24,51333.74
2019-11-25,51333.74
2019-11-26,51333.74
2019-11-27,51333.74
2019-11-28,51333.74
2019-11-29,51333.74
2019-11-30,51333.74
2019-12-01,51333.74
2019-12-02,51333.74
2019-12-03,51333.74
2019-12-04,51333.74
2019-12-05,51333.74
2019-12-06,51333.74
2019-12-07,51333.74
2019-12-08,51333.74
2019-12-09,51333.74
2019-12-10,51333.74
2019-12-11,51333.74
2019-12-12,51333.74
2019-12-13,51333.74
2019-12-14,51333.74
2019-12-15,51333.74
2019-12-16,51333.74
2019-12-17,51333.74
2019-12-18,51333.74
2019-12-19,51333.74
2019-12-20,51333.74
2019-12-21,51333.74
2019-12-22,51333.74
2019-12-23,51333.74
2019-12-24,51333.74
2019-12-25,51333.74
2019-12-26,51333.74
2019-12-27,51333.74
2019-12-28,51333.74
2019-12-29,51333.74
2019-12-30,51333.74
2019-12-31,51333.74
2020-01-01,51333.74
2020-01-02,51333.74
2020-01-03,51333.74
2020-01-04,51333.74
2020-01-05,51333.74
2020-01-06,51333.74
2020-01-07,51333.74
2020-01-08,51333.74
2020-01-09,51333.74
2020-01-10,51333.74
2020-01-11,51333.74
2020-01-12,51333.74
2020-01-13,51333.74
2020-01-14,51333.74
2020-01-15,51333.74
2020-01-16,51333.74
2020-01-17,51333.74
2020-01-18,51333.74
2020-01-19,51333.74
2020-01-20,51147.27
2020-01-21,50447.99
2020-01-22,49636.82
2020-01-23,48802.34
2020-01-24,48089.07
2020-01-25,47366.48
2020-01-26,46545.99
2020-01-27,46103.11
2020-01-28,45963.25
2020-01-29,45963.25
2020-01-30,45963.25
2020-01-31,45963.25
2020-02-01,45963.25
2020-02-02,45963.25
2020-02-03,45963.25
2020-02-04,45963.25
2020-02-05,45963.25
2020-02-06,45963.25
2020-02-07,45963.25
2020-02-08,45963.25
2020-02-09,45963.25
2020-02-10,45963.25
2020-02-11,45963.25
2020-02-12,45963.25
2020-02-13,45963.25
2020-02-14,45963.25
2020-02-15,45963.25
2020-02-16,45963.25
2020-02-17,45944.60
2020-02-18,45814.07
2020-02-19,45664.89
2020-02-20,45540.57
2020-02-21,45366.53
2020-02-22,45217.35
2020-02-23,45068.17
2020-02-24,44943.85
2020-02-25,44918.99
2020-02-26,44918.99
2020-02-27,44918.99
2020-02-28,44918.99
2020-02-29,44918.99
2020-03-01,44918.99
2020-03-02,44918.99
2020-03-03,44918.99
2020-03-04,44918.99
2020-03-05,44918.99
2020-03-06,44918.99
2020-03-07,44918.99
2020-03-08,44918.99
2020-03-09,44918.99
2020-03-10,44918.99
2020-03-11,44918.99
2020-03-12,44918.99
2020-03-13,44918.99
2020-03-14,44918.99
2020-03-15,44918.99
2020-03-16,44937.64
2020-03-17,45018.44
2020-03-18,45086.82
2020-03-19,45180.06
2020-03-20,45273.29
2020-03-21,45366.53
2020-03-22,45422.47
2020-03-23,45758.13
2020-03-24,46224.32
2020-03-25,46998.19
2020-03-26,47855.98
2020-03-27,48611.20
2020-03-28,49375.76
2020-03-29,50214.89
2020-03-30,51021.40
2020-03-31,51333.74
2020-04-01,51333.74
2020-04-02,51333.74
2020-04-03,51333.74
2020-04-04,51333.74
2020-04-05,51333.74
2020-04-06,51333.74
2020-04-07,51333.74
2020-04-08,51333.74
2020-04-09,51333.74
2020-04-10,51333.74
2020-04-11,51333.74
2020-04-12,51333.74
2020-04-13,51333.74
2020-04-14,51333.74
2020-04-15,51333.74
2020-04-16,51333.74
2020-04-17,51333.74
2020-04-18,51333.74
2020-04-19,51333.74
2020-04-20,51333.74
