Date,Price
2020-03-02,90926.37
2020-03-03,90658.82
2020-03-04,90324.36
2020-03-05,89990.84
2020-03-06,89657.79
2020-03-07,89323.80
2020-03-08,88990.28
2020-03-09,88733.86
2020-03-10,88782.44
2020-03-11,88868.02
2020-03-12,88953.61
2020-03-13,89041.99
2020-03-14,89128.50
2020-03-15,89213.15
2020-03-16,89285.25
2020-03-17,89291.09
2020-03-18,89290.89
2020-03-19,89290.70
2020-03-20,89290.50
2020-03-21,89290.30
2020-03-22,89290.10
2020-03-23,89289.91
2020-03-24,89289.72
2020-03-25,89289.53
2020-03-26,89289.33
2020-03-27,89289.13
2020-03-28,89288.94
2020-03-29,89288.74
2020-03-30,89288.54
2020-03-31,89288.35
2020-04-01,89288.16
2020-04-02,89287.97
2020-04-03,89287.77
2020-04-04,89287.57
2020-04-05,89287.38
2020-04-06,89287.18
2020-04-07,89286.98
2020-04-08,89286.78
2020-04-09,89286.59
2020-04-10,89286.41
2020-04-11,89286.21
2020-04-12,89286.01
2020-04-13,89285.81
2020-04-14,89285.62
2020-04-15,89285.42
2020-04-16,89285.22
2020-04-17,89285.03
2020-04-18,89284.84
2020-04-19,89284.65
2020-04-20,89284.51
