Date,Price
2019-09-01,197168.66
2019-09-02,196666.55
2019-09-03,195271.80
2019-09-04,193560.90
2019-09-05,192147.55
2019-09-06,190362.26
2019-09-07,188725.75
2019-09-08,187386.78
2019-09-09,186568.53
2019-09-10,186122.21
2019-09-11,186122.21
2019-09-12,186122.21
2019-09-13,186122.21
2019-09-14,186122.21
2019-09-15,186122.21
2019-09-16,186122.21
2019-09-17,186122.21
2019-09-18,186122.21
2019-09-19,186122.21
2019-09-20,186122.21
2019-09-21,186122.21
2019-09-22,186122.21
2019-09-23,186122.21
2019-09-24,186122.21
2019-09-25,186122.21
2019-09-26,186122.21
2019-09-27,186122.21
2019-09-28,186122.21
2019-09-29,186122.21
2019-09-30,186754.50
2019-10-01,187758.72
2019-10-02,189748.57
2019-10-03,191757.02
2019-10-04,193765.46
2019-10-05,195773.91
2019-10-06,197726.57
2019-10-07,199549.04
2019-10-08,200181.34
2019-10-09,200181.34
2019-10-10,200181.34
2019-10-11,200181.34
2019-10-12,200181.34
2019-10-13,200181.34
2019-10-14,200181.34
2019-10-15,200181.34
2019-10-16,200181.34
2019-10-17,200181.34
2019-10-18,200181.34
2019-10-19,200181.34
2019-10-20,200181.34
2019-10-21,200181.34
2019-10-22,200181.34
2019-10-23,200181.34
2019-10-24,200181.34
2019-10-25,200181.34
2019-10-26,200181.34
2019-10-27,200181.34
2019-10-28,200181.34
2019-10-29,199883.78
2019-10-30,199660.62
2019-10-31,199363.08
2019-11-01,199177.11
2019-11-02,198916.76
2019-11-03,198693.60
2019-11-04,198396.05
2019-11-05,198172.89
2019-11-06,198024.12
2019-11-07,197800.96
2019-11-08,197652.18
2019-11-09,197429.02
2019-11-10,197280.25
2019-11-11,197057.08
2019-11-12,197057.08
2019-11-13,197057.08
2019-11-14,197057.08
2019-11-15,197057.08
2019-11-16,197057.08
2019-11-17,197057.08
2019-11-18,197057.08
2019-11-19,197057.08
2019-11-20,197057.08
2019-11-21,197057.08
2019-11-22,196833.92
2019-11-23,196833.92
2019-11-24,196833.92
2019-11-25,196833.92
2019-11-26,196685.15
2019-11-27,196536.37
2019-11-28,196387.60
2019-11-29,196164.44
2019-11-30,196015.67
2019-12-01,195866.89
2019-12-02,194360.56
2019-12-03,192314.92
2019-12-04,189776.47
2019-12-05,186986.96
2019-12-06,183862.70
2019-12-07,180589.68
2019-12-08,177400.34
2019-12-09,174841.43
2019-12-10,171858.52
2019-12-11,169589.71
2019-12-12,167358.11
2019-12-13,165200.89
2019-12-14,162969.28
2019-12-15,160812.06
2019-12-16,159417.30
2019-12-17,158896.59
2019-12-18,158896.59
2019-12-19,158896.59
2019-12-20,158896.59
2019-12-21,158896.59
2019-12-22,158896.59
2019-12-23,158896.59
2019-12-24,158896.59
2019-12-25,158896.59
2019-12-26,158896.59
2019-12-27,158896.59
2019-12-28,158896.59
2019-12-29,158896.59
2019-12-30,158896.59
2019-12-31,158896.59
2020-01-01,158896.59
2020-01-02,158896.59
2020-01-03,158896.59
2020-01-04,158896.59
2020-01-05,158896.59
2020-01-06,158896.59
2020-01-07,158896.59
2020-01-08,158896.59
2020-01-09,158896.59
2020-01-10,158896.59
2020-01-11,158896.59
2020-01-12,158896.59
2020-01-13,158896.59
2020-01-14,158896.59
2020-01-15,158896.59
2020-01-16,158896.59
2020-01-17,158896.59
2020-01-18,158896.59
2020-01-19,158896.59
2020-01-20,158896.59
2020-01-21,158896.59
2020-01-22,158896.59
2020-01-23,158896.59
2020-01-24,158896.59
2020-01-25,158896.59
2020-01-26,158896.59
2020-01-27,158896.59
2020-01-28,158896.59
2020-01-29,158896.59
2020-01-30,158896.59
2020-01-31,158896.59
2020-02-01,158896.59
2020-02-02,158896.59
2020-02-03,159380.11
2020-02-04,160068.19
2020-02-05,161704.70
2020-02-06,163341.21
2020-02-07,164996.32
2020-02-08,166614.24
2020-02-09,168018.29
2020-02-10,169366.55
2020-02-11,171430.79
2020-02-12,172918.53
2020-02-13,174294.69
2020-02-14,175782.42
2020-02-15,177195.78
2020-02-16,178609.13
2020-02-17,179836.51
2020-02-18,180654.77
2020-02-19,180840.74
2020-02-20,180989.51
2020-02-21,181212.67
2020-02-22,181361.44
2020-02-23,181510.22
2020-02-24,181658.99
2020-02-25,181658.99
2020-02-26,181658.99
2020-02-27,181658.99
2020-02-28,181658.99
2020-02-29,181658.99
2020-03-01,181658.99
2020-03-02,181658.99
2020-03-03,181658.99
2020-03-04,181658.99
2020-03-05,181658.99
2020-03-06,181658.99
2020-03-07,181658.99
2020-03-08,181658.99
2020-03-09,181658.99
2020-03-10,181658.99
2020-03-11,181658.99
2020-03-12,181658.99
2020-03-13,181658.99
2020-03-14,181658.99
2020-03-15,181658.99
2020-03-16,181658.99
2020-03-17,181658.99
2020-03-18,181658.99
2020-03-19,181658.99
2020-03-20,181658.99
2020-03-21,181658.99
2020-03-22,181658.99
2020-03-23,181658.99
2020-03-24,181658.99
2020-03-25,181658.99
2020-03-26,181658.99
2020-03-27,181658.99
2020-03-28,181658.99
2020-03-29,181658.99
2020-03-30,181658.99
2020-03-31,181658.99
2020-04-01,181658.99
2020-04-02,181658.99
2020-04-03,181658.99
2020-04-04,181658.99
2020-04-05,181658.99
2020-04-06,181658.99
2020-04-07,181658.99
2020-04-08,181658.99
2020-04-09,181658.99
2020-04-10,181658.99
2020-04-11,181658.99
2020-04-12,181658.99
2020-04-13,181658.99
2020-04-14,181435.83
2020-04-15,181212.67
2020-04-16,181063.90
2020-04-17,180840.74
2020-04-18,180617.58
2020-04-19,180394.42
2020-04-20,180208.45
