Date,Price
2019-09-01,145583.97
2019-09-02,145287.23
2019-09-03,144792.66
2019-09-04,143951.90
2019-09-05,143210.05
2019-09-06,142344.57
2019-09-07,141577.99
2019-09-08,140737.23
2019-09-09,140119.02
2019-09-10,139673.91
2019-09-11,139278.26
2019-09-12,139055.71
2019-09-13,138684.78
2019-09-14,138388.04
2019-09-15,137992.39
2019-09-16,137670.93
2019-09-17,137473.10
2019-09-18,137374.18
2019-09-19,137275.27
2019-09-20,137126.90
2019-09-21,137027.99
2019-09-22,136929.07
2019-09-23,136830.16
2019-09-24,136681.79
2019-09-25,136533.42
2019-09-26,136335.59
2019-09-27,136187.23
2019-09-28,136038.86
2019-09-29,135890.49
2019-09-30,135791.58
2019-10-01,135890.49
2019-10-02,135989.41
2019-10-03,136088.32
2019-10-04,136236.68
2019-10-05,136335.59
2019-10-06,136434.51
2019-10-07,136533.42
2019-10-08,136632.33
2019-10-09,136731.25
2019-10-10,136830.16
2019-10-11,136978.53
2019-10-12,137077.44
2019-10-13,137176.36
2019-10-14,137275.27
2019-10-15,137275.27
2019-10-16,137275.27
2019-10-17,137275.27
2019-10-18,137275.27
2019-10-19,137275.27
2019-10-20,137275.27
2019-10-21,137275.27
2019-10-22,137275.27
2019-10-23,137275.27
2019-10-24,137275.27
2019-10-25,137423.64
2019-10-26,137423.64
2019-10-27,137423.64
2019-10-28,137423.64
2019-10-29,137201.09
2019-10-30,136854.89
2019-10-31,136558.15
2019-11-01,136261.41
2019-11-02,135915.22
2019-11-03,135618.48
2019-11-04,135383.56
2019-11-05,135346.47
2019-11-06,135346.47
2019-11-07,135346.47
2019-11-08,135346.47
2019-11-09,135346.47
2019-11-10,135346.47
2019-11-11,135346.47
2019-11-12,135346.47
2019-11-13,135346.47
2019-11-14,135346.47
2019-11-15,135346.47
2019-11-16,135346.47
2019-11-17,135346.47
2019-11-18,135346.47
2019-11-19,135346.47
2019-11-20,135346.47
2019-11-21,135346.47
2019-11-22,135346.47
2019-11-23,135346.47
2019-11-24,135346.47
2019-11-25,135346.47
2019-11-26,135074.45
2019-11-27,134678.80
2019-11-28,134382.07
2019-11-29,133936.96
2019-11-30,133640.22
2019-12-01,133244.57
2019-12-02,132873.64
2019-12-03,132576.91
2019-12-04,132329.62
2019-12-05,132131.80
2019-12-06,131884.51
2019-12-07,131686.69
2019-12-08,131439.40
2019-12-09,131340.49
2019-12-10,131241.58
2019-12-11,131192.12
2019-12-12,131043.75
2019-12-13,131043.75
2019-12-14,130895.38
2019-12-15,130845.92
2019-12-16,130747.01
2019-12-17,130747.01
2019-12-18,130747.01
2019-12-19,130747.01
2019-12-20,130598.64
2019-12-21,130598.64
2019-12-22,130598.64
2019-12-23,130598.64
2019-12-24,130598.64
2019-12-25,130598.64
2019-12-26,130598.64
2019-12-27,130598.64
2019-12-28,130598.64
2019-12-29,130598.64
2019-12-30,130598.64
2019-12-31,130598.64
2020-01-01,130499.73
2020-01-02,130450.27
2020-01-03,130450.27
2020-01-04,130400.81
2020-01-05,130301.90
2020-01-06,130301.90
2020-01-07,130301.90
2020-01-08,130301.90
2020-01-09,130301.90
2020-01-10,130153.53
2020-01-11,130153.53
2020-01-12,130153.53
2020-01-13,130153.53
2020-01-14,130153.53
2020-01-15,130005.16
2020-01-16,130005.16
2020-01-17,129856.79
2020-01-18,129856.79
2020-01-19,129757.88
2020-01-20,129708.42
2020-01-21,129560.05
2020-01-22,129461.14
2020-01-23,129312.77
2020-01-24,129213.86
2020-01-25,129065.49
2020-01-26,128966.58
2020-01-27,128818.21
2020-01-28,128768.75
2020-01-29,128669.84
2020-01-30,128620.38
2020-01-31,128521.47
2020-02-01,128521.47
2020-02-02,128422.56
2020-02-03,128373.10
2020-02-04,128373.10
2020-02-05,128373.10
2020-02-06,128373.10
2020-02-07,128373.10
2020-02-08,128373.10
2020-02-09,128373.10
2020-02-10,128373.10
2020-02-11,128175.27
2020-02-12,127977.45
2020-02-13,127730.16
2020-02-14,127532.34
2020-02-15,127285.05
2020-02-16,127087.23
2020-02-17,126889.40
2020-02-18,126790.49
2020-02-19,126642.12
2020-02-20,126493.75
2020-02-21,126295.92
2020-02-22,126147.55
2020-02-23,125999.18
2020-02-24,125850.82
2020-02-25,125850.82
2020-02-26,125850.82
2020-02-27,125850.82
2020-02-28,125850.82
2020-02-29,125850.82
2020-03-01,125850.82
2020-03-02,125801.36
2020-03-03,125603.54
2020-03-04,125306.80
