Date,Price
2019-02-28,149135.22
2019-03-01,148939.95
2019-03-02,148484.33
2019-03-03,148354.16
2019-03-04,147963.63
2019-03-05,147573.09
2019-03-06,146922.21
2019-03-07,146401.50
2019-03-08,146010.97
2019-03-09,145425.17
2019-03-10,144839.38
2019-03-11,144448.84
2019-03-12,143928.14
2019-03-13,143277.25
2019-03-14,142886.72
2019-03-15,142496.19
2019-03-16,141715.13
2019-03-17,141324.59
2019-03-18,140934.06
2019-03-19,140543.53
2019-03-20,139892.65
2019-03-21,139371.94
2019-03-22,138981.40
2019-03-23,138460.70
2019-03-24,137809.81
2019-03-25,137419.28
2019-03-26,136963.66
2019-03-27,136247.69
2019-03-28,135857.15
2019-03-29,135466.62
2019-03-30,134685.56
2019-03-31,134295.03
2019-04-01,133969.59
2019-04-02,133774.32
2019-04-03,133253.61
2019-04-04,132732.90
2019-04-05,132342.37
2019-04-06,131951.84
2019-04-07,131431.13
2019-04-08,131300.95
2019-04-09,130910.43
2019-04-10,130389.72
2019-04-11,129999.18
2019-04-12,129608.65
2019-04-13,129087.95
2019-04-14,128697.41
2019-04-15,128306.88
2019-04-16,127916.35
2019-04-17,127525.82
2019-04-18,127005.11
2019-04-19,126874.93
2019-04-20,126484.40
2019-04-21,125963.69
2019-04-22,125573.16
2019-04-23,125182.63
2019-04-24,124661.92
2019-04-25,124271.39
2019-04-26,123880.86
2019-04-27,123360.15
2019-04-28,122969.62
2019-04-29,122579.09
2019-04-30,122448.91
2019-05-01,122058.38
2019-05-02,121537.67
2019-05-03,121147.14
2019-05-04,120756.61
2019-05-05,120170.81
2019-05-06,119975.54
2019-05-07,119715.19
2019-05-08,119454.84
2019-05-09,119194.48
2019-05-10,119064.31
2019-05-11,118803.95
2019-05-12,118673.77
2019-05-13,118413.42
2019-05-14,118153.07
2019-05-15,118022.89
2019-05-16,117762.54
2019-05-17,117632.36
2019-05-18,117372.00
2019-05-19,117111.65
2019-05-20,116851.29
2019-05-21,116721.12
2019-05-22,116460.77
2019-05-23,116330.59
2019-05-24,116070.23
2019-05-25,115809.88
2019-05-26,115679.70
2019-05-27,115419.35
2019-05-28,115289.17
2019-05-29,115028.81
2019-05-30,114768.46
2019-05-31,114508.11
2019-06-01,114377.93
2019-06-02,114117.58
2019-06-03,113987.40
2019-06-04,113727.04
2019-06-05,113466.69
2019-06-06,113466.69
2019-06-07,113206.34
2019-06-08,113206.34
2019-06-09,113076.16
2019-06-10,112945.98
2019-06-11,112945.98
2019-06-12,112685.63
2019-06-13,112555.45
2019-06-14,112425.27
2019-06-15,112425.27
2019-06-16,112164.92
2019-06-17,112164.92
2019-06-18,112034.74
2019-06-19,111904.56
2019-06-20,111904.56
2019-06-21,111644.21
2019-06-22,111644.21
2019-06-23,111383.86
2019-06-24,111383.86
2019-06-25,111123.50
2019-06-26,111123.50
2019-06-27,110993.33
2019-06-28,110863.15
2019-06-29,110732.97
2019-06-30,110602.79
2019-07-01,110602.79
2019-07-02,110342.44
2019-07-03,110342.44
2019-07-04,110212.26
2019-07-05,110082.08
2019-07-06,110082.08
2019-07-07,109821.73
2019-07-08,109821.73
2019-07-09,109821.73
2019-07-10,109821.73
2019-07-11,109821.73
2019-07-12,109821.73
2019-07-13,109821.73
2019-07-14,109821.73
2019-07-15,109821.73
2019-07-16,109821.73
2019-07-17,109821.73
2019-07-18,109821.73
2019-07-19,109821.73
2019-07-20,109821.73
2019-07-21,109821.73
2019-07-22,109821.73
2019-07-23,109821.73
2019-07-24,109821.73
2019-07-25,109821.73
2019-07-26,109821.73
2019-07-27,109821.73
2019-07-28,109821.73
2019-07-29,109821.73
2019-07-30,109821.73
2019-07-31,109821.73
2019-08-01,109821.73
2019-08-02,109821.73
2019-08-03,109821.73
2019-08-04,109821.73
2019-08-05,109821.73
2019-08-06,109821.73
2019-08-07,109821.73
2019-08-08,109821.73
2019-08-09,109821.73
2019-08-10,109821.73
2019-08-11,109821.73
2019-08-12,110082.08
2019-08-13,110082.08
2019-08-14,110082.08
2019-08-15,110082.08
2019-08-16,110212.26
2019-08-17,110342.44
2019-08-18,110342.44
2019-08-19,110342.44
2019-08-20,110342.44
2019-08-21,110342.44
2019-08-22,110602.79
2019-08-23,110602.79
2019-08-24,110602.79
2019-08-25,110602.79
2019-08-26,110602.79
2019-08-27,110732.97
2019-08-28,110863.15
2019-08-29,110863.15
2019-08-30,110863.15
2019-08-31,110863.15
2019-09-01,110993.33
2019-09-02,111123.50
2019-09-03,111123.50
2019-09-04,111123.50
2019-09-05,111123.50
2019-09-06,111123.50
2019-09-07,111383.86
2019-09-08,111383.86
2019-09-09,111383.86
2019-09-10,111383.86
2019-09-11,111123.50
2019-09-12,111123.50
2019-09-13,110863.15
2019-09-14,110863.15
2019-09-15,110732.97
2019-09-16,110602.79
2019-09-17,110472.62
2019-09-18,110342.44
2019-09-19,110342.44
2019-09-20,110082.08
2019-09-21,110082.08
2019-09-22,109951.91
2019-09-23,109821.73
2019-09-24,109821.73
2019-09-25,109561.38
2019-09-26,109431.20
2019-09-27,109301.02
2019-09-28,109301.02
2019-09-29,109040.67
2019-09-30,109040.67
2019-10-01,108910.49
2019-10-02,108780.31
2019-10-03,108519.96
2019-10-04,108519.96
2019-10-05,108519.96
2019-10-06,108259.60
2019-10-07,108259.60
2019-10-08,107999.25
2019-10-09,107999.25
2019-10-10,107869.08
2019-10-11,107738.90
2019-10-12,107738.90
2019-10-13,107738.90
2019-10-14,107738.90
2019-10-15,107738.90
2019-10-16,107738.90
2019-10-17,107738.90
2019-10-18,107738.90
2019-10-19,107738.90
2019-10-20,107738.90
2019-10-21,107738.90
2019-10-22,107738.90
2019-10-23,107738.90
2019-10-24,107738.90
2019-10-25,107738.90
2019-10-26,107738.90
2019-10-27,107478.54
2019-10-28,107478.54
2019-10-29,107478.54
2019-10-30,107478.54
2019-10-31,107478.54
2019-11-01,107478.54
2019-11-02,107478.54
2019-11-03,107478.54
2019-11-04,107478.54
2019-11-05,107478.54
2019-11-06,107478.54
2019-11-07,107478.54
2019-11-08,107478.54
2019-11-09,107478.54
2019-11-10,107478.54
2019-11-11,107478.54
2019-11-12,107478.54
2019-11-13,107478.54
2019-11-14,107478.54
2019-11-15,107478.54
2019-11-16,107218.19
2019-11-17,107218.19
2019-11-18,107218.19
2019-11-19,107218.19
2019-11-20,107218.19
2019-11-21,107218.19
2019-11-22,107218.19
2019-11-23,107218.19
2019-11-24,106957.83
2019-11-25,106957.83
2019-11-26,106957.83
2019-11-27,106957.83
2019-11-28,106957.83
2019-11-29,106957.83
2019-11-30,106957.83
2019-12-01,106957.83
2019-12-02,106957.83
2019-12-03,106697.48
2019-12-04,106697.48
2019-12-05,106697.48
2019-12-06,106697.48
2019-12-07,106697.48
2019-12-08,106697.48
2019-12-09,106697.48
2019-12-10,106567.31
2019-12-11,106437.13
2019-12-12,106437.13
2019-12-13,106437.13
2019-12-14,106437.13
2019-12-15,106437.13
2019-12-16,106437.13
2019-12-17,106437.13
2019-12-18,106437.13
2019-12-19,106437.13
2019-12-20,106437.13
2019-12-21,106437.13
2019-12-22,106176.77
2019-12-23,106176.77
2019-12-24,106176.77
2019-12-25,106176.77
2019-12-26,106176.77
2019-12-27,106176.77
2019-12-28,106176.77
2019-12-29,106176.77
2019-12-30,106176.77
2019-12-31,106176.77
2020-01-01,106176.77
2020-01-02,106176.77
2020-01-03,106176.77
2020-01-04,106176.77
2020-01-05,106176.77
2020-01-06,106176.77
2020-01-07,105916.42
2020-01-08,105916.42
2020-01-09,105916.42
2020-01-10,105916.42
2020-01-11,105916.42
2020-01-12,105916.42
2020-01-13,105916.42
2020-01-14,105916.42
2020-01-15,105916.42
2020-01-16,105916.42
2020-01-17,105916.42
2020-01-18,105916.42
2020-01-19,105916.42
2020-01-20,106046.60
2020-01-21,106176.77
2020-01-22,106176.77
2020-01-23,106176.77
2020-01-24,106176.77
2020-01-25,106176.77
2020-01-26,106176.77
2020-01-27,106176.77
2020-01-28,106176.77
2020-01-29,106176.77
2020-01-30,106176.77
2020-01-31,106437.13
2020-02-01,106437.13
2020-02-02,106437.13
2020-02-03,106437.13
2020-02-04,106437.13
2020-02-05,106437.13
2020-02-06,106437.13
2020-02-07,106437.13
2020-02-08,106437.13
2020-02-09,106437.13
2020-02-10,106437.13
2020-02-11,106697.48
2020-02-12,106697.48
2020-02-13,106697.48
2020-02-14,106697.48
2020-02-15,106697.48
2020-02-16,106697.48
2020-02-17,106697.48
2020-02-18,106697.48
2020-02-19,106697.48
2020-02-20,106697.48
2020-02-21,106437.13
2020-02-22,106437.13
2020-02-23,106437.13
2020-02-24,106437.13
2020-02-25,106437.13
2020-02-26,106437.13
2020-02-27,106437.13
2020-02-28,106437.13
2020-02-29,106437.13
2020-03-01,106437.13
2020-03-02,106437.13
2020-03-03,106176.77
2020-03-04,106176.77
2020-03-05,106176.77
2020-03-06,106176.77
2020-03-07,106176.77
2020-03-08,106176.77
2020-03-09,106176.77
2020-03-10,106176.77
2020-03-11,106176.77
2020-03-12,106176.77
2020-03-13,106176.77
2020-03-14,105916.42
2020-03-15,105916.42
2020-03-16,105916.42
2020-03-17,105916.42
2020-03-18,105916.42
2020-03-19,105916.42
2020-03-20,105916.42
2020-03-21,105916.42
2020-03-22,105916.42
2020-03-23,105916.42
2020-03-24,105916.42
2020-03-25,105916.42
2020-03-26,105916.42
2020-03-27,105916.42
2020-03-28,105916.42
2020-03-29,105916.42
2020-03-30,105916.42
2020-03-31,105916.42
2020-04-01,105916.42
2020-04-02,105916.42
2020-04-03,105916.42
2020-04-04,105656.06
2020-04-05,105656.06
2020-04-06,105656.06
2020-04-07,105656.06
2020-04-08,105656.06
2020-04-09,105656.06
2020-04-10,105656.06
2020-04-11,105656.06
2020-04-12,105656.06
2020-04-13,105656.06
2020-04-14,105656.06
2020-04-15,105656.06
2020-04-16,105656.06
2020-04-17,105656.06
2020-04-18,105656.06
2020-04-19,105656.06
