Date,Price
2019-03-03,121439.13
2019-03-04,121337.13
2019-03-05,120929.11
2019-03-06,120827.11
2019-03-07,120521.10
2019-03-08,120317.09
2019-03-09,120011.07
2019-03-10,119807.07
2019-03-11,119501.06
2019-03-12,119399.05
2019-03-13,119093.04
2019-03-14,118787.02
2019-03-15,118685.02
2019-03-16,118379.01
2019-03-17,118175.00
2019-03-18,117868.99
2019-03-19,117664.98
2019-03-20,117358.97
2019-03-21,117256.97
2019-03-22,116950.95
2019-03-23,116746.94
2019-03-24,116440.93
2019-03-25,116338.93
2019-03-26,116032.92
2019-03-27,115828.91
2019-03-28,115522.89
2019-03-29,115318.89
2019-03-30,115012.88
2019-03-31,114910.87
2019-04-01,114604.86
2019-04-02,114298.85
2019-04-03,114094.84
2019-04-04,113788.83
2019-04-05,113584.82
2019-04-06,113278.80
2019-04-07,113074.80
2019-04-08,112870.79
2019-04-09,112564.78
2019-04-10,112360.77
2019-04-11,112054.76
2019-04-12,111850.75
2019-04-13,111544.74
2019-04-14,111238.72
2019-04-15,111136.72
2019-04-16,110728.71
2019-04-17,110626.70
2019-04-18,110320.69
2019-04-19,110014.67
2019-04-20,109912.67
2019-04-21,109504.66
2019-04-22,109402.65
2019-04-23,109096.64
2019-04-24,108790.63
2019-04-25,108586.62
2019-04-26,108280.61
2019-04-27,108076.60
2019-04-28,107770.58
2019-04-29,107566.58
2019-04-30,107260.57
2019-05-01,106954.55
2019-05-02,106852.55
2019-05-03,106546.54
2019-05-04,106342.53
2019-05-05,106036.52
2019-05-06,105730.50
2019-05-07,105424.49
2019-05-08,105016.48
2019-05-09,104710.46
2019-05-10,104608.46
2019-05-11,104200.45
2019-05-12,103894.43
2019-05-13,103588.42
2019-05-14,103282.40
2019-05-15,102976.40
2019-05-16,102568.38
2019-05-17,102262.36
2019-05-18,102160.36
2019-05-19,101752.35
2019-05-20,101446.33
2019-05-21,101140.32
2019-05-22,100732.31
2019-05-23,100426.29
2019-05-24,100120.28
2019-05-25,99814.27
2019-05-26,99610.26
2019-05-27,99304.25
2019-05-28,98998.23
2019-05-29,98692.23
2019-05-30,98284.21
2019-05-31,97978.19
2019-06-01,97672.18
2019-06-02,97366.17
2019-06-03,97162.16
2019-06-04,96856.15
2019-06-05,96448.14
2019-06-06,96142.12
2019-06-07,95836.11
2019-06-08,95632.10
2019-06-09,95428.09
2019-06-10,95224.08
2019-06-11,95020.07
2019-06-12,94816.07
2019-06-13,94612.06
2019-06-14,94408.05
2019-06-15,94204.04
2019-06-16,94000.03
2019-06-17,93796.03
2019-06-18,93592.02
2019-06-19,93286.01
2019-06-20,93184.00
2019-06-21,92979.99
2019-06-22,92775.99
2019-06-23,92571.98
2019-06-24,92367.97
2019-06-25,92163.96
2019-06-26,91959.95
2019-06-27,91653.94
2019-06-28,91551.94
2019-06-29,91347.93
2019-06-30,91041.92
2019-07-01,90939.91
2019-07-02,90735.90
2019-07-03,90531.90
2019-07-04,90327.89
2019-07-05,90021.88
2019-07-06,89919.87
2019-07-07,89715.86
2019-07-08,89511.85
2019-07-09,89511.85
2019-07-10,89511.85
2019-07-11,89511.85
2019-07-12,89511.85
2019-07-13,89511.85
2019-07-14,89511.85
2019-07-15,89511.85
2019-07-16,89511.85
2019-07-17,89511.85
2019-07-18,89511.85
2019-07-19,89511.85
2019-07-20,89511.85
2019-07-21,89511.85
2019-07-22,89511.85
2019-07-23,89511.85
2019-07-24,89409.85
2019-07-25,89307.85
2019-07-26,89307.85
2019-07-27,89307.85
2019-07-28,89307.85
2019-07-29,89307.85
2019-07-30,89307.85
2019-07-31,89307.85
2019-08-01,89307.85
2019-08-02,89307.85
2019-08-03,89307.85
2019-08-04,89307.85
2019-08-05,89307.85
2019-08-06,89307.85
2019-08-07,89307.85
2019-08-08,89307.85
2019-08-09,89307.85
2019-08-10,89307.85
2019-08-11,89307.85
2019-08-12,89307.85
2019-08-13,89205.85
2019-08-14,89103.84
2019-08-15,89103.84
2019-08-16,89103.84
2019-08-17,89103.84
2019-08-18,89103.84
2019-08-19,89103.84
2019-08-20,89103.84
2019-08-21,89001.84
2019-08-22,88899.83
2019-08-23,88899.83
2019-08-24,88899.83
2019-08-25,88899.83
2019-08-26,88899.83
2019-08-27,88899.83
2019-08-28,88899.83
2019-08-29,88797.83
2019-08-30,88695.82
2019-08-31,88695.82
2019-09-01,88695.82
2019-09-02,88695.82
2019-09-03,88695.82
2019-09-04,88695.82
2019-09-05,88695.82
2019-09-06,88593.82
2019-09-07,88491.81
2019-09-08,88491.81
2019-09-09,88491.81
2019-09-10,88491.81
2019-09-11,88491.81
2019-09-12,88491.81
2019-09-13,88491.81
2019-09-14,88287.81
2019-09-15,88287.81
2019-09-16,88287.81
2019-09-17,88287.81
2019-09-18,88287.81
2019-09-19,88287.81
2019-09-20,88083.80
2019-09-21,88083.80
2019-09-22,88083.80
2019-09-23,88083.80
2019-09-24,88083.80
2019-09-25,88083.80
2019-09-26,87879.79
2019-09-27,87879.79
2019-09-28,87879.79
2019-09-29,87879.79
2019-09-30,87879.79
2019-10-01,87879.79
2019-10-02,87879.79
2019-10-03,87675.78
2019-10-04,87675.78
2019-10-05,87675.78
2019-10-06,87675.78
2019-10-07,87675.78
2019-10-08,87675.78
2019-10-09,87471.77
2019-10-10,87471.77
2019-10-11,87471.77
2019-10-12,87471.77
2019-10-13,87471.77
2019-10-14,87267.76
2019-10-15,87267.76
2019-10-16,87267.76
2019-10-17,87165.76
2019-10-18,87063.76
2019-10-19,87063.76
2019-10-20,87063.76
2019-10-21,86859.75
2019-10-22,86859.75
2019-10-23,86859.75
2019-10-24,86859.75
2019-10-25,86655.74
2019-10-26,86655.74
2019-10-27,86655.74
2019-10-28,86451.73
2019-10-29,86451.73
2019-10-30,86451.73
2019-10-31,86349.73
2019-11-01,86247.72
2019-11-02,86247.72
2019-11-03,86247.72
2019-11-04,86043.72
2019-11-05,86043.72
2019-11-06,86043.72
2019-11-07,86043.72
2019-11-08,85839.71
2019-11-09,85839.71
2019-11-10,85839.71
2019-11-11,85737.71
2019-11-12,85635.70
2019-11-13,85635.70
2019-11-14,85635.70
2019-11-15,85635.70
2019-11-16,85635.70
2019-11-17,85635.70
2019-11-18,85431.69
2019-11-19,85431.69
2019-11-20,85431.69
2019-11-21,85431.69
2019-11-22,85431.69
2019-11-23,85431.69
2019-11-24,85431.69
2019-11-25,85431.69
2019-11-26,85431.69
2019-11-27,85431.69
2019-11-28,85431.69
2019-11-29,85227.68
2019-11-30,85227.68
2019-12-01,85227.68
2019-12-02,85227.68
2019-12-03,85227.68
2019-12-04,85227.68
2019-12-05,85227.68
2019-12-06,85227.68
2019-12-07,85227.68
2019-12-08,85227.68
2019-12-09,85227.68
2019-12-10,85023.68
2019-12-11,85023.68
2019-12-12,85023.68
2019-12-13,85023.68
2019-12-14,85023.68
2019-12-15,85023.68
2019-12-16,85023.68
2019-12-17,85023.68
2019-12-18,85023.68
2019-12-19,85023.68
2019-12-20,84921.68
2019-12-21,84819.67
2019-12-22,84819.67
2019-12-23,84819.67
2019-12-24,84819.67
2019-12-25,84819.67
2019-12-26,84819.67
2019-12-27,84819.67
2019-12-28,84819.67
2019-12-29,84819.67
2019-12-30,84819.67
2019-12-31,84615.66
2020-01-01,84615.66
2020-01-02,84615.66
2020-01-03,84615.66
2020-01-04,84615.66
2020-01-05,84615.66
2020-01-06,84615.66
2020-01-07,84615.66
2020-01-08,84615.66
2020-01-09,84615.66
2020-01-10,84615.66
2020-01-11,84411.65
2020-01-12,84411.65
2020-01-13,84411.65
2020-01-14,84411.65
2020-01-15,84411.65
2020-01-16,84411.65
2020-01-17,84411.65
2020-01-18,84411.65
2020-01-19,84411.65
2020-01-20,84411.65
2020-01-21,84411.65
2020-01-22,84411.65
2020-01-23,84411.65
2020-01-24,84411.65
2020-01-25,84411.65
2020-01-26,84411.65
2020-01-27,84411.65
2020-01-28,84411.65
2020-01-29,84411.65
2020-01-30,84411.65
2020-01-31,84411.65
2020-02-01,84411.65
2020-02-02,84411.65
2020-02-03,84411.65
2020-02-04,84411.65
2020-02-05,84411.65
2020-02-06,84411.65
2020-02-07,84411.65
2020-02-08,84411.65
2020-02-09,84411.65
2020-02-10,84411.65
2020-02-11,84411.65
2020-02-12,84411.65
2020-02-13,84411.65
2020-02-14,84411.65
2020-02-15,84411.65
2020-02-16,84411.65
2020-02-17,84411.65
2020-02-18,84411.65
2020-02-19,84411.65
2020-02-20,84411.65
2020-02-21,84411.65
2020-02-22,84411.65
2020-02-23,84411.65
2020-02-24,84411.65
2020-02-25,84411.65
2020-02-26,84411.65
2020-02-27,84411.65
2020-02-28,84411.65
2020-02-29,84411.65
2020-03-01,84411.65
2020-03-02,84411.65
2020-03-03,84411.65
2020-03-04,84207.64
2020-03-05,84207.64
2020-03-06,84207.64
2020-03-07,84207.64
2020-03-08,84207.64
2020-03-09,84207.64
2020-03-10,84207.64
2020-03-11,84207.64
2020-03-12,84207.64
2020-03-13,84207.64
2020-03-14,84207.64
2020-03-15,84207.64
2020-03-16,84207.64
2020-03-17,84207.64
2020-03-18,84207.64
2020-03-19,84207.64
2020-03-20,84207.64
2020-03-21,84207.64
2020-03-22,84207.64
2020-03-23,84207.64
2020-03-24,84207.64
2020-03-25,84207.64
2020-03-26,84207.64
2020-03-27,84207.64
2020-03-28,84207.64
2020-03-29,84207.64
2020-03-30,84207.64
2020-03-31,84207.64
2020-04-01,84207.64
2020-04-02,84207.64
2020-04-03,84207.64
2020-04-04,84207.64
2020-04-05,84003.63
2020-04-06,84003.63
2020-04-07,84003.63
2020-04-08,84003.63
2020-04-09,84003.63
2020-04-10,84003.63
2020-04-11,84003.63
2020-04-12,84003.63
2020-04-13,84003.63
2020-04-14,84003.63
2020-04-15,84003.63
2020-04-16,84003.63
2020-04-17,84003.63
2020-04-18,84003.63
2020-04-19,84003.63
2020-04-20,84003.63
