Date,Price
2020-03-02,287309.52
2020-03-03,278223.16
2020-03-04,267288.28
2020-03-05,256773.98
2020-03-06,246441.35
2020-03-07,235525.07
2020-03-08,224590.19
2020-03-09,215329.02
2020-03-10,212613.90
2020-03-11,210991.69
2020-03-12,209340.87
2020-03-13,207555.59
2020-03-14,205844.69
2020-03-15,204170.98
2020-03-16,202608.85
2020-03-17,202460.08
2020-03-18,202460.08
2020-03-19,202460.08
2020-03-20,202460.08
2020-03-21,202460.08
2020-03-22,202460.08
2020-03-23,202460.08
2020-03-24,202460.08
2020-03-25,202460.08
2020-03-26,202460.08
2020-03-27,202460.08
2020-03-28,202460.08
2020-03-29,202460.08
2020-03-30,202460.08
2020-03-31,202460.08
2020-04-01,202460.08
2020-04-02,202460.08
2020-04-03,202460.08
2020-04-04,202460.08
2020-04-05,202460.08
2020-04-06,202460.08
2020-04-07,202460.08
2020-04-08,202460.08
2020-04-09,202460.08
2020-04-10,202460.08
2020-04-11,202460.08
2020-04-12,202460.08
2020-04-13,202460.08
2020-04-14,202460.08
2020-04-15,202460.08
2020-04-16,202460.08
2020-04-17,202460.08
2020-04-18,202460.08
2020-04-19,202460.08
2020-04-20,202460.08
