Date,Price
2020-03-02,198784.16
2020-03-03,194750.27
2020-03-04,189974.86
2020-03-05,185143.65
2020-03-06,180535.46
2020-03-07,175890.08
2020-03-08,171077.47
2020-03-09,166934.34
2020-03-10,165283.16
2020-03-11,164022.51
2020-03-12,162761.87
2020-03-13,161506.80
2020-03-14,160296.08
2020-03-15,159035.44
2020-03-16,157923.57
2020-03-17,157797.32
2020-03-18,157801.24
2020-03-19,157805.17
2020-03-20,157808.96
2020-03-21,157812.75
2020-03-22,157816.67
2020-03-23,157820.60
2020-03-24,157824.53
2020-03-25,157828.46
2020-03-26,157832.39
2020-03-27,157836.31
2020-03-28,157840.10
2020-03-29,157843.89
2020-03-30,157847.82
2020-03-31,157851.74
2020-04-01,157855.67
2020-04-02,157859.60
2020-04-03,157863.53
2020-04-04,157867.45
2020-04-05,157871.24
2020-04-06,157875.03
2020-04-07,157878.96
2020-04-08,157882.88
2020-04-09,157886.81
2020-04-10,157890.74
2020-04-11,157894.67
2020-04-12,157898.60
2020-04-13,157902.38
2020-04-14,157906.17
2020-04-15,157910.10
2020-04-16,157914.03
2020-04-17,157917.95
2020-04-18,157921.88
2020-04-19,157925.81
2020-04-20,157928.61
