Date,Price
2020-03-02,48994.87
2020-03-03,48749.38
2020-03-04,48418.37
2020-03-05,48094.78
2020-03-06,47771.20
2020-03-07,47449.90
2020-03-08,47071.96
2020-03-09,46069.60
2020-03-10,44914.74
2020-03-11,43756.16
2020-03-12,42599.45
2020-03-13,41481.78
2020-03-14,40405.03
2020-03-15,40075.87
2020-03-16,40075.87
2020-03-17,40075.87
2020-03-18,40075.87
2020-03-19,40075.87
2020-03-20,40075.87
2020-03-21,40075.87
2020-03-22,40075.87
2020-03-23,40075.87
2020-03-24,40075.87
2020-03-25,40075.87
2020-03-26,40075.87
2020-03-27,40075.87
2020-03-28,40075.87
2020-03-29,40075.87
2020-03-30,40075.87
2020-03-31,40075.87
2020-04-01,40075.87
2020-04-02,40075.87
2020-04-03,40075.87
2020-04-04,40075.87
2020-04-05,40075.87
2020-04-06,40075.87
2020-04-07,40075.87
2020-04-08,40075.87
2020-04-09,40075.87
2020-04-10,40075.87
2020-04-11,40075.87
2020-04-12,40075.87
2020-04-13,40075.87
2020-04-14,40075.87
2020-04-15,40075.87
2020-04-16,40075.87
2020-04-17,40075.87
2020-04-18,40075.87
2020-04-19,40075.87
2020-04-20,40075.87
