Date,Price
2019-08-25,49968.42
2019-08-26,49864.78
2019-08-27,49497.78
2019-08-28,49027.20
2019-08-29,48483.25
2019-08-30,47930.68
2019-08-31,47462.29
2019-09-01,47011.15
2019-09-02,46665.73
2019-09-03,46523.14
2019-09-04,46522.98
2019-09-05,46522.84
2019-09-06,46522.70
2019-09-07,46522.53
2019-09-08,46522.36
2019-09-09,46522.22
2019-09-10,46522.08
2019-09-11,46521.91
2019-09-12,46521.75
2019-09-13,46521.61
2019-09-14,46521.47
2019-09-15,46521.30
2019-09-16,46521.13
2019-09-17,46520.97
2019-09-18,46520.83
2019-09-19,46520.69
2019-09-20,46520.52
2019-09-21,46520.35
2019-09-22,46520.21
2019-09-23,46520.07
2019-09-24,46519.91
2019-09-25,46519.74
2019-09-26,46519.57
2019-09-27,46519.43
2019-09-28,46519.29
2019-09-29,46519.12
2019-09-30,46518.96
2019-10-01,46518.82
2019-10-02,46518.68
2019-10-03,46518.51
2019-10-04,46518.34
2019-10-05,46518.18
2019-10-06,46518.04
2019-10-07,46526.53
2019-10-08,46440.05
2019-10-09,46284.51
2019-10-10,46154.91
2019-10-11,46059.82
2019-10-12,45921.55
2019-10-13,45766.02
2019-10-14,45610.48
2019-10-15,45532.66
2019-10-16,45437.57
2019-10-17,45333.83
2019-10-18,45212.83
2019-10-19,45117.74
2019-10-20,45039.92
2019-10-21,44806.70
2019-10-22,44353.38
2019-10-23,43951.86
2019-10-24,43563.30
2019-10-25,43226.54
2019-10-26,42777.54
2019-10-27,42350.12
2019-10-28,42138.48
2019-10-29,41931.19
2019-10-30,41870.63
2019-10-31,41784.14
2019-11-01,41714.93
2019-11-02,41645.74
2019-11-03,41576.54
2019-11-04,41507.33
2019-11-05,41489.90
2019-11-06,41489.73
2019-11-07,41489.59
2019-11-08,41437.66
2019-11-09,41437.49
2019-11-10,41437.33
2019-11-11,41437.19
2019-11-12,41437.05
2019-11-13,41436.88
2019-11-14,41436.71
2019-11-15,41436.54
2019-11-16,41436.41
2019-11-17,41436.27
2019-11-18,41436.10
2019-11-19,41435.93
2019-11-20,41435.79
2019-11-21,41435.65
2019-11-22,41435.48
2019-11-23,41435.32
2019-11-24,41435.15
2019-11-25,41435.01
2019-11-26,41434.87
2019-11-27,41434.70
2019-11-28,41434.54
2019-11-29,41434.40
2019-11-30,41434.26
2019-12-01,41434.09
2019-12-02,41433.92
2019-12-03,41433.75
2019-12-04,41433.62
2019-12-05,41433.47
2019-12-06,41433.31
2019-12-07,41433.14
2019-12-08,41433.00
2019-12-09,41432.86
2019-12-10,41432.69
2019-12-11,41432.53
2019-12-12,41432.39
2019-12-13,41432.25
2019-12-14,41432.08
2019-12-15,41431.91
2019-12-16,41431.74
2019-12-17,41431.61
2019-12-18,41431.47
2019-12-19,41431.30
2019-12-20,41431.13
2019-12-21,41430.99
2019-12-22,41430.85
2019-12-23,41430.68
2019-12-24,41430.52
2019-12-25,41430.35
2019-12-26,41430.21
2019-12-27,41430.07
2019-12-28,41429.90
2019-12-29,41429.74
2019-12-30,41429.60
2019-12-31,41429.46
2020-01-01,41429.29
2020-01-02,41429.12
2020-01-03,41428.95
2020-01-04,41428.82
2020-01-05,41428.68
2020-01-06,41428.51
2020-01-07,41428.34
2020-01-08,41428.20
2020-01-09,41428.06
2020-01-10,41427.89
2020-01-11,41427.73
2020-01-12,41427.56
2020-01-13,41427.42
2020-01-14,41427.28
2020-01-15,41427.11
2020-01-16,41426.95
2020-01-17,41426.81
2020-01-18,41426.67
2020-01-19,41426.50
2020-01-20,41426.33
2020-01-21,41426.19
2020-01-22,41426.05
2020-01-23,41425.89
2020-01-24,41425.72
2020-01-25,41425.55
2020-01-26,41425.41
2020-01-27,41425.27
2020-01-28,41425.10
2020-01-29,41424.94
2020-01-30,41424.80
2020-01-31,41424.66
2020-02-01,41424.49
2020-02-02,41424.32
2020-02-03,41424.16
2020-02-04,41424.02
2020-02-05,41423.88
2020-02-06,41423.71
2020-02-07,41423.54
2020-02-08,41423.40
2020-02-09,41423.26
2020-02-10,41423.09
2020-02-11,41422.93
2020-02-12,41422.76
2020-02-13,41422.62
2020-02-14,41422.48
2020-02-15,41422.31
2020-02-16,41422.15
2020-02-17,41422.01
2020-02-18,41421.87
2020-02-19,41421.70
2020-02-20,41421.53
2020-02-21,41421.36
2020-02-22,41421.23
2020-02-23,41421.09
2020-02-24,41420.92
2020-02-25,41420.75
2020-02-26,41420.61
2020-02-27,41420.47
2020-02-28,41420.30
2020-02-29,41420.14
2020-03-01,41420.00
2020-03-02,41419.86
2020-03-03,41419.69
2020-03-04,41419.52
2020-03-05,41419.36
2020-03-06,41419.22
2020-03-07,41419.08
2020-03-08,41418.91
2020-03-09,41418.74
2020-03-10,41418.60
2020-03-11,41418.46
2020-03-12,41418.30
2020-03-13,41418.13
2020-03-14,41417.96
2020-03-15,41417.82
2020-03-16,41417.68
2020-03-17,41417.51
2020-03-18,41417.35
2020-03-19,41417.21
2020-03-20,41417.07
2020-03-21,41416.90
2020-03-22,41416.73
2020-03-23,41416.57
2020-03-24,41416.43
2020-03-25,41416.29
2020-03-26,41416.12
2020-03-27,41415.95
2020-03-28,41415.81
2020-03-29,41415.67
2020-03-30,41415.51
