Date,Price
2019-06-18,71941.19
2019-06-19,71941.19
2019-06-20,71941.19
2019-06-21,71941.19
2019-06-22,71941.19
2019-06-23,71941.19
2019-06-24,71941.19
2019-06-25,71941.19
2019-06-26,71941.19
2019-06-27,71941.19
2019-06-28,71941.19
2019-06-29,71941.19
2019-06-30,71941.19
2019-07-01,71867.21
2019-07-02,71423.31
2019-07-03,71053.39
2019-07-04,70313.55
2019-07-05,69721.68
2019-07-06,69129.81
2019-07-07,68500.95
2019-07-08,68057.05
2019-07-09,67452.85
2019-07-10,66910.3
2019-07-11,66503.39
2019-07-12,66133.47
2019-07-13,65726.56
2019-07-14,65184.01
2019-07-15,63969.45
2019-07-16,63272.77
2019-07-17,62082.86
2019-07-18,60751.15
2019-07-19,58901.56
2019-07-20,57199.93
2019-07-21,55840.48
2019-07-22,54776.97
2019-07-23,54086.45
2019-07-24,53815.18
2019-07-25,53741.19
2019-07-26,53593.22
2019-07-27,53593.22
2019-07-28,53445.26
2019-07-29,53334.28
2019-07-30,53223.31
2019-07-31,53001.36
2019-08-01,52779.4
2019-08-02,52483.47
2019-08-03,52261.52
2019-08-04,51965.59
2019-08-05,51817.62
2019-08-06,51521.68
2019-08-07,51299.73
2019-08-08,50929.81
2019-08-09,50707.86
2019-08-10,50485.91
2019-08-11,50189.98
2019-08-12,49968.02
2019-08-13,49746.07
2019-08-14,49672.09
2019-08-15,49598.1
2019-08-16,49598.1
2019-08-17,49598.1
2019-08-18,49450.14
2019-08-19,49450.14
2019-08-20,49450.14
2019-08-21,49450.14
2019-08-22,49450.14
2019-08-23,49450.14
2019-08-24,49450.14
2019-08-25,49450.14
2019-08-26,49450.14
2019-08-27,49450.14
2019-08-28,49450.14
2019-08-29,49450.14
2019-08-30,49450.14
2019-08-31,49450.14
2019-09-01,49450.14
2019-09-02,49487.13
2019-09-03,49376.15
2019-09-04,49129.54
2019-09-05,48858.27
2019-09-06,48710.3
2019-09-07,48488.35
2019-09-08,48266.4
2019-09-09,48069.1
2019-09-10,47970.46
2019-09-11,47970.46
2019-09-12,47970.46
2019-09-13,47970.46
2019-09-14,47970.46
2019-09-15,47970.46
2019-09-16,47970.46
2019-09-17,47970.46
2019-09-18,47970.46
2019-09-19,47970.46
2019-09-20,47970.46
2019-09-21,47970.46
2019-09-22,47970.46
2019-09-23,47970.46
2019-09-24,47970.46
2019-09-25,47970.46
2019-09-26,47970.46
2019-09-27,47970.46
2019-09-28,47970.46
2019-09-29,47970.46
2019-09-30,47970.46
2019-10-01,47970.46
2019-10-02,47970.46
2019-10-03,47970.46
2019-10-04,47970.46
2019-10-05,47970.46
2019-10-06,47970.46
2019-10-07,47970.46
2019-10-08,47970.46
2019-10-09,47970.46
2019-10-10,47970.46
2019-10-11,47970.46
2019-10-12,47970.46
2019-10-13,47970.46
2019-10-14,47970.46
2019-10-15,47970.46
2019-10-16,47970.46
2019-10-17,47970.46
2019-10-18,47970.46
2019-10-19,47970.46
2019-10-20,47970.46
2019-10-21,47970.46
2019-10-22,47970.46
2019-10-23,47970.46
2019-10-24,47970.46
2019-10-25,47970.46
2019-10-26,47970.46
2019-10-27,47970.46
2019-10-28,47970.46
2019-10-29,47970.46
2019-10-30,47970.46
2019-10-31,47970.46
2019-11-01,47970.46
2019-11-02,47970.46
2019-11-03,47970.46
2019-11-04,47970.46
2019-11-05,47970.46
2019-11-06,47970.46
2019-11-07,47970.46
2019-11-08,47970.46
2019-11-09,47970.46
2019-11-10,47970.46
2019-11-11,47970.46
2019-11-12,47970.46
2019-11-13,47970.46
2019-11-14,47970.46
2019-11-15,47970.46
2019-11-16,47970.46
2019-11-17,47970.46
2019-11-18,47970.46
2019-11-19,47970.46
2019-11-20,47970.46
2019-11-21,47970.46
2019-11-22,47970.46
2019-11-23,47970.46
2019-11-24,47970.46
2019-11-25,47970.46
2019-11-26,47970.46
2019-11-27,47970.46
2019-11-28,47970.46
2019-11-29,47970.46
2019-11-30,47970.46
2019-12-01,47970.46
2019-12-02,47970.46
2019-12-03,47970.46
2019-12-04,47970.46
2019-12-05,47970.46
2019-12-06,47970.46
2019-12-07,47970.46
2019-12-08,47970.46
2019-12-09,47970.46
2019-12-10,47970.46
2019-12-11,47970.46
2019-12-12,47970.46
2019-12-13,47970.46
2019-12-14,47970.46
2019-12-15,47970.46
2019-12-16,48081.44
2019-12-17,48377.37
2019-12-18,48808.94
2019-12-19,49302.17
2019-12-20,49635.1
2019-12-21,50042.01
2019-12-22,50374.93
2019-12-23,50658.54
2019-12-24,50781.84
2019-12-25,50781.84
2019-12-26,50781.84
2019-12-27,50781.84
2019-12-28,50781.84
2019-12-29,50781.84
2019-12-30,50781.84
2019-12-31,50781.84
2020-01-01,50781.84
2020-01-02,50781.84
2020-01-03,50633.88
