Date,Price
2019-11-04,45931.88
2019-11-05,45842.85
2019-11-06,45731.58
2019-11-07,45620.3
2019-11-08,45497.9
2019-11-09,45386.62
2019-11-10,45275.34
2019-11-11,45058.35
2019-11-12,44585.42
2019-11-13,44195.95
2019-11-14,43739.72
2019-11-15,43316.86
2019-11-16,42916.27
2019-11-17,42471.16
2019-11-18,42037.18
2019-11-19,41605.98
2019-11-20,41158.09
2019-11-21,40696.29
2019-11-22,40251.18
2019-11-23,39803.29
2019-11-24,39347.05
2019-11-25,39049.38
2019-11-26,38943.67
2019-11-27,38943.67
2019-11-28,38943.67
2019-11-29,38943.67
2019-11-30,38943.67
2019-12-01,38943.67
2019-12-02,38943.67
2019-12-03,38910.29
2019-12-04,38899.16
2019-12-05,38854.65
2019-12-06,38854.65
2019-12-07,38810.14
2019-12-08,38799.01
2019-12-09,38765.63
2019-12-10,38765.63
2019-12-11,38765.63
2019-12-12,38765.63
2019-12-13,38765.63
2019-12-14,38765.63
2019-12-15,38765.63
2019-12-16,38765.63
2019-12-17,38743.37
2019-12-18,38721.11
2019-12-19,38685.5
2019-12-20,38665.47
2019-12-21,38632.09
2019-12-22,38609.84
2019-12-23,38587.58
2019-12-24,38565.33
2019-12-25,38543.07
2019-12-26,38543.07
2019-12-27,38498.56
2019-12-28,38498.56
2019-12-29,38476.31
2019-12-30,38454.05
2019-12-31,38454.05
2020-01-01,38454.05
2020-01-02,38454.05
2020-01-03,38454.05
2020-01-04,38454.05
2020-01-05,38454.05
2020-01-06,38454.05
2020-01-07,38454.05
2020-01-08,38454.05
2020-01-09,38454.05
2020-01-10,38454.05
2020-01-11,38454.05
2020-01-12,38454.05
2020-01-13,38454.05
2020-01-14,38454.05
2020-01-15,38420.67
2020-01-16,38409.54
2020-01-17,38409.54
2020-01-18,38398.41
2020-01-19,38365.03
2020-01-20,38365.03
2020-01-21,38320.52
2020-01-22,38276.01
2020-01-23,38231.49
2020-01-24,38186.98
2020-01-25,38142.47
2020-01-26,38097.96
2020-01-27,38053.45
2020-01-28,38097.96
2020-01-29,38142.47
2020-01-30,38186.98
2020-01-31,38231.49
2020-02-01,38276.01
2020-02-02,38320.52
2020-02-03,38365.03
2020-02-04,38365.03
2020-02-05,38365.03
2020-02-06,38365.03
2020-02-07,38365.03
2020-02-08,38365.03
2020-02-09,38365.03
2020-02-10,38365.03
2020-02-11,38365.03
2020-02-12,38365.03
2020-02-13,38365.03
2020-02-14,38320.52
2020-02-15,38320.52
2020-02-16,38320.52
2020-02-17,38320.52
2020-02-18,38320.52
2020-02-19,38320.52
2020-02-20,38320.52
2020-02-21,38276.01
2020-02-22,38276.01
2020-02-23,38276.01
2020-02-24,38314.96
2020-02-25,38531.94
2020-02-26,38815.7
2020-02-27,39110.59
2020-02-28,39428.84
2020-02-29,39750.43
2020-03-01,40045.31
2020-03-02,40290.13
2020-03-03,40368.02
2020-03-04,40368.02
2020-03-05,40368.02
2020-03-06,40323.51
2020-03-07,40323.51
2020-03-08,40323.51
2020-03-09,40323.51
2020-03-10,40278.99
2020-03-11,40234.48
2020-03-12,40189.97
2020-03-13,40145.46
2020-03-14,40100.95
2020-03-15,40056.44
2020-03-16,40011.93
2020-03-17,40011.93
2020-03-18,40011.93
2020-03-19,40011.93
2020-03-20,39978.55
2020-03-21,39967.42
2020-03-22,39967.42
2020-03-23,39967.42
2020-03-24,39967.42
2020-03-25,39934.04
2020-03-26,39922.91
2020-03-27,39922.91
2020-03-28,39911.78
2020-03-29,39878.4
2020-03-30,39878.4
2020-03-31,39878.4
2020-04-01,39878.4
2020-04-02,39878.4
2020-04-03,39878.4
2020-04-04,39878.4
2020-04-05,39878.4
2020-04-06,39878.4
2020-04-07,39878.4
2020-04-08,39878.4
2020-04-09,39878.4
2020-04-10,39878.4
2020-04-11,39878.4
2020-04-12,39878.4
2020-04-13,39878.4
2020-04-14,39878.4
2020-04-15,39878.4
2020-04-16,39878.4
2020-04-17,39878.4
2020-04-18,39878.4
2020-04-19,39878.4
2020-04-20,39878.4
