Date,Price
2019-11-18,28483.43
2019-11-19,28455.75
2019-11-20,28415.14
2019-11-21,28372.7
2019-11-22,28335.78
2019-11-23,28293.33
2019-11-24,28252.73
2019-11-25,28188.08
2019-11-26,28091.07
2019-11-27,27989.42
2019-11-28,27879.46
2019-11-29,27765.34
2019-11-30,27652.14
2019-12-01,27541.26
2019-12-02,27456.26
2019-12-03,27402.71
2019-12-04,27365.8
2019-12-05,27325.2
2019-12-06,27282.75
2019-12-07,27240.3
2019-12-08,27199.7
2019-12-09,27167.41
2019-12-10,27133.28
2019-12-11,27102.86
2019-12-12,27070.58
2019-12-13,27038.3
2019-12-14,27006.01
2019-12-15,26978.36
2019-12-16,26946.08
2019-12-17,26919.35
2019-12-18,26900.02
2019-12-19,26881.6
2019-12-20,26860.42
2019-12-21,26840.17
2019-12-22,26819.91
2019-12-23,26798.73
2019-12-24,26794.19
2019-12-25,26794.28
2019-12-26,26794.36
2019-12-27,26794.45
2019-12-28,26794.54
2019-12-29,26794.63
2019-12-30,26794.72
2019-12-31,26794.8
2020-01-01,26794.89
2020-01-02,26794.98
2020-01-03,26795.07
2020-01-04,26795.16
2020-01-05,26795.24
2020-01-06,26795.33
2020-01-07,26795.42
2020-01-08,26795.51
2020-01-09,26795.6
2020-01-10,26795.69
2020-01-11,26795.78
2020-01-12,26795.86
2020-01-13,26794.1
2020-01-14,26745.18
2020-01-15,26687
2020-01-16,26625.13
2020-01-17,26578.97
2020-01-18,26517.1
2020-01-19,26458.93
2020-01-20,26398.91
2020-01-21,26352.76
2020-01-22,26315.84
2020-01-23,26282.64
2020-01-24,26242.04
2020-01-25,26208.84
2020-01-26,26168.24
2020-01-27,26135.95
2020-01-28,26101.82
2020-01-29,26071.39
2020-01-30,26039.11
2020-01-31,26006.84
2020-02-01,25972.71
2020-02-02,25942.28
2020-02-03,25914.62
2020-02-04,25860.14
2020-02-05,25794.57
2020-02-06,25727.15
2020-02-07,25656.03
2020-02-08,25596
2020-02-09,25531.35
2020-02-10,25482.89
2020-02-11,25570.37
2020-02-12,25707.33
2020-02-13,25827.64
2020-02-14,25966.45
2020-02-15,26102.95
2020-02-16,26242.22
2020-02-17,26380.56
2020-02-18,26489.31
2020-02-19,26597.6
2020-02-20,26711.44
2020-02-21,26819.73
2020-02-22,26933.57
2020-02-23,27041.86
2020-02-24,27127.95
2020-02-25,27123.41
2020-02-26,27095.76
2020-02-27,27063.48
2020-02-28,27029.35
2020-02-29,26994.3
2020-03-01,26971.26
2020-03-02,26937.13
2020-03-03,26920.57
2020-03-04,26911.41
2020-03-05,26897.63
2020-03-06,26893.09
2020-03-07,26878.38
2020-03-08,26874.77
2020-03-09,26856.37
2020-03-10,26851.84
2020-03-11,26838.05
2020-03-12,26838.14
2020-03-13,26819.72
2020-03-14,26819.81
2020-03-15,26806.03
2020-03-16,26801.5
2020-03-17,26801.59
2020-03-18,26801.67
2020-03-19,26801.76
2020-03-20,26801.85
2020-03-21,26801.94
2020-03-22,26802.03
2020-03-23,26802.1
2020-03-24,26791.1
2020-03-25,26779.17
2020-03-26,26765.38
2020-03-27,26746.98
2020-03-28,26737.81
2020-03-29,26724.95
2020-03-30,26710.24
2020-03-31,26710.33
2020-04-01,26710.42
2020-04-02,26710.51
2020-04-03,26710.6
2020-04-04,26710.68
2020-04-05,26710.77
2020-04-06,26710.86
2020-04-07,26710.95
2020-04-08,26711.04
2020-04-09,26711.12
2020-04-10,26711.21
2020-04-11,26711.3
2020-04-12,26711.39
2020-04-13,26711.48
2020-04-14,26711.56
2020-04-15,26711.65
2020-04-16,26711.74
2020-04-17,26711.83
2020-04-18,26711.92
2020-04-19,26712.01
2020-04-20,26712.08
