_id,aspect_ratio,available_status,average_rating,battery,battery_rating,brand,camera_rating,connectivity_rating,cpu,density,design_rating,diagonal,front_camera,main_camera,os,os_version,performance_rating,phone_image,phone_name,phone_price,processor_model,ram,resolution,screen_type,size,storage,usable_surface,user_rating,weight
5eafa66442e02aec58235233,18:09,On Sale,6.7,4000 mAh,7,Xiaomi,7.2,6.8,4x Kryo 260 1.8 GHz+ 4x Kryo 260 1.6 GHz,403 ppi Very high density,6.3,5.99,13 Mpx/2.0,12 Mpx/1.9,Android 8.0Oreo,MIUI V9.5 (Android 8.1 Oreo),6.4,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430824/Xiaomi_Redmi_Note_5_a54zzu.jpg,Xiaomi Redmi Note 5,128,Qualcomm Snapdragon 636,3 GB RAM,1080 x 2160 px,LCD IPS,75.4 mm  158.5 mm  8.1 mm,32 GB,77%,0,180 g
5eafa66442e02aec58235224,16:09,On Sale,7.2,4070 mAh,7.5,Xiaomi,7,7,Dual cluster Kryo 2x2.35GHz + 2x1.6GHz,386 ppi High Density,7.4,5.7,8 Mpx/2.0,22.5 Mpx/2.0,Android 9.0P,MIUI V11 (Android 9 P),7.1,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430818/Xiaomi_Mi_Note_2_n4txnz.jpg,Xiaomi Mi Note 2,162,Qualcomm Snapdragon 821 2.35GHz,4 GB RAM,1080 x 1920 px,Oled,77.3 mm  156.2 mm  7.6 mm,64 GB,74%,0,166 g
5eafa66442e02aec582351af,16:09,On Sale,5.3,3000 mAh,4.2,Huawei,4.1,6.3,2.10 GHz (8x Cortex),424 ppi Very high density,5.5,5.2,8 Mpx/--,11.8 Mpx/2.2,Android 8.0Oreo,Android 8.1 Oreo,6.2,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430763/Huawei_P10_Lite_wxd6nz.jpg,Huawei P10 Lite,120,Huawei HiSilicon KIRIN 658,4 GB RAM,1080 x 1920 px,LCD IPS,72.0 mm  146.5 mm  7.2 mm,32 GB,70%,0,146 g
5eafa66442e02aec58235294,19:09,On Sale,8.1,3500 mAh,6.2,Samsung,8.3,8.1,2x2.73 GHz Exynos M4 + 2x2.4 GHz ARM Cortex,400 ppi Very high density,9.2,6.3,10 Mpx/2.2,12 Mpx/1.5-2.4,Android 10Q,Android 10,8.6,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430795/Samsung_Galaxy_Note_10_fevmmr.jpg,Samsung Galaxy Note10,738,Samsung Exynos 9 9825,8 GB RAM,1080 x 2280 px,Super Amoled,71.8 mm  151.0 mm  7.9 mm,256 GB,91%,0,168 g
5eafa66442e02aec5823519a,16:09,On Sale,7,4000 mAh,6.7,Huawei,7.3,8,4x 2.3 GHz ARM Cortex,367 ppi High Density,6.5,6,8 Mpx/--,16 Mpx/2.0,Android 8.0Oreo,Android 8.0 Oreo,6.5,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430827/Huawei_Mate_8_zsg2cr.jpg,Huawei Mate 8,226,Huawei HiSilicon KIRIN 950,3 GB RAM,1080 x 1920 px,LCD IPS,80.6 mm  157.1 mm  7.9 mm,32 GB,78%,0,185 g
5eafa66442e02aec58235215,19.5:9,On Sale,6.8,4000 mAh,7,Huawei,6.4,6.5,4x 2.2 GHz ARM Cortex,269 ppi Medium Density,6.7,6.39,8 Mpx/2.0,48 Mpx/1.8,Android 9.0P,Android 9.0 Pie,7.2,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430766/Huawei_P40_Lite_E_xs2taw.jpg,Huawei P40 Lite E,194,Huawei HiSilicon KIRIN 710F,4 GB RAM,720 x 1560 px,LCD IPS,76.1 mm  159.8 mm  8.1 mm,64 GB,82%,0,176 g
5eafa66442e02aec582352ab,19.5:9,On Sale,8.2,3046 mAh,7.6,Apple,9,8.5,2x Thunder a 2.65 GHz + 4x Lightning a 1.8 GHz,463 ppi Very high density,7.6,5.8,12 Mpx/--,12 Mpx/1.8,iOS 13,iOS 13,8.5,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430766/Apple_iPhone_11_Pro_ilakm6.jpg,Apple iPhone 11 Pro,1025,Apple A13 Bionic,4 GB RAM,1125 x 2436 px,Oled,71.4 mm  144.0 mm  8.1 mm,64 GB,80%,0,188 g
5eafa66442e02aec582351d0,19:09,On Sale,6.7,3400 mAh,5.9,Huawei,6.8,6.8,4x 2.4 GHz ARM Cortex,432 ppi Very high density,6.5,5.84,24 Mpx/2.0,16 Mpx/1.8,Android 8.0Oreo,Android 8.1 Oreo,7.7,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430805/Huawei_Honor_10_x9gkms.jpg,Huawei Honor 10,246,Huawei HiSilicon KIRIN 970,6 GB RAM,1080 x 2280 px,LCD IPS,71.2 mm  149.6 mm  7.7 mm,64 GB,80%,0,153 g
5eafa66442e02aec58235201,19.5:9,On Sale,7.2,4000 mAh,6.8,Huawei,8.6,5.7,4x 2.2 GHz ARM Cortex,391 ppi High Density,7.5,6.59,16 Mpx/2.2,48 Mpx/1.8,Android 10Q,Android 10,7.3,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430806/Huawei_Honor_9x_xaqer0.jpg,Huawei Honor 9x,197,Huawei HiSilicon KIRIN 710F,4 GB RAM,1080 x 2340 px,LCD IPS,77.3 mm  163.5 mm  8.8 mm,128 GB,84%,0,197 g
5eafa66442e02aec58235270,16:09,On Sale,6.8,3000 mAh,4.9,Samsung,7.2,7.9,2.3GHz Quad (Custom Core) + 1.6GHz Quad (Cortex,576 ppi Very high density,7.3,5.1,5 Mpx/--,12 Mpx/1.7,Android 8.0Oreo,Android 8.0 Oreo,6.9,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430796/Samsung_Galaxy_S7_Edge_knzxig.jpg,Samsung Galaxy S7,200,Samsung Exynos 8 Octa 8890 2.3,4 GB RAM,1440 x 2560 px,Super Amoled,69.6 mm  142.4 mm  7.9 mm,32 GB,72%,0,152 g
5eafa66442e02aec5823525c,20:09,On Sale,8,4500 mAh,8,Xiaomi,8.7,7,2x 2.2 GHz Kryo 470 + 6x Kryo 470 a 1.8 GHz,395 ppi High Density,8.3,6.67,20 Mpx/2.2,64 Mpx/1.89,Android 10Q,MIUI 11 (Android 10),7.9,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430822/Xiaomi_Redmi_K30_k4vwl8.jpg,Xiaomi Redmi K30,290,Qualcomm Snapdragon 730G,6 GB RAM,1080 x 2400 px,LCD IPS,76.6 mm  165.3 mm  8.8 mm,64 GB,84%,0,208 g
5eafa66442e02aec582352a2,16:09,On Sale,7.2,1715 mAh,7.7,Apple,6.6,8.1,Apple Twister,326 ppi High Density,6.6,4.7,5 Mpx/--,12 Mpx/2.2,iOS 13,iOS 13,6.9,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430761/Apple_iPhone_6s_f6quel.jpg,Apple iPhone 6s,131,Apple A9,2 GB RAM,750 x 1334 px,LCD IPS,67.1 mm  138.3 mm  7.1 mm,16 GB,65%,0,143 g
5eafa66442e02aec58235273,16:09,On Sale,3.5,2600 mAh,3.5,Samsung,2.4,4.7,ARM Cortex,294 ppi Medium Density,3.7,5,2 Mpx/--,8 Mpx,Android 5.0Lollipop,Android 5.1.1 Lollipop,3.1,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430792/Samsung_Galaxy_J3_2016_cmtpn0.jpg,Samsung Galaxy J3 (2016),172,Spreadtrum SC9830A,1.5 GB RAM,720 x 1280 px,Super Amoled,71.0 mm  142.3 mm  7.9 mm,8 GB,68%,0,138 g
5eafa66442e02aec5823529a,20:09,On Sale,8,4500 mAh,8,Samsung,8.1,8.2,2x2.2 GHz Kryo 470 + 6x1.8 GHz Kryo 470,393 ppi High Density,7.9,6.7,32 Mpx/2.2,64 Mpx/1.8,Android 10Q,Android 10,7.8,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430789/Samsung_Galaxy_A71_bxjlon.jpg,Samsung Galaxy A71,369,Qualcomm Snapdragon 730,6 GB RAM,1080 x 2400 px,Super Amoled,76.0 mm  163.6 mm  7.7 mm,128 GB,87%,0,179 g
5eafa66442e02aec582351aa,16:09,On Sale,5.5,3000 mAh,4.4,Huawei,6,6.2,4x 2.1 GHz ARM Cortex A53 + 4x 1.7 GHz ARM Cortex A53,424 ppi Very high density,5.4,5.2,8 Mpx/--,13 Mpx/2.2,Android 7.0Nougat,Android 7.0 Nougat,5.3,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430763/Huawei_P9_Lite_2017_rjcqnr.jpg,Huawei P9 Lite 2017,178,Huawei HiSilicon Kirin 655,3 GB RAM,1080 x 1920 px,LCD IPS,72.9 mm  147.2 mm  7.6 mm,16 GB,69%,0,147 g
5eafa66442e02aec582351dd,19:09,On Sale,6.2,4000 mAh,6.8,Huawei,4.9,5.3,4x2.2 GHz ARM Cortex,396 ppi High Density,7.1,6.5,16 Mpx/2.0,13 Mpx,Android 8.0Oreo,Android 8.1 Oreo,6.8,//res.cloudinary.com/dgly8b9lq/image/upload/v1588430769/Huawei_Y9_2019_lpgqki.jpg,Huawei Y9 (2019),264,Huawei HiSilicon KIRIN 710,4 GB RAM,1080 x 2340 px,LCD IPS,77.1 mm  162.4 mm  8.1 mm,64 GB,82%,0,173 g
